,Latitude,Longitude
0,39.9555232,-82.7906621
1,39.9554935,-82.7904092
2,39.9554969,-82.79019
3,39.9554985,-82.7900897
4,39.9555002,-82.7899811
5,39.9555092,-82.7894026
6,39.9555135,-82.7891304
7,39.9555186,-82.7889839
8,39.9555565,-82.7878837
9,39.9555858,-82.7870256
10,39.9555926,-82.7868276
11,39.9555945,-82.7867145
12,39.9556074,-82.7859469
13,39.9556086,-82.7858779
14,39.9556161,-82.7854312
15,39.9556256,-82.7851281
16,39.9556438,-82.7843792
17,39.9556605,-82.7840217
18,39.9556797,-82.7823501
19,39.9557072,-82.7813546
20,39.9557113,-82.7812046
21,39.9557464,-82.7790568
22,39.9557616,-82.7777522
23,39.9557708,-82.7773831
24,39.9557976,-82.7759716
25,39.9558826,-82.7757597
