,Latitude,Longitude
0,40.0078938,-81.6625714
1,40.0090279,-81.6603489
2,40.0091627,-81.6600635
3,40.0094197,-81.6595142
4,40.0098924,-81.6581737
5,40.0100697,-81.6576037
6,40.0101557,-81.6572965
7,40.0102433,-81.656984
8,40.0103105,-81.656744
9,40.0105253,-81.6553826
10,40.0106311,-81.6546307
11,40.0106911,-81.6537011
12,40.0108183,-81.6521618
13,40.0108889,-81.6511701
14,40.0112353,-81.6463062
15,40.0114032,-81.6438249
16,40.011433,-81.6434593
17,40.0116259,-81.6407955
18,40.0116599,-81.6402328
19,40.0118714,-81.6373101
20,40.0123574,-81.6302183
21,40.0125267,-81.6275329
22,40.0126797,-81.6255683
23,40.0127699,-81.6244097
24,40.0129063,-81.6223249
25,40.0130157,-81.6213689
26,40.0133414,-81.6199338
27,40.0138116,-81.6184736
28,40.0145609,-81.617126
29,40.014791,-81.6167398
30,40.0150803,-81.6163364
31,40.0154287,-81.6158815
32,40.015685,-81.6155897
33,40.0171414,-81.6142212
34,40.0171821,-81.6141822
35,40.0183624,-81.6130519
36,40.018415,-81.612999
37,40.0184775,-81.6129418
38,40.0190676,-81.6123767
39,40.0214337,-81.6101786
40,40.0216856,-81.6099357
41,40.0229803,-81.6087419
42,40.0235172,-81.608143
43,40.0237485,-81.6078284
44,40.0240229,-81.607385
45,40.0242057,-81.6070151
46,40.0244618,-81.6064886
47,40.0246627,-81.6060182
48,40.0248019,-81.6055651
49,40.0248742,-81.6051621
50,40.0248909,-81.6048826
51,40.0248997,-81.6046511
52,40.0248724,-81.6043968
53,40.0248523,-81.6041776
54,40.0248157,-81.6039778
55,40.0247736,-81.6038321
56,40.0243875,-81.6032068
57,40.0239622,-81.6025541
58,40.0232653,-81.6009507
59,40.0229588,-81.6001947
60,40.0225856,-81.599274
61,40.0224992,-81.5990773
62,40.0221714,-81.5983307
63,40.0223906,-81.5980908
64,40.0226016,-81.5978596
65,40.0228694,-81.5975665
66,40.0230612,-81.5973633
67,40.0233151,-81.5970942
68,40.0233482,-81.5970576
69,40.0234179,-81.5969804
70,40.0235946,-81.5967847
71,40.024257,-81.5960444
72,40.0246046,-81.5956909
73,40.0247973,-81.595361
74,40.0249168,-81.5951444
75,40.0249042,-81.5946773
76,40.0248936,-81.5942844
77,40.0248831,-81.593897
78,40.0248703,-81.5934235
79,40.0248643,-81.5932123
80,40.0248588,-81.5930197
81,40.0248503,-81.5927239
82,40.0248216,-81.5917191
83,40.0248035,-81.5908551
84,40.0247883,-81.5902745
85,40.0247859,-81.590034
86,40.0247719,-81.5896849
87,40.024754,-81.5890978
88,40.0247474,-81.5888819
89,40.0247408,-81.5886673
90,40.0247274,-81.5882265
91,40.0247052,-81.587386
92,40.0246955,-81.5870663
93,40.0246927,-81.5866191
94,40.0246904,-81.5865363
95,40.024687,-81.5864212
96,40.0246655,-81.585681
97,40.0246417,-81.5848648
98,40.0246325,-81.5842587
99,40.024632,-81.5842241
100,40.024629,-81.5839994
101,40.0246258,-81.5837679
102,40.0246174,-81.5828429
103,40.0246308,-81.582654
104,40.024653,-81.5823854
105,40.0247137,-81.5821466
106,40.0248081,-81.5819298
107,40.0251697,-81.5810381
108,40.0255839,-81.5801216
109,40.0257967,-81.5795572
110,40.0259874,-81.5788889
111,40.0266937,-81.5761787
112,40.0268476,-81.5752723
113,40.0269274,-81.5746363
114,40.0270813,-81.573571
115,40.0271272,-81.5732535
116,40.0271648,-81.5729931
117,40.0271909,-81.5728128
118,40.02727,-81.5723221
119,40.0273257,-81.5719476
120,40.0273415,-81.571842
121,40.0273768,-81.5716044
122,40.0273951,-81.5714816
123,40.0273984,-81.5714596
124,40.0274205,-81.5713071
125,40.0274258,-81.5712707
126,40.0274436,-81.571148
127,40.0275021,-81.570745
128,40.0275119,-81.5706793
129,40.0275667,-81.5703106
130,40.0276197,-81.5699544
131,40.0276794,-81.5695528
132,40.0277087,-81.5693556
133,40.0277636,-81.568987
134,40.0277739,-81.5689175
135,40.0278555,-81.5683585
136,40.0279237,-81.5678913
137,40.0279317,-81.5678365
138,40.0279878,-81.5674133
139,40.0279964,-81.5673484
140,40.0280156,-81.5670934
141,40.0280316,-81.5666875
142,40.0280348,-81.5666053
143,40.0280426,-81.5664521
144,40.0280466,-81.5663512
145,40.0280595,-81.5660288
146,40.0280655,-81.5658775
147,40.0280877,-81.5652588
148,40.0281223,-81.5650395
149,40.028113,-81.5641639
150,40.0281056,-81.5637307
151,40.0280806,-81.5633265
152,40.028027,-81.562907
153,40.0279878,-81.5624974
154,40.0278881,-81.5618316
155,40.0277337,-81.5606723
156,40.0275404,-81.559125
157,40.0274089,-81.5584212
158,40.0272543,-81.5578515
159,40.0264031,-81.5545548
160,40.0259305,-81.5526807
161,40.0254255,-81.5507301
162,40.0251846,-81.5497456
163,40.0249665,-81.5488635
164,40.0244995,-81.5470287
165,40.024442,-81.5462721
166,40.024621,-81.540197
167,40.0246972,-81.5385892
168,40.0247046,-81.5379837
169,40.0247056,-81.5377262
170,40.0246933,-81.5374519
171,40.0246591,-81.5371568
172,40.0246526,-81.5371011
173,40.0246163,-81.5368532
174,40.0245668,-81.5365802
175,40.024454,-81.5361516
176,40.0243346,-81.5357552
177,40.0242931,-81.5356377
178,40.0240025,-81.5349234
179,40.0239323,-81.5347979
180,40.0236905,-81.5342725
181,40.0232611,-81.5334938
182,40.0227287,-81.5325282
183,40.0225489,-81.5322044
184,40.0221901,-81.5315582
185,40.0220192,-81.5312504
186,40.0215034,-81.5303009
187,40.0211641,-81.529643
188,40.020594,-81.5285934
189,40.0204131,-81.5282605
190,40.0201689,-81.5278177
191,40.0199604,-81.5274556
192,40.0198609,-81.5272702
193,40.0197343,-81.5270345
