,Latitude,Longitude
0,40.1033711,-80.5191724
1,40.1032929,-80.5193585
2,40.103177,-80.519632
3,40.102937,-80.520384
4,40.1027253,-80.5211533
5,40.1025487,-80.5219859
6,40.1024765,-80.5223337
7,40.1024317,-80.522927
8,40.1023843,-80.5239381
9,40.102356,-80.5251703
10,40.1022912,-80.5272257
11,40.1022772,-80.5276677
12,40.1022489,-80.5286266
13,40.1022766,-80.5291003
14,40.1023816,-80.5298642
15,40.102641,-80.5314698
16,40.1029582,-80.5335402
17,40.102975,-80.5336502
18,40.1031102,-80.5343904
19,40.1032339,-80.5348295
20,40.1034948,-80.5355982
21,40.1039015,-80.5367143
22,40.1042904,-80.5377719
23,40.1045173,-80.5384038
24,40.1047896,-80.5391962
25,40.1050146,-80.53983
26,40.1052147,-80.540404
27,40.1053669,-80.5409028
28,40.105433,-80.541249
29,40.1054894,-80.5415316
30,40.1055386,-80.5420951
31,40.1055552,-80.542583
32,40.105539,-80.5430658
33,40.1054914,-80.5435786
34,40.1053501,-80.5442991
35,40.1051724,-80.5449449
36,40.1048821,-80.5456761
37,40.1044693,-80.5466125
38,40.1041623,-80.5473603
39,40.103881,-80.548033
40,40.1037412,-80.5483264
41,40.1027835,-80.5506405
42,40.1027553,-80.5507086
43,40.1024218,-80.551409
44,40.1021042,-80.5519686
45,40.1020213,-80.5520695
46,40.1018503,-80.5523148
47,40.1010407,-80.5530684
48,40.1009996,-80.553104
49,40.1005463,-80.5534975
50,40.099785,-80.554258
51,40.098985,-80.555122
52,40.098697,-80.555346
53,40.098457,-80.55549
54,40.098249,-80.555554
55,40.097849,-80.555714
56,40.097129,-80.555698
57,40.0967492,-80.5556545
58,40.0963148,-80.5556899
59,40.0958554,-80.5558428
60,40.0955005,-80.5560412
61,40.0952572,-80.5562086
62,40.0952239,-80.5562408
63,40.0951502,-80.5563122
64,40.0951156,-80.5563456
65,40.0946315,-80.5568413
66,40.0943584,-80.5571688
67,40.0939086,-80.5577995
68,40.093577,-80.558242
69,40.093129,-80.559026
70,40.092681,-80.559826
71,40.0925511,-80.5600598
72,40.092521,-80.560114
73,40.092425,-80.560322
74,40.092217,-80.560722
75,40.091945,-80.56117
76,40.091641,-80.561426
77,40.091579,-80.561468
78,40.091081,-80.56181
79,40.090665,-80.56204
80,40.090473,-80.562146
81,40.090197,-80.562327
82,40.0900491,-80.5624536
83,40.0897275,-80.5627947
84,40.0893305,-80.5632733
85,40.0891245,-80.5636164
86,40.0888784,-80.5641322
87,40.0887524,-80.5645895
88,40.0886972,-80.5653607
89,40.0886291,-80.5664411
90,40.0884927,-80.5673032
91,40.0884122,-80.5676868
92,40.0881782,-80.5686738
93,40.0879203,-80.5696739
94,40.0878009,-80.5701573
95,40.0877183,-80.5703848
96,40.0875505,-80.5706793
97,40.0873797,-80.5708916
98,40.0871595,-80.571091
99,40.0867368,-80.5713499
100,40.0866808,-80.5713795
101,40.0862571,-80.5716037
102,40.0860504,-80.5718652
103,40.0858935,-80.572243
104,40.0857893,-80.5728216
105,40.0856624,-80.5738203
106,40.085555,-80.5746162
107,40.0853434,-80.57666
108,40.0852653,-80.5772988
109,40.0852143,-80.5776084
110,40.0850817,-80.5779432
111,40.084762,-80.5784504
112,40.0847419,-80.5784823
113,40.084402,-80.5789739
114,40.0841135,-80.5792985
115,40.0835776,-80.5797789
116,40.0828958,-80.5804155
117,40.082408,-80.5808253
118,40.082089,-80.5813294
119,40.0818536,-80.5818696
120,40.0817437,-80.5823976
121,40.0816942,-80.5829179
122,40.0816284,-80.583449
123,40.0816179,-80.583534
124,40.0815575,-80.5837939
125,40.0814781,-80.5840397
126,40.0811586,-80.5848052
127,40.080953,-80.585204
128,40.080788,-80.5854621
129,40.0807625,-80.5854998
130,40.08055,-80.5858135
131,40.080233,-80.5862559
132,40.079932,-80.586734
133,40.079833,-80.586836
134,40.079561,-80.587348
135,40.079241,-80.58802
136,40.078953,-80.588772
137,40.0788342,-80.589189
138,40.0786598,-80.589658
139,40.0785111,-80.5899216
140,40.0782854,-80.590228
141,40.077993,-80.590516
142,40.077545,-80.590948
143,40.077097,-80.591348
144,40.076985,-80.591508
145,40.076601,-80.59186
146,40.076329,-80.592292
147,40.076153,-80.592916
148,40.075913,-80.593908
149,40.075753,-80.594708
150,40.075673,-80.594932
151,40.075465,-80.595572
152,40.075449,-80.59562
153,40.075213,-80.596136
154,40.075017,-80.596564
155,40.0748027,-80.5971
156,40.0744987,-80.5977645
157,40.0742189,-80.5981609
158,40.073849,-80.59858
159,40.0735357,-80.5988754
160,40.0734666,-80.5989406
161,40.0731993,-80.5991662
162,40.0730262,-80.5993331
163,40.0727291,-80.5995621
164,40.0724701,-80.5996881
165,40.0722011,-80.5998181
166,40.0719827,-80.5999051
167,40.0712017,-80.6001604
168,40.0710531,-80.6002074
169,40.0708556,-80.6002699
170,40.0707257,-80.6003105
171,40.0706404,-80.6003357
172,40.0705226,-80.6003592
173,40.0703617,-80.6003599
174,40.0701495,-80.600347
175,40.0699008,-80.6003193
176,40.0692227,-80.6002366
177,40.0689091,-80.6001938
178,40.0686252,-80.6001657
179,40.0683341,-80.6001488
180,40.0681326,-80.6001583
181,40.0679598,-80.60019
182,40.0677654,-80.6002421
183,40.0676036,-80.6003116
184,40.0674558,-80.6003909
185,40.067251,-80.6005225
186,40.0671134,-80.6006434
187,40.0668726,-80.6008748
188,40.0667526,-80.6010275
189,40.0666443,-80.6011856
190,40.0665429,-80.6013481
191,40.0664398,-80.6015681
192,40.0663019,-80.6019398
193,40.0661382,-80.6025242
194,40.0651819,-80.6059375
195,40.0647012,-80.6076534
196,40.0641438,-80.609643
197,40.0640539,-80.610046
198,40.064009,-80.610453
199,40.0639799,-80.6108151
200,40.0639761,-80.6111077
201,40.0639864,-80.6116227
202,40.063977,-80.612181
203,40.0639639,-80.6123777
204,40.0639292,-80.6126372
205,40.0638846,-80.6128758
206,40.0638326,-80.6130909
207,40.0637702,-80.6133112
208,40.0637019,-80.6135066
209,40.0635752,-80.6138207
210,40.0634124,-80.6141601
211,40.0632004,-80.6145629
212,40.0630686,-80.6147765
213,40.0629283,-80.6149805
214,40.0627743,-80.6151678
215,40.0626011,-80.6153341
216,40.0624194,-80.6154852
217,40.0619298,-80.6158393
218,40.0611355,-80.616373
219,40.0606069,-80.616745
220,40.0602771,-80.6169623
221,40.0598879,-80.6172418
222,40.0597285,-80.6173471
223,40.0597154,-80.617356
224,40.0591196,-80.6177633
225,40.0589234,-80.6179039
226,40.0588993,-80.617921
