,Latitude,Longitude
0,40.0094695,-79.8655249
1,40.0101688,-79.8660431
2,40.0108056,-79.8666078
3,40.0112432,-79.8670033
4,40.0117424,-79.8674754
5,40.0128415,-79.8684651
6,40.0130285,-79.8686502
7,40.0131969,-79.8688165
8,40.0133571,-79.8690016
9,40.0135112,-79.8691893
10,40.0136673,-79.8693932
11,40.0138132,-79.8696051
12,40.0139772,-79.8698864
13,40.01407,-79.8700557
14,40.0141871,-79.8702864
15,40.0151608,-79.8723758
16,40.0152861,-79.8726038
17,40.0154217,-79.8728318
18,40.0155531,-79.8730195
19,40.0156826,-79.8731805
20,40.0158181,-79.8733387
21,40.0159907,-79.8735023
22,40.0161632,-79.8736498
23,40.0163173,-79.8737653
24,40.0164426,-79.873851
25,40.0165416,-79.8739112
26,40.0167651,-79.8740119
27,40.0169253,-79.874071
28,40.0191069,-79.8747093
29,40.0193492,-79.8748059
30,40.0196081,-79.8749454
31,40.0198874,-79.8751224
32,40.0201668,-79.8753691
33,40.0204256,-79.8756481
34,40.0205981,-79.8758895
35,40.0208007,-79.8761977
36,40.0209555,-79.8764849
37,40.0210882,-79.8767824
38,40.0212074,-79.877115
39,40.0213018,-79.8774422
40,40.021366,-79.8777353
41,40.0215367,-79.8789805
42,40.0215746,-79.8791716
43,40.0216375,-79.8793656
44,40.0216662,-79.8794381
45,40.0219555,-79.8799671
46,40.0223779,-79.8807393
47,40.0227976,-79.881439
48,40.0231123,-79.8820119
49,40.0232836,-79.882305
50,40.0249852,-79.8853658
51,40.0266213,-79.8882732
52,40.0269123,-79.8888008
53,40.0270177,-79.8890263
54,40.0272177,-79.8895285
55,40.0274724,-79.8902688
56,40.027686,-79.8910949
57,40.0281707,-79.893702
58,40.0286553,-79.8963843
59,40.0290333,-79.8984656
60,40.0293336,-79.9000852
61,40.0293409,-79.9001268
62,40.0293745,-79.9002948
63,40.0294913,-79.9008636
64,40.0296724,-79.9016459
65,40.029941,-79.9026566
66,40.0302902,-79.9038622
67,40.0306681,-79.9050102
68,40.0311939,-79.9064264
69,40.03181,-79.907907
70,40.0325247,-79.9094091
71,40.0329436,-79.9102137
72,40.034188,-79.9124534
73,40.0348001,-79.9135611
74,40.0360009,-79.9157016
75,40.0364682,-79.9165345
76,40.0369122,-79.917326
77,40.0373661,-79.918141
78,40.0378588,-79.919043
79,40.0380062,-79.9193504
80,40.0382414,-79.9197763
81,40.0385728,-79.9203879
82,40.0387595,-79.9207704
83,40.0388751,-79.9210201
84,40.0389919,-79.9212898
85,40.0390889,-79.9215542
86,40.0392149,-79.9218909
87,40.0393447,-79.9222932
88,40.0394474,-79.9226385
89,40.0395394,-79.922996
90,40.0395952,-79.9232422
91,40.0396529,-79.9235112
92,40.0396882,-79.9236944
93,40.0397176,-79.9238545
94,40.0397754,-79.9242183
95,40.0398167,-79.9245173
96,40.0398498,-79.9248024
97,40.0398776,-79.9250409
98,40.0398958,-79.9252648
99,40.0399159,-79.92559
100,40.0399212,-79.9259008
101,40.039922,-79.9261281
102,40.0399175,-79.9263443
103,40.0399136,-79.9265564
104,40.0399002,-79.9267959
105,40.0398813,-79.9270669
106,40.0398678,-79.9272537
107,40.0397969,-79.9280361
108,40.0396967,-79.9291299
109,40.0395569,-79.9308522
110,40.0394716,-79.9319557
111,40.0394386,-79.9323752
112,40.0394139,-79.9327645
113,40.0393991,-79.9331378
114,40.0393929,-79.9334076
115,40.0393953,-79.9336838
116,40.039409,-79.9339407
117,40.0394461,-79.9342881
118,40.0394923,-79.9346715
119,40.0395079,-79.9347867
120,40.039534,-79.9349379
121,40.0395712,-79.9351194
122,40.0395981,-79.9352404
123,40.0396391,-79.9354219
124,40.0396785,-79.9355861
125,40.0397205,-79.9357412
126,40.0397762,-79.9359367
127,40.0398449,-79.9361998
