,Latitude,Longitude
0,45.10314,-87.62646
1,45.1018,-87.62822
2,45.10175,-87.62838
3,45.10174,-87.62839
4,45.10174,-87.6284
5,45.10172,-87.62842
6,45.10042,-87.63012
7,45.10029,-87.6303
8,45.10002,-87.63076
9,45.09993,-87.63096
10,45.09992,-87.631
11,45.09987,-87.63112
12,45.09985,-87.63121
13,45.09982,-87.63132
14,45.0998,-87.63215
15,45.09973,-87.63388
16,45.09968,-87.63577
17,45.09972,-87.63588
18,45.09968,-87.63715
19,45.09966,-87.63744
20,45.09957,-87.63822
21,45.09952,-87.63844
22,45.09947,-87.63869
23,45.09932,-87.63918
24,45.09914,-87.63953
25,45.09908,-87.63963
26,45.09902,-87.63972
27,45.09884,-87.63995
28,45.09838,-87.64047
29,45.09825,-87.64054
30,45.09618,-87.6431
31,45.09612,-87.64318
32,45.09593,-87.6434
33,45.09534,-87.64413
34,45.09521,-87.6443
35,45.09438,-87.64531
36,45.09407,-87.64571
37,45.09399,-87.64586
38,45.09398,-87.64588
39,45.09321,-87.64689
40,45.09278,-87.64743
41,45.09226,-87.648
42,45.09211,-87.64815
43,45.09199,-87.64825
44,45.09173,-87.64841
45,45.09172,-87.64842
46,45.09171,-87.64842
47,45.0917,-87.64843
48,45.0915,-87.64844
49,45.09143,-87.64848
50,45.09113,-87.64863
51,45.09086,-87.64875
52,45.09067,-87.64885
53,45.09043,-87.64899
54,45.09014,-87.6492
55,45.09012,-87.64921
56,45.08994,-87.64935
57,45.08962,-87.64962
58,45.08915,-87.65005
59,45.08903,-87.65015
60,45.08888,-87.65031
61,45.0886,-87.6506
62,45.08851,-87.65071
63,45.08844,-87.65077
64,45.08835,-87.65088
65,45.08834,-87.65089
66,45.08826,-87.651
67,45.0882,-87.65107
68,45.08818,-87.65109
69,45.08798,-87.65135
70,45.08794,-87.65141
71,45.08774,-87.65165
72,45.08771,-87.65175
73,45.0877,-87.65177
74,45.08767,-87.6518
75,45.08756,-87.65195
76,45.08699,-87.65265
77,45.08687,-87.65283
78,45.08644,-87.65343
79,45.08582,-87.65454
80,45.08563,-87.65488
81,45.08563,-87.65489
82,45.08563,-87.6549
83,45.08563,-87.65491
84,45.08562,-87.65491
85,45.08562,-87.65492
86,45.08561,-87.65492
87,45.08552,-87.65497
88,45.0838,-87.65817
89,45.08369,-87.65839
90,45.08365,-87.65856
91,45.08364,-87.65858
92,45.08363,-87.65861
93,45.08363,-87.65864
94,45.08271,-87.66032
95,45.08241,-87.6609
96,45.08093,-87.66347
97,45.07001,-87.68308
98,45.06959,-87.68384
99,45.06928,-87.68446
100,45.06885,-87.68542
101,45.06835,-87.68666
102,45.06566,-87.69385
103,45.06459,-87.69658
104,45.06284,-87.70127
105,45.06267,-87.70177
