,Latitude,Longitude
0,45.9262499,-86.9803371
1,45.9260912,-86.982496
2,45.9260213,-86.9831615
3,45.9259574,-86.9837294
4,45.9258964,-86.984168
5,45.9258415,-86.9845094
6,45.9257579,-86.9849376
7,45.9256208,-86.9855029
8,45.9254957,-86.9859469
9,45.9253587,-86.9863725
10,45.9252196,-86.9867479
11,45.9250514,-86.9871645
12,45.9248549,-86.9876185
13,45.9246798,-86.9879894
14,45.9245048,-86.9883305
15,45.9242783,-86.9887253
16,45.9240402,-86.9891121
17,45.9237855,-86.9894899
18,45.9235364,-86.9898316
19,45.9232225,-86.9902131
20,45.9228596,-86.9906092
21,45.9224927,-86.9909703
22,45.9220975,-86.9913161
23,45.9217837,-86.9915607
24,45.921382,-86.9918359
25,45.9210671,-86.9920223
26,45.920742,-86.9921876
27,45.9203981,-86.9923454
28,45.9200353,-86.9924852
29,45.9195873,-86.992624
30,45.9191021,-86.9927313
31,45.9186562,-86.9927957
32,45.9181206,-86.9928306
33,45.9171537,-86.9928194
34,45.9157242,-86.9927997
35,45.9123717,-86.9927485
36,45.9070618,-86.9926771
37,45.9052742,-86.9926531
38,45.9036458,-86.9926437
39,45.9031124,-86.9926778
40,45.9026642,-86.9927422
41,45.9022387,-86.9928521
42,45.9017259,-86.9930197
43,45.901298,-86.993209
44,45.9008079,-86.9934763
45,45.900307,-86.9937913
46,45.8998104,-86.9941941
47,45.8993759,-86.994592
48,45.8959165,-86.9981617
49,45.8955042,-86.9985907
50,45.894567,-86.999563
51,45.8937889,-87.0003594
52,45.8923884,-87.0018111
53,45.8908358,-87.003416
54,45.8902633,-87.0040005
55,45.889171,-87.0051397
56,45.8869466,-87.0074353
57,45.8862669,-87.0080969
58,45.885631,-87.0086899
59,45.8846606,-87.0095307
60,45.8822874,-87.0115371
61,45.8805574,-87.013012
62,45.8786946,-87.0145998
63,45.877941,-87.0152395
64,45.877153,-87.0159091
65,45.8760774,-87.0168176
66,45.8749042,-87.0178255
67,45.8729476,-87.0194864
68,45.8716043,-87.0206322
69,45.8712097,-87.0209682
70,45.8695096,-87.0224528
71,45.8681074,-87.0236364
72,45.8656447,-87.025715
73,45.8652578,-87.0260294
74,45.8649896,-87.0262205
75,45.864686,-87.0264113
76,45.8643407,-87.0265948
77,45.8640754,-87.0267142
78,45.8637435,-87.0268299
79,45.8634522,-87.0269018
80,45.863111,-87.0269666
81,45.8626912,-87.0269985
82,45.8623402,-87.0269847
83,45.8620209,-87.0269392
84,45.861606,-87.026842
85,45.8612738,-87.0267434
86,45.8609803,-87.0266297
87,45.8606801,-87.0264848
88,45.8598479,-87.0260075
89,45.8593605,-87.0257114
90,45.8577298,-87.02472
91,45.8569868,-87.0242978
92,45.8563767,-87.0239283
93,45.8560752,-87.0237581
94,45.8557467,-87.0236072
95,45.8554211,-87.0234873
96,45.8552172,-87.0234412
97,45.8550088,-87.0233989
98,45.8548169,-87.0233651
99,45.854636,-87.023348
100,45.8544602,-87.0233409
101,45.8539989,-87.0233509
102,45.8531735,-87.0233688
103,45.8526884,-87.0233743
104,45.8524558,-87.0233826
105,45.8521969,-87.0234221
106,45.8519766,-87.0234861
107,45.8517221,-87.0235895
108,45.8514724,-87.0237105
109,45.8512786,-87.0238345
110,45.8510966,-87.0239756
111,45.8508614,-87.0241904
112,45.8506755,-87.024394
113,45.8504879,-87.0246254
114,45.8502974,-87.0249042
115,45.8501164,-87.0252395
116,45.8499358,-87.0256209
117,45.8496189,-87.0263477
118,45.8494707,-87.0266612
119,45.8493357,-87.0269282
120,45.8491863,-87.0271998
121,45.849047,-87.0274138
122,45.8488781,-87.0276433
123,45.8486887,-87.0278664
124,45.8484883,-87.028077
125,45.8483399,-87.0282491
126,45.8479866,-87.028564
127,45.8469374,-87.0294648
128,45.8464626,-87.0298745
129,45.8459821,-87.0303007
130,45.8443689,-87.031719
131,45.8438274,-87.0321974
132,45.8431373,-87.0328197
133,45.8427464,-87.0332043
134,45.8421074,-87.0338786
135,45.841544,-87.0344936
136,45.8410232,-87.0350424
137,45.8404104,-87.0356604
138,45.8401652,-87.0359008
139,45.8385485,-87.0373269
140,45.8367779,-87.0388586
141,45.8361621,-87.0394017
142,45.8349247,-87.0404855
143,45.8343387,-87.0410005
144,45.8328555,-87.0422998
145,45.8325207,-87.0425869
146,45.8322061,-87.0428368
147,45.8319682,-87.0430036
148,45.8316474,-87.0432078
149,45.8312896,-87.0434172
150,45.8306996,-87.0437133
151,45.8291976,-87.0443886
152,45.828995,-87.0444851
153,45.8288087,-87.0445786
154,45.8285713,-87.0447237
155,45.8283429,-87.0448904
156,45.8281143,-87.0450768
157,45.8278911,-87.0452781
158,45.8276431,-87.045517
159,45.8274019,-87.0457881
160,45.8271226,-87.0461521
161,45.8265993,-87.0468933
162,45.8259223,-87.0478422
163,45.8249471,-87.0492295
164,45.8241593,-87.0503487
165,45.8235239,-87.0512527
166,45.8231924,-87.0517188
167,45.8227925,-87.0522285
168,45.8226337,-87.0524101
169,45.8224249,-87.0526264
170,45.8220988,-87.0529443
171,45.8218283,-87.0531857
172,45.8215255,-87.0534237
173,45.8212017,-87.0536447
174,45.8208739,-87.0538377
175,45.8204239,-87.0540779
176,45.8201149,-87.0541372
