,Latitude,Longitude
0,47.1201016,-88.5528396
1,47.1199832,-88.5527653
2,47.119839,-88.552624
3,47.1198161,-88.5525958
4,47.1197868,-88.5525641
5,47.1194699,-88.5522389
6,47.1192347,-88.5519832
7,47.1190303,-88.5517522
8,47.1189636,-88.5516808
9,47.1187843,-88.5514544
10,47.1186181,-88.5511924
11,47.1185592,-88.5510994
12,47.1184092,-88.5508129
13,47.1183744,-88.5507359
14,47.1182571,-88.5504763
15,47.1181706,-88.5502515
16,47.1181296,-88.5501448
17,47.1180909,-88.5500241
18,47.118022,-88.549809
19,47.1179798,-88.5496483
20,47.117925,-88.54944
21,47.1178677,-88.549207
22,47.1178263,-88.5490251
23,47.1177259,-88.5485659
24,47.1176902,-88.5483415
25,47.11765,-88.5479774
26,47.117637,-88.5478002
27,47.1176269,-88.54767
28,47.1175982,-88.5473021
29,47.1175859,-88.5471466
30,47.1175724,-88.5469477
31,47.1175055,-88.5458182
32,47.1174833,-88.5456288
33,47.1174061,-88.5449985
34,47.11735,-88.544633
35,47.1171271,-88.5435702
36,47.1170069,-88.5430586
37,47.1168971,-88.5425668
38,47.1167552,-88.5419555
39,47.1165135,-88.5407656
40,47.1164683,-88.5401851
