,Latitude,Longitude
0,36.59268,-83.66342
1,36.5954,-83.66143
2,36.5974,-83.65852
3,36.60068,-83.65507
4,36.60143,-83.65402
5,36.60201,-83.6527
6,36.60303,-83.6488
7,36.6033,-83.64594
8,36.60298,-83.64278
9,36.60218,-83.64002
10,36.60024,-83.63558
11,36.5998,-83.63387
12,36.59959,-83.63207
13,36.59958,-83.6303
14,36.60001,-83.62714
15,36.60165,-83.62157
16,36.60218,-83.62037
17,36.60408,-83.61746
18,36.60459,-83.61598
19,36.60473,-83.6066
20,36.60554,-83.59636
21,36.60512,-83.58986
22,36.6052,-83.5885
23,36.6055,-83.5872
24,36.60677,-83.58286
25,36.6098,-83.57498
26,36.61142,-83.57136
27,36.61552,-83.56324
28,36.6177,-83.55685
29,36.61985,-83.5514
30,36.62571,-83.53869
31,36.62757,-83.53535
32,36.62859,-83.53155
33,36.62918,-83.52723
34,36.62973,-83.5214
35,36.62908,-83.51791
36,36.62864,-83.50978
37,36.63229,-83.48732
38,36.63092,-83.47805
39,36.62924,-83.47132
40,36.62896,-83.46958
41,36.62899,-83.46651
42,36.62948,-83.46046
43,36.62974,-83.45899
44,36.63311,-83.45125
45,36.63416,-83.44568
46,36.63634,-83.43971
47,36.63836,-83.42884
48,36.63884,-83.42753
49,36.64413,-83.41997
50,36.64476,-83.41851
51,36.64549,-83.41552
52,36.64616,-83.41411
53,36.64817,-83.41129
54,36.65559,-83.39952
55,36.65921,-83.39532
56,36.66135,-83.38975
57,36.6634,-83.38674
58,36.66517,-83.38317
59,36.66902,-83.37734
60,36.67401,-83.36855
61,36.67534,-83.36722
62,36.67806,-83.36584
63,36.67913,-83.36448
64,36.67938,-83.36367
65,36.67945,-83.36262
66,36.67923,-83.35421
67,36.67862,-83.34845
68,36.67877,-83.34717
69,36.68008,-83.34383
70,36.68061,-83.34162
71,36.68156,-83.33886
72,36.68218,-83.33605
73,36.68599,-83.3256
74,36.6873,-83.32074
75,36.68768,-83.31868
76,36.68867,-83.31574
77,36.69083,-83.30746
78,36.69224,-83.29782
79,36.69219,-83.29332
80,36.69166,-83.2904
81,36.69161,-83.28837
82,36.69241,-83.28179
83,36.69297,-83.27997
84,36.69504,-83.27737
85,36.69582,-83.27563
86,36.69705,-83.26544
87,36.69907,-83.25805
88,36.69912,-83.25595
89,36.69803,-83.25263
90,36.69789,-83.2496
91,36.6976,-83.24817
92,36.69525,-83.24039
93,36.69438,-83.23838
94,36.68956,-83.23035
95,36.68657,-83.22756
96,36.67819,-83.21515
97,36.67694,-83.21366
98,36.67489,-83.21178
99,36.67442,-83.21106
100,36.6741,-83.20976
101,36.67424,-83.20747
102,36.67402,-83.20637
103,36.67337,-83.20531
104,36.67216,-83.20434
105,36.67149,-83.20361
106,36.67085,-83.20208
107,36.67055,-83.19664
108,36.66999,-83.1937
109,36.66997,-83.19253
110,36.67113,-83.18867
111,36.67177,-83.18192
112,36.67431,-83.17185
113,36.67483,-83.17048
114,36.67881,-83.16278
115,36.68124,-83.15369
116,36.68166,-83.15064
117,36.68173,-83.14496
118,36.68203,-83.14031
119,36.68299,-83.13314
120,36.68506,-83.12347
121,36.6863,-83.12134
122,36.689,-83.11101
123,36.68861,-83.11085
124,36.6885,-83.11076
125,36.68848,-83.11066
126,36.68902,-83.10795
127,36.68904,-83.10713
128,36.68874,-83.10617
129,36.68777,-83.10487
130,36.6875,-83.10411
131,36.68743,-83.1029
132,36.68763,-83.10156
133,36.6894,-83.09736
134,36.69044,-83.09396
135,36.69117,-83.09269
136,36.69159,-83.09222
137,36.69221,-83.09164
138,36.69263,-83.09114
139,36.69287,-83.09074
140,36.69322,-83.08987
141,36.69377,-83.08794
142,36.69386,-83.08748
143,36.69385,-83.08672
144,36.69372,-83.08623
145,36.6935,-83.08581
146,36.69302,-83.08523
147,36.69184,-83.08399
148,36.69159,-83.08358
149,36.69147,-83.08319
150,36.69137,-83.08238
151,36.69147,-83.07913
152,36.69159,-83.07826
153,36.69187,-83.07722
154,36.69277,-83.07458
155,36.69296,-83.07375
156,36.69306,-83.07273
157,36.69319,-83.07113
158,36.69335,-83.0704
159,36.6936,-83.06961
160,36.69504,-83.06572
161,36.69523,-83.06502
162,36.69533,-83.06426
163,36.69554,-83.06358
164,36.696,-83.06271
165,36.6962,-83.062
166,36.69625,-83.06121
167,36.6961,-83.05729
168,36.69612,-83.0554
169,36.69561,-83.05014
170,36.69585,-83.04902
171,36.69729,-83.04476
172,36.69752,-83.04284
173,36.69701,-83.03476
174,36.69739,-83.03312
175,36.69734,-83.03215
176,36.69616,-83.0299
177,36.69567,-83.02827
178,36.69481,-83.0272
179,36.69339,-83.02491
180,36.69319,-83.02399
181,36.69338,-83.02354
182,36.69379,-83.02326
183,36.69542,-83.02325
184,36.69661,-83.02285
185,36.6972,-83.02216
186,36.69768,-83.02103
187,36.69775,-83.01936
188,36.69836,-83.01562
189,36.69883,-83.0058
190,36.69966,-83.00193
191,36.70076,-82.99437
192,36.7013,-82.98909
193,36.70364,-82.98033
194,36.70394,-82.97721
195,36.70551,-82.9743
196,36.70648,-82.97094
197,36.71117,-82.95841
198,36.715,-82.95146
199,36.71936,-82.94512
200,36.72152,-82.94279
201,36.72197,-82.94159
202,36.72209,-82.9404
203,36.72189,-82.935
204,36.72161,-82.93371
205,36.7209,-82.93265
206,36.7187,-82.93136
207,36.71764,-82.93033
208,36.71671,-82.92852
209,36.71619,-82.9264
210,36.71629,-82.92427
211,36.71761,-82.91948
212,36.71811,-82.91841
213,36.71929,-82.91686
214,36.71977,-82.91574
215,36.71989,-82.91432
216,36.71959,-82.91286
217,36.71888,-82.91164
218,36.71781,-82.91087
219,36.71109,-82.90997
220,36.70961,-82.90933
221,36.70877,-82.90851
222,36.70814,-82.90749
223,36.7073,-82.9053
224,36.707,-82.90396
225,36.70734,-82.89939
226,36.70841,-82.89622
227,36.70909,-82.89267
228,36.70915,-82.89106
229,36.70975,-82.88922
230,36.71134,-82.88072
231,36.71128,-82.87904
232,36.71053,-82.8756
233,36.71041,-82.87326
234,36.71155,-82.86621
235,36.7116,-82.86162
236,36.71283,-82.85076
237,36.71254,-82.84761
238,36.71328,-82.84092
239,36.7132,-82.83444
240,36.71456,-82.819
241,36.7145,-82.81716
242,36.71412,-82.81551
243,36.71168,-82.81049
244,36.71115,-82.80873
245,36.71081,-82.80676
246,36.71073,-82.80416
247,36.7113,-82.79518
248,36.71146,-82.79356
249,36.71174,-82.79242
250,36.71096,-82.79115
251,36.71064,-82.79006
252,36.71055,-82.78894
253,36.71133,-82.78468
254,36.71134,-82.78333
255,36.71125,-82.78225
256,36.71069,-82.78034
257,36.70966,-82.77858
258,36.7082,-82.77723
259,36.70731,-82.77675
260,36.70283,-82.775
261,36.70144,-82.77404
262,36.70037,-82.77267
263,36.69892,-82.76908
264,36.69826,-82.76662
265,36.69813,-82.76428
266,36.69836,-82.7619
267,36.69818,-82.76026
268,36.69693,-82.7563
269,36.69585,-82.75462
270,36.69473,-82.75373
271,36.69323,-82.7532
272,36.69247,-82.75318
273,36.68891,-82.75389
274,36.68684,-82.7531
275,36.68618,-82.75307
276,36.68552,-82.75324
277,36.68504,-82.75356
278,36.68357,-82.75522
279,36.68262,-82.75565
280,36.67879,-82.75552
281,36.67551,-82.75613
282,36.67473,-82.75614
283,36.67322,-82.75569
284,36.66949,-82.75315
285,36.66891,-82.7529
286,36.66785,-82.75283
287,36.66546,-82.75335
288,36.66382,-82.75297
289,36.66243,-82.75206
290,36.65933,-82.74841
291,36.65858,-82.74779
292,36.65668,-82.74705
293,36.65518,-82.747
294,36.65436,-82.74721
295,36.65012,-82.74947
296,36.64876,-82.74958
297,36.64796,-82.74941
298,36.64586,-82.74834
299,36.64536,-82.74774
300,36.64504,-82.74705
301,36.64463,-82.74505
302,36.64126,-82.73992
303,36.64107,-82.73919
304,36.64104,-82.73843
305,36.64146,-82.73664
306,36.64232,-82.7306
307,36.64153,-82.71987
308,36.64112,-82.70999
309,36.64122,-82.70714
310,36.64186,-82.70078
311,36.64189,-82.69832
312,36.6417,-82.69596
313,36.64005,-82.6864
314,36.63912,-82.67222
315,36.63748,-82.65567
316,36.63602,-82.64747
317,36.63506,-82.64004
318,36.63492,-82.6349
319,36.63391,-82.6221
320,36.63393,-82.61502
321,36.63379,-82.61391
322,36.6334,-82.61287
323,36.6315,-82.61069
324,36.63109,-82.60999
325,36.63089,-82.60921
326,36.63155,-82.60364
327,36.63105,-82.59056
328,36.63122,-82.58737
329,36.63159,-82.58546
330,36.63236,-82.58307
331,36.63655,-82.57512
332,36.63716,-82.57362
333,36.6373,-82.5697
334,36.63803,-82.56506
335,36.63805,-82.56406
336,36.63726,-82.56029
337,36.63612,-82.5574
338,36.63505,-82.55563
339,36.63307,-82.55297
340,36.63211,-82.55245
341,36.63092,-82.55239
342,36.63061,-82.54914
343,36.63004,-82.5479
344,36.63094,-82.54601
345,36.63182,-82.54313
346,36.63242,-82.53904
347,36.63344,-82.53527
348,36.63347,-82.5329
349,36.63468,-82.51971
350,36.63522,-82.51852
351,36.63759,-82.51523
352,36.63904,-82.51203
353,36.64034,-82.50692
354,36.64089,-82.50163
355,36.64142,-82.49925
356,36.64188,-82.49613
357,36.64254,-82.49406
358,36.64705,-82.48561
359,36.64861,-82.48026
360,36.65001,-82.47638
361,36.65258,-82.47171
362,36.65291,-82.46439
363,36.65256,-82.46333
364,36.65148,-82.46173
365,36.65083,-82.4611
366,36.65009,-82.46046
367,36.64965,-82.46017
368,36.64892,-82.45978
369,36.64774,-82.45907
370,36.6439,-82.45657
371,36.64246,-82.45535
372,36.64084,-82.45441
373,36.64049,-82.45392
374,36.63956,-82.45168
375,36.63853,-82.45086
376,36.63787,-82.4491
377,36.63574,-82.44726
378,36.6341,-82.44614
379,36.63331,-82.44401
380,36.6324,-82.44013
381,36.63227,-82.43742
382,36.63254,-82.43637
383,36.63724,-82.42775
384,36.63763,-82.42621
385,36.63669,-82.42439
386,36.63683,-82.42335
387,36.63716,-82.42273
388,36.63759,-82.42239
389,36.638,-82.42228
390,36.6396,-82.42239
391,36.64046,-82.42145
392,36.64061,-82.42089
393,36.64048,-82.41924
394,36.64105,-82.4162
395,36.64438,-82.41034
396,36.64532,-82.40749
397,36.64554,-82.40569
398,36.64531,-82.40303
399,36.64456,-82.40057
400,36.64439,-82.39945
401,36.64654,-82.39672
402,36.64698,-82.39454
403,36.64812,-82.39324
404,36.64855,-82.39248
405,36.64958,-82.38856
406,36.64964,-82.38656
407,36.65105,-82.38258
408,36.651,-82.38197
409,36.65039,-82.38025
410,36.6483,-82.3775
411,36.64817,-82.37661
412,36.64924,-82.3747
413,36.64923,-82.37285
414,36.64954,-82.37256
415,36.65029,-82.37234
416,36.65049,-82.37207
417,36.65036,-82.37043
418,36.65139,-82.3691
419,36.65245,-82.36557
420,36.65221,-82.3641
421,36.65228,-82.36345
422,36.65349,-82.36186
423,36.65371,-82.36007
424,36.65445,-82.35925
425,36.65441,-82.3589
426,36.6537,-82.35805
427,36.65349,-82.35748
428,36.65379,-82.35563
429,36.65352,-82.35356
430,36.6538,-82.3532
431,36.65444,-82.35278
432,36.65515,-82.35097
433,36.65686,-82.34987
434,36.65722,-82.34949
435,36.65794,-82.34788
436,36.65806,-82.34608
437,36.6574,-82.34433
438,36.65705,-82.34389
439,36.65386,-82.3429
