,Latitude,Longitude
0,36.32483,-91.77285
1,36.32466,-91.77278
2,36.32462,-91.77277
3,36.32458,-91.77275
4,36.32451,-91.77273
5,36.32442,-91.77271
6,36.32435,-91.77269
7,36.32418,-91.77267
8,36.32408,-91.77265
9,36.32402,-91.77265
10,36.32389,-91.77263
11,36.32222,-91.77252
12,36.32209,-91.7725
13,36.32048,-91.77239
14,36.31917,-91.77233
15,36.31916,-91.77232
16,36.31785,-91.77225
17,36.31778,-91.77224
18,36.31773,-91.77224
19,36.3176,-91.77222
20,36.31736,-91.77216
21,36.31703,-91.77204
22,36.31694,-91.772
23,36.31689,-91.77197
24,36.31681,-91.77193
25,36.3165,-91.77173
26,36.31641,-91.77166
27,36.31633,-91.77159
28,36.31626,-91.77154
29,36.31621,-91.77148
30,36.31614,-91.77142
31,36.31581,-91.77103
32,36.31561,-91.77076
33,36.31394,-91.76862
34,36.31367,-91.76826
35,36.31196,-91.76607
36,36.31184,-91.76594
37,36.31182,-91.76591
38,36.31162,-91.76569
39,36.31132,-91.76539
40,36.31111,-91.76521
41,36.31099,-91.76512
42,36.31087,-91.76502
43,36.31031,-91.76464
44,36.30598,-91.76148
45,36.30493,-91.76069
46,36.30455,-91.76034
47,36.30432,-91.76009
48,36.3042,-91.75994
49,36.30385,-91.75953
50,36.30382,-91.7595
51,36.30332,-91.75886
52,36.30303,-91.75852
53,36.30285,-91.75829
54,36.30281,-91.75823
55,36.3026,-91.75797
56,36.30255,-91.75792
57,36.30243,-91.75776
58,36.3018,-91.75698
59,36.30153,-91.75666
60,36.30122,-91.75626
61,36.29968,-91.75438
62,36.29867,-91.75311
63,36.29841,-91.7528
64,36.29838,-91.75275
65,36.29764,-91.75186
66,36.29728,-91.75139
67,36.29638,-91.75027
68,36.29627,-91.75015
69,36.29625,-91.75012
70,36.29578,-91.74955
71,36.29553,-91.74922
72,36.29519,-91.7488
73,36.29511,-91.74869
74,36.29502,-91.74858
75,36.29502,-91.74857
76,36.2949,-91.74841
77,36.29488,-91.74839
78,36.29487,-91.74836
79,36.29481,-91.74829
80,36.29442,-91.74771
81,36.2919,-91.74364
82,36.29188,-91.74362
83,36.29144,-91.7429
84,36.2912,-91.74244
85,36.29104,-91.7421
86,36.29091,-91.7418
87,36.29087,-91.74168
88,36.29081,-91.74154
89,36.28818,-91.73412
90,36.28816,-91.73408
91,36.28792,-91.73329
92,36.28778,-91.7327
93,36.28771,-91.73226
94,36.28769,-91.7321
95,36.28767,-91.73199
96,36.2872,-91.72634
97,36.28718,-91.72617
98,36.28717,-91.72595
99,36.28716,-91.72587
100,36.28712,-91.72531
101,36.28705,-91.72464
102,36.28705,-91.72461
103,36.28703,-91.72438
104,36.28692,-91.72356
105,36.28691,-91.72351
106,36.28682,-91.72284
107,36.2868,-91.72262
108,36.2867,-91.72191
109,36.28669,-91.72187
110,36.28637,-91.71945
111,36.28637,-91.71944
112,36.28619,-91.71815
113,36.28606,-91.71748
114,36.28606,-91.71746
115,36.2859,-91.71672
116,36.28583,-91.71644
117,36.28513,-91.7133
118,36.28512,-91.71323
119,36.28488,-91.71212
120,36.28483,-91.71194
121,36.28432,-91.70964
122,36.2843,-91.70952
123,36.28416,-91.70893
124,36.28389,-91.70763
125,36.28368,-91.70674
126,36.28279,-91.70273
127,36.28266,-91.70225
128,36.28249,-91.70174
129,36.28245,-91.70166
130,36.2824,-91.70153
131,36.28228,-91.70126
132,36.28221,-91.70113
133,36.28212,-91.70094
134,36.28203,-91.70079
135,36.28191,-91.70057
136,36.2818,-91.70042
137,36.28162,-91.70015
138,36.28132,-91.69973
139,36.28126,-91.69963
140,36.2812,-91.69955
141,36.28107,-91.69935
142,36.28104,-91.69929
143,36.28095,-91.69915
144,36.28085,-91.69896
145,36.2808,-91.69884
146,36.28074,-91.69873
147,36.28062,-91.69848
148,36.28048,-91.69815
149,36.28019,-91.69754
150,36.28012,-91.69736
151,36.2794,-91.69579
152,36.27936,-91.69572
153,36.27932,-91.69562
154,36.2791,-91.69523
155,36.27881,-91.69483
156,36.27748,-91.69314
157,36.27747,-91.69314
158,36.27715,-91.69272
159,36.27703,-91.69253
160,36.27698,-91.69246
161,36.27676,-91.69208
162,36.27658,-91.69168
163,36.2765,-91.69147
164,36.27632,-91.69095
165,36.27564,-91.68885
166,36.27552,-91.68851
167,36.27547,-91.6884
168,36.27544,-91.68831
169,36.27541,-91.68825
170,36.27531,-91.68802
171,36.27463,-91.68667
172,36.27461,-91.68664
173,36.27279,-91.68311
174,36.27259,-91.68274
175,36.27196,-91.68149
176,36.27188,-91.68135
177,36.26948,-91.67672
178,36.26925,-91.67623
179,36.26916,-91.67602
180,36.26905,-91.6758
181,36.26882,-91.67523
182,36.26875,-91.67508
183,36.26757,-91.67224
184,36.26737,-91.6716
185,36.26729,-91.67127
186,36.26729,-91.67125
187,36.26724,-91.67101
188,36.26713,-91.6704
189,36.26422,-91.64919
190,36.26422,-91.64917
191,36.26418,-91.64872
192,36.26415,-91.6485
193,36.26321,-91.63868
194,36.26316,-91.63826
195,36.26316,-91.6382
196,36.26314,-91.6381
197,36.26313,-91.63801
198,36.26298,-91.63738
199,36.2629,-91.63716
200,36.26288,-91.63709
201,36.26277,-91.63678
202,36.26259,-91.63633
203,36.26257,-91.63626
204,36.26251,-91.63613
205,36.262,-91.63482
206,36.26151,-91.63367
207,36.26132,-91.63326
208,36.26074,-91.63214
209,36.25849,-91.62795
210,36.25843,-91.62785
211,36.25797,-91.62699
212,36.25787,-91.62683
213,36.25776,-91.62663
214,36.25763,-91.62644
215,36.25753,-91.62627
216,36.25713,-91.62572
217,36.25711,-91.6257
218,36.25683,-91.62536
219,36.2565,-91.625
220,36.25182,-91.62016
221,36.25098,-91.61932
222,36.25094,-91.61927
223,36.24971,-91.61801
224,36.24958,-91.61784
225,36.24928,-91.61756
226,36.24866,-91.6169
227,36.2482,-91.61636
228,36.24777,-91.61578
229,36.24625,-91.61366
230,36.24608,-91.61341
231,36.23946,-91.6042
232,36.23917,-91.60378
233,36.23616,-91.59959
234,36.23662,-91.59893
235,36.23666,-91.59886
236,36.2387,-91.59595
237,36.23931,-91.59503
238,36.23954,-91.59472
239,36.23966,-91.59457
240,36.23988,-91.59432
241,36.23998,-91.59422
242,36.24025,-91.594
243,36.24047,-91.59384
244,36.2411,-91.59348
245,36.24353,-91.59216
246,36.24517,-91.5913
247,36.24873,-91.58938
248,36.24885,-91.58931
249,36.24894,-91.58925
250,36.24896,-91.58923
251,36.24905,-91.58916
