,Latitude,Longitude
0,38.254,-85.73227
1,38.25349,-85.72791
2,38.25343,-85.72728
3,38.25343,-85.72682
4,38.25349,-85.72646
5,38.25392,-85.72503
6,38.25406,-85.72418
7,38.25414,-85.72395
8,38.25796,-85.7192
9,38.26012,-85.71686
10,38.25948,-85.71214
11,38.25954,-85.70987
12,38.25971,-85.70825
13,38.25971,-85.70762
14,38.25944,-85.70654
15,38.25888,-85.70487
16,38.25862,-85.70388
17,38.25849,-85.70321
18,38.25837,-85.70225
19,38.25829,-85.7015
20,38.2583,-85.70105
21,38.25976,-85.6912
22,38.25996,-85.68927
23,38.26003,-85.68813
24,38.2602,-85.68705
25,38.2604,-85.68634
26,38.26129,-85.68371
27,38.26308,-85.67798
28,38.26332,-85.67654
29,38.26348,-85.67483
30,38.26665,-85.66273
31,38.26732,-85.66039
32,38.26775,-85.65915
33,38.26871,-85.65664
34,38.26915,-85.65563
35,38.27421,-85.64546
36,38.27667,-85.64091
37,38.27826,-85.63832
38,38.27887,-85.63752
39,38.28064,-85.63545
40,38.28233,-85.63377
41,38.28334,-85.63291
42,38.28486,-85.6318
43,38.28573,-85.63125
44,38.28685,-85.63061
45,38.2882,-85.62997
46,38.28996,-85.62927
47,38.29289,-85.62844
48,38.2945,-85.62803
49,38.29559,-85.6278
50,38.29662,-85.62764
51,38.29852,-85.62744
52,38.29945,-85.6274
53,38.30035,-85.62739
54,38.30183,-85.62744
55,38.30335,-85.62759
56,38.30459,-85.62778
57,38.30526,-85.62783
58,38.30582,-85.62783
59,38.30699,-85.62767
60,38.30788,-85.62741
61,38.32153,-85.62256
62,38.32325,-85.62199
63,38.32444,-85.62165
64,38.32543,-85.62152
65,38.32642,-85.62157
66,38.32706,-85.62166
67,38.32754,-85.62179
68,38.32838,-85.62211
69,38.32908,-85.62244
70,38.32988,-85.62275
71,38.33054,-85.62288
72,38.33125,-85.62293
73,38.33203,-85.62285
74,38.33496,-85.6221
75,38.33578,-85.62182
76,38.33625,-85.62161
77,38.33679,-85.62135
78,38.33726,-85.62107
79,38.33834,-85.62034
80,38.34051,-85.61872
81,38.34211,-85.61764
82,38.34439,-85.6164
83,38.34516,-85.61603
84,38.35715,-85.61092
85,38.35826,-85.61037
86,38.35953,-85.60959
87,38.36036,-85.60897
88,38.36283,-85.60687
89,38.36339,-85.6062
90,38.36361,-85.60586
91,38.36407,-85.60494
92,38.36476,-85.603
93,38.36514,-85.60211
94,38.37075,-85.59098
95,38.37105,-85.59048
96,38.37156,-85.58995
97,38.37186,-85.58974
98,38.37234,-85.58953
99,38.37533,-85.58876
100,38.37771,-85.58769
101,38.38012,-85.58695
102,38.38063,-85.58674
103,38.38094,-85.58656
104,38.38138,-85.58622
105,38.38385,-85.58417
106,38.38433,-85.58385
107,38.38502,-85.58352
108,38.38587,-85.58329
109,38.39041,-85.58271
110,38.39088,-85.58252
111,38.39339,-85.5812
112,38.39424,-85.58081
113,38.39504,-85.58061
114,38.39643,-85.58052
115,38.39692,-85.58039
116,38.39741,-85.58013
117,38.39837,-85.57945
118,38.40123,-85.57692
119,38.40159,-85.57644
120,38.40179,-85.57608
121,38.4098,-85.56097
122,38.41084,-85.55907
123,38.41745,-85.54874
124,38.4198,-85.54412
125,38.42039,-85.54308
126,38.42432,-85.53749
127,38.4249,-85.53655
128,38.42967,-85.5271
129,38.43001,-85.52652
130,38.43195,-85.52384
131,38.43215,-85.52349
132,38.43229,-85.52311
133,38.43262,-85.52162
134,38.43285,-85.52024
135,38.43297,-85.51854
136,38.43294,-85.51707
137,38.43268,-85.51332
138,38.4327,-85.51257
139,38.43372,-85.50494
140,38.43404,-85.50321
141,38.43449,-85.5016
142,38.43632,-85.49662
143,38.43663,-85.496
144,38.43698,-85.49543
145,38.43964,-85.49146
146,38.43999,-85.49065
147,38.44014,-85.48995
148,38.44016,-85.48922
149,38.4396,-85.47848
150,38.43959,-85.47769
151,38.43963,-85.47691
152,38.43976,-85.47586
153,38.44225,-85.46299
154,38.44249,-85.46198
155,38.44292,-85.46053
156,38.44354,-85.45887
157,38.44405,-85.45773
158,38.44802,-85.44987
159,38.44841,-85.44894
160,38.44878,-85.44786
161,38.45198,-85.43505
162,38.45213,-85.4343
163,38.45416,-85.42109
164,38.45433,-85.42038
165,38.45451,-85.41997
166,38.45486,-85.41939
167,38.4602,-85.41106
168,38.4605,-85.41047
169,38.46077,-85.40961
170,38.46084,-85.40914
171,38.46116,-85.40385
172,38.46126,-85.40344
173,38.46154,-85.4029
174,38.46195,-85.4025
175,38.46244,-85.40225
176,38.46746,-85.40029
177,38.46799,-85.40003
178,38.46848,-85.39967
179,38.47138,-85.39704
180,38.47167,-85.3967
181,38.47834,-85.38678
182,38.4788,-85.38596
183,38.47912,-85.38505
184,38.47929,-85.38416
185,38.47999,-85.37714
186,38.4804,-85.37518
187,38.48059,-85.37446
188,38.48087,-85.37379
189,38.48155,-85.37259
190,38.48179,-85.37194
191,38.48222,-85.36926
192,38.48222,-85.36867
193,38.4819,-85.36708
194,38.48186,-85.36666
195,38.48187,-85.36623
196,38.48266,-85.36044
197,38.4827,-85.35974
198,38.48261,-85.35884
199,38.48097,-85.35081
200,38.48081,-85.34981
201,38.47989,-85.33926
202,38.47971,-85.33865
203,38.47922,-85.33779
204,38.47908,-85.33743
205,38.47898,-85.33683
206,38.479,-85.33622
207,38.47909,-85.33583
208,38.47924,-85.33546
209,38.48091,-85.33184
210,38.48118,-85.33131
211,38.48139,-85.331
212,38.48178,-85.33063
