,Latitude,Longitude
0,44.77009,-107.51801
1,44.77016,-107.51903
2,44.77017,-107.51998
3,44.77008,-107.52071
4,44.76983,-107.52173
5,44.76557,-107.53223
6,44.76522,-107.53331
7,44.76505,-107.53406
8,44.76492,-107.53481
9,44.76484,-107.53569
10,44.76482,-107.53685
11,44.76507,-107.5423
12,44.76512,-107.54501
13,44.76503,-107.5599
14,44.76506,-107.56064
15,44.76518,-107.56172
16,44.76599,-107.56719
17,44.76603,-107.56829
18,44.76599,-107.5691
19,44.76588,-107.56991
20,44.76413,-107.57936
21,44.76374,-107.58112
22,44.76319,-107.58298
23,44.76145,-107.58806
24,44.76109,-107.58938
25,44.76079,-107.59089
26,44.76068,-107.59174
27,44.76057,-107.59327
28,44.76037,-107.59689
29,44.76027,-107.60635
30,44.7602,-107.60766
31,44.76006,-107.60903
32,44.75984,-107.61045
33,44.75823,-107.61947
34,44.75792,-107.62094
35,44.75753,-107.62238
36,44.7551,-107.62958
37,44.7548,-107.63034
38,44.75407,-107.63154
39,44.75335,-107.63238
40,44.75263,-107.63294
41,44.74883,-107.63493
42,44.74816,-107.63541
43,44.7476,-107.63588
44,44.7433,-107.64016
45,44.74259,-107.64095
46,44.74183,-107.6419
47,44.7412,-107.64279
48,44.74015,-107.64451
49,44.7397,-107.6455
50,44.7395,-107.64612
51,44.73927,-107.64697
52,44.73877,-107.64913
53,44.73822,-107.6509
54,44.73805,-107.65156
55,44.73762,-107.65431
56,44.73629,-107.66017
57,44.73571,-107.66289
58,44.7356,-107.66418
59,44.73563,-107.66547
60,44.7358,-107.66669
61,44.7361,-107.66786
62,44.73904,-107.67762
63,44.73959,-107.67897
64,44.74001,-107.67978
65,44.74034,-107.68032
66,44.74263,-107.68349
67,44.74347,-107.68448
68,44.74513,-107.68617
69,44.746,-107.68732
70,44.74642,-107.68802
71,44.74691,-107.68903
72,44.74782,-107.69149
73,44.74824,-107.69283
74,44.74842,-107.69389
75,44.74849,-107.69469
76,44.74849,-107.69553
77,44.74845,-107.69612
78,44.74817,-107.69821
79,44.74812,-107.69882
80,44.74811,-107.69961
81,44.74817,-107.70049
82,44.7483,-107.70133
83,44.74853,-107.70223
84,44.74955,-107.70505
85,44.75025,-107.70658
86,44.75087,-107.70767
87,44.75142,-107.70852
88,44.75325,-107.71104
89,44.75536,-107.71452
90,44.75599,-107.71579
91,44.75626,-107.71669
92,44.75647,-107.71762
93,44.75657,-107.71841
94,44.7566,-107.71905
95,44.75652,-107.72258
96,44.75656,-107.7233
97,44.75666,-107.72396
98,44.75839,-107.72983
99,44.75854,-107.73055
100,44.75861,-107.7311
101,44.75864,-107.73161
102,44.75862,-107.7325
103,44.75829,-107.73608
104,44.75825,-107.7368
105,44.75829,-107.73792
106,44.75842,-107.73873
107,44.75869,-107.73973
108,44.75909,-107.74065
109,44.76156,-107.745
110,44.76194,-107.74578
111,44.7623,-107.74666
112,44.76255,-107.74744
113,44.76286,-107.74868
114,44.76333,-107.75166
115,44.76345,-107.75335
116,44.76343,-107.75477
117,44.76326,-107.75562
118,44.76105,-107.76109
119,44.76078,-107.76192
120,44.76037,-107.76374
121,44.76008,-107.76474
122,44.75972,-107.76571
123,44.75917,-107.76704
124,44.75907,-107.76744
125,44.75904,-107.76796
126,44.75909,-107.76834
127,44.76016,-107.77242
128,44.76024,-107.77316
129,44.76019,-107.77381
130,44.76008,-107.77429
131,44.75909,-107.77675
132,44.75893,-107.77736
133,44.75891,-107.7776
134,44.75893,-107.77803
135,44.75906,-107.77853
136,44.75918,-107.77885
137,44.76018,-107.78108
138,44.76069,-107.78189
139,44.7615,-107.78279
140,44.76569,-107.78708
141,44.77086,-107.79157
142,44.77141,-107.79198
143,44.77183,-107.79219
144,44.77745,-107.79432
145,44.778,-107.79458
146,44.77837,-107.79482
147,44.78047,-107.79684
148,44.79127,-107.80756
149,44.79183,-107.80815
150,44.79229,-107.80873
151,44.79284,-107.80951
152,44.79344,-107.8105
153,44.8028,-107.82784
154,44.808,-107.83865
155,44.80841,-107.83959
156,44.8088,-107.84065
157,44.80913,-107.84177
158,44.80938,-107.84288
159,44.80959,-107.84418
160,44.80974,-107.84595
161,44.80976,-107.84703
162,44.80972,-107.84813
163,44.80953,-107.84984
164,44.80806,-107.86038
165,44.80792,-107.86242
166,44.80788,-107.86654
167,44.80782,-107.86769
168,44.80773,-107.86831
169,44.80755,-107.8691
170,44.80674,-107.87169
171,44.80658,-107.87255
172,44.80653,-107.87306
173,44.80652,-107.8739
174,44.80667,-107.87507
175,44.80766,-107.87923
176,44.80792,-107.88099
177,44.80798,-107.8824
178,44.80795,-107.88369
179,44.80781,-107.8851
180,44.80756,-107.88646
181,44.80722,-107.88774
182,44.80682,-107.88886
183,44.803,-107.89789
184,44.80157,-107.90138
185,44.79916,-107.90693
186,44.79855,-107.90793
187,44.79793,-107.90872
188,44.79538,-107.91121
189,44.79482,-107.91167
190,44.79394,-107.91253
191,44.79337,-107.91334
192,44.793,-107.91411
193,44.7928,-107.91472
194,44.79151,-107.91958
195,44.7914,-107.92047
196,44.79143,-107.92087
197,44.79153,-107.92138
198,44.79173,-107.92186
199,44.79204,-107.92228
200,44.79239,-107.92255
201,44.79273,-107.92269
202,44.79297,-107.92271
203,44.79334,-107.92267
204,44.7947,-107.92224
205,44.79508,-107.92227
206,44.79537,-107.92242
207,44.79562,-107.92263
208,44.79576,-107.92283
209,44.79596,-107.92331
