,Latitude,Longitude
0,30.73071,-88.063
1,30.73802,-88.06777
2,30.75115,-88.07079
3,30.75867,-88.07319
4,30.76642,-88.07523
5,30.77219,-88.0753
6,30.77367,-88.07517
7,30.78141,-88.07272
8,30.80224,-88.07194
9,30.82025,-88.07078
10,30.83226,-88.06823
11,30.83409,-88.06767
12,30.84015,-88.06314
13,30.86293,-88.05168
14,30.87288,-88.04461
15,30.87355,-88.04431
16,30.87445,-88.04413
17,30.87673,-88.04436
18,30.8775,-88.0443
19,30.87874,-88.04378
20,30.88062,-88.04228
21,30.88197,-88.04177
22,30.91368,-88.03506
23,30.93961,-88.02345
24,30.94146,-88.0234
25,30.95477,-88.02669
26,30.95658,-88.02696
27,30.98266,-88.02682
28,30.98945,-88.02576
29,30.99443,-88.02537
30,30.99786,-88.02538
31,31.00425,-88.02582
32,31.00599,-88.02558
33,31.01059,-88.02457
34,31.01309,-88.02424
35,31.0156,-88.02417
36,31.03663,-88.02391
37,31.04419,-88.02422
38,31.05823,-88.02428
39,31.06017,-88.02449
40,31.06532,-88.02544
41,31.06831,-88.02555
42,31.06975,-88.02537
43,31.07165,-88.02488
44,31.07922,-88.02196
45,31.10046,-88.01067
46,31.1026,-88.00991
47,31.1053,-88.0095
48,31.15533,-88.00991
49,31.15772,-88.01018
50,31.17123,-88.0128
51,31.17453,-88.01312
52,31.17731,-88.01293
53,31.19206,-88.01054
54,31.19368,-88.01054
55,31.19587,-88.01123
56,31.20091,-88.01384
57,31.20287,-88.01467
58,31.20732,-88.01634
59,31.21035,-88.01725
60,31.23076,-88.02091
61,31.24352,-88.022
62,31.24535,-88.02231
63,31.24791,-88.02323
64,31.26272,-88.03082
65,31.26441,-88.03138
66,31.2665,-88.03164
67,31.27605,-88.0307
68,31.28456,-88.03153
69,31.28931,-88.03169
70,31.32977,-88.03163
71,31.34382,-88.0314
72,31.36884,-88.03292
73,31.37154,-88.03346
74,31.38701,-88.03809
75,31.38898,-88.03843
76,31.39171,-88.03858
77,31.39447,-88.03832
78,31.39777,-88.03746
79,31.42257,-88.02718
80,31.42474,-88.02652
81,31.42765,-88.02622
82,31.42946,-88.02634
83,31.43082,-88.02661
84,31.45673,-88.03369
85,31.45873,-88.0339
86,31.46042,-88.03364
87,31.46179,-88.03316
88,31.46353,-88.03209
