,Latitude,Longitude
0,36.64694,-86.85406
1,36.64919,-86.85433
2,36.64999,-86.8544
3,36.65045,-86.85442
4,36.65096,-86.85441
5,36.65164,-86.85438
6,36.65205,-86.85434
7,36.65234,-86.8543
8,36.65238,-86.8543
9,36.65273,-86.85424
10,36.65286,-86.85423
11,36.65575,-86.85371
12,36.65576,-86.85371
13,36.65591,-86.85368
14,36.65602,-86.85365
15,36.65643,-86.8535
16,36.65654,-86.85345
17,36.65666,-86.85338
18,36.65688,-86.85322
19,36.6571,-86.85308
20,36.6575,-86.85266
21,36.65816,-86.8519
22,36.65836,-86.85169
23,36.65857,-86.85151
24,36.65875,-86.85137
25,36.65887,-86.85129
26,36.65899,-86.85123
27,36.65908,-86.85117
28,36.65926,-86.8511
29,36.65951,-86.85102
30,36.65972,-86.85097
31,36.6599,-86.85094
32,36.66005,-86.85093
33,36.66043,-86.85093
34,36.66194,-86.85102
35,36.66204,-86.85102
36,36.66236,-86.85104
37,36.66249,-86.85107
38,36.66291,-86.85121
39,36.66303,-86.85126
40,36.66304,-86.85127
41,36.66319,-86.85134
42,36.66344,-86.8515
43,36.66404,-86.85191
44,36.66439,-86.85213
45,36.66456,-86.85221
46,36.66461,-86.85222
47,36.66467,-86.85224
48,36.66485,-86.85226
49,36.66516,-86.85228
50,36.66753,-86.85227
51,36.66817,-86.85225
52,36.66967,-86.85225
53,36.67182,-86.85221
54,36.67276,-86.85217
55,36.67723,-86.8519
56,36.67767,-86.85189
57,36.67793,-86.8519
58,36.67811,-86.85192
59,36.67844,-86.85198
60,36.67876,-86.85208
61,36.67892,-86.85214
62,36.67929,-86.85232
63,36.67964,-86.85255
64,36.67985,-86.85271
65,36.68004,-86.85289
66,36.68014,-86.85297
67,36.68042,-86.85328
68,36.68069,-86.85365
69,36.68082,-86.85385
70,36.68084,-86.85389
71,36.68098,-86.85413
72,36.68337,-86.85875
73,36.68414,-86.86018
74,36.68428,-86.86042
75,36.68437,-86.86056
76,36.68442,-86.86062
77,36.68456,-86.86081
78,36.68481,-86.86109
79,36.68502,-86.86127
80,36.68513,-86.86135
81,36.68523,-86.86141
82,36.68535,-86.86147
83,36.68543,-86.86152
84,36.68582,-86.86168
85,36.68613,-86.86177
86,36.68665,-86.8619
87,36.6869,-86.86194
88,36.68729,-86.86198
89,36.68763,-86.862
90,36.68813,-86.862
91,36.69562,-86.8614
92,36.69607,-86.86138
93,36.69617,-86.86137
94,36.69635,-86.86137
95,36.69683,-86.86141
96,36.69718,-86.86146
97,36.69724,-86.86148
98,36.69778,-86.86159
99,36.69786,-86.8616
100,36.69828,-86.86168
101,36.69879,-86.86176
102,36.69903,-86.86177
103,36.69923,-86.86179
104,36.69948,-86.86178
105,36.6998,-86.86178
106,36.70003,-86.86176
107,36.7008,-86.86175
108,36.70392,-86.86155
109,36.70492,-86.86152
110,36.72249,-86.86057
111,36.72295,-86.86056
112,36.72659,-86.86037
113,36.72663,-86.86036
114,36.72799,-86.8603
115,36.73036,-86.86016
116,36.73045,-86.86016
117,36.73054,-86.86015
118,36.73282,-86.86004
119,36.73392,-86.85996
120,36.73396,-86.85995
121,36.73432,-86.85991
122,36.73438,-86.8599
123,36.73449,-86.85989
124,36.73592,-86.85964
125,36.7361,-86.8596
126,36.73903,-86.85907
127,36.73953,-86.859
128,36.73976,-86.85898
129,36.73984,-86.85898
130,36.73989,-86.85897
131,36.74,-86.85898
132,36.74012,-86.85898
133,36.74036,-86.85902
134,36.74078,-86.85912
135,36.74103,-86.8592
136,36.74136,-86.85934
137,36.74152,-86.85942
138,36.74153,-86.85942
139,36.74169,-86.8595
140,36.74652,-86.86219
141,36.74659,-86.86222
142,36.7467,-86.86228
143,36.74727,-86.86249
144,36.74795,-86.8627
145,36.74838,-86.8628
146,36.74902,-86.86298
147,36.75387,-86.8642
148,36.75392,-86.86422
149,36.7588,-86.86547
150,36.7603,-86.86581
151,36.76093,-86.86592
152,36.76146,-86.86604
153,36.76519,-86.86681
154,36.76626,-86.86707
155,36.77036,-86.86816
156,36.77168,-86.86857
157,36.78272,-86.87252
158,36.783,-86.87263
159,36.78565,-86.87358
160,36.78634,-86.87381
161,36.7868,-86.87395
162,36.78716,-86.87404
163,36.78743,-86.87409
164,36.78763,-86.87411
165,36.78848,-86.87416
166,36.79478,-86.87422
167,36.79559,-86.87424
168,36.79573,-86.87425
169,36.79583,-86.87427
170,36.7963,-86.87434
171,36.79662,-86.87443
172,36.79743,-86.87471
173,36.80599,-86.87845
174,36.80633,-86.87859
175,36.80638,-86.87862
176,36.80697,-86.87888
177,36.80676,-86.87928
178,36.80598,-86.88153
179,36.80597,-86.88161
180,36.8058,-86.88235
181,36.80566,-86.88312
182,36.80561,-86.88358
183,36.80558,-86.88518
184,36.80559,-86.8857
185,36.80566,-86.88648
186,36.80581,-86.88733
187,36.80583,-86.88739
188,36.80606,-86.88841
189,36.80627,-86.88918
190,36.80637,-86.88969
191,36.80645,-86.89027
192,36.80667,-86.89122
193,36.80668,-86.89125
194,36.80678,-86.89166
195,36.80696,-86.89229
196,36.80703,-86.89249
197,36.80705,-86.89256
198,36.80735,-86.89336
199,36.80754,-86.89382
200,36.80772,-86.89422
201,36.80807,-86.89488
202,36.80857,-86.89573
203,36.8088,-86.89606
204,36.80939,-86.89681
205,36.81014,-86.89759
206,36.81036,-86.89777
207,36.81077,-86.89814
208,36.81102,-86.89834
209,36.81155,-86.89871
210,36.81169,-86.8988
211,36.8123,-86.89914
212,36.81267,-86.89932
213,36.81336,-86.8996
214,36.8137,-86.89972
215,36.81399,-86.89984
216,36.8144,-86.89997
217,36.81526,-86.90028
218,36.81543,-86.90035
219,36.81578,-86.90047
220,36.81609,-86.90059
221,36.8168,-86.90084
222,36.81682,-86.90084
223,36.81716,-86.90097
224,36.81786,-86.90121
225,36.81787,-86.90121
226,36.81884,-86.90158
227,36.8209,-86.90233
228,36.82196,-86.90274
229,36.82232,-86.90284
230,36.82301,-86.9031
231,36.82388,-86.9034
232,36.82389,-86.9034
233,36.82491,-86.90378
234,36.82536,-86.90396
235,36.82544,-86.90395
236,36.82575,-86.90408
237,36.82626,-86.90432
238,36.82708,-86.90483
239,36.82767,-86.90523
240,36.82845,-86.90587
241,36.82896,-86.90627
242,36.82961,-86.9067
243,36.82987,-86.90689
244,36.82995,-86.90696
245,36.83213,-86.90833
246,36.83263,-86.90866
247,36.83297,-86.9089
248,36.83304,-86.90896
249,36.83307,-86.90899
250,36.83313,-86.90903
251,36.83321,-86.9091
252,36.83333,-86.90922
253,36.83344,-86.90932
