,Latitude,Longitude
0,41.8209596,-71.3627901
1,41.821063,-71.3621936
2,41.8211063,-71.3619437
3,41.8211609,-71.3615115
4,41.8212048,-71.3611639
5,41.8212274,-71.360985
6,41.821296,-71.3604945
7,41.8213319,-71.3602384
8,41.8213646,-71.3600044
9,41.821457,-71.359344
10,41.8214948,-71.3590819
11,41.8215296,-71.3588412
12,41.821608,-71.3582982
13,41.821621,-71.358208
14,41.8216341,-71.3581098
15,41.8216693,-71.3578495
16,41.821671,-71.3578369
17,41.821693,-71.357674
18,41.821702,-71.357575
19,41.821716,-71.357422
20,41.821763,-71.3567086
21,41.821804,-71.356163
22,41.821809,-71.3560821
23,41.8218303,-71.3557545
24,41.821846,-71.3555122
25,41.8218494,-71.355459
26,41.8218576,-71.3553304
27,41.821861,-71.355278
28,41.8219041,-71.3546919
29,41.8219156,-71.3545352
30,41.821926,-71.354393
31,41.8219587,-71.3539851
32,41.821983,-71.353683
33,41.822025,-71.35331
34,41.8220626,-71.3530842
35,41.822128,-71.352692
36,41.8221435,-71.3526215
37,41.822205,-71.352341
38,41.8222199,-71.3522628
39,41.8223666,-71.3514916
40,41.822388,-71.351379
41,41.8223998,-71.3513198
42,41.8224326,-71.3511556
43,41.8224663,-71.3509866
44,41.822487,-71.3508826
45,41.8225472,-71.3505806
46,41.8225694,-71.3504692
47,41.8226561,-71.3500346
48,41.822674,-71.349945
49,41.822777,-71.349403
50,41.822796,-71.349305
51,41.8229078,-71.3487364
52,41.822988,-71.348327
53,41.8230762,-71.3480369
54,41.8231123,-71.3478376
55,41.8231431,-71.3476784
56,41.8231783,-71.3475081
57,41.8232397,-71.3471941
58,41.8232953,-71.3469092
59,41.8234101,-71.3463129
60,41.823457,-71.3460692
61,41.8234922,-71.3459027
62,41.823533,-71.345651
63,41.8235716,-71.3454234
64,41.8236032,-71.3452011
65,41.8236276,-71.3450565
66,41.823713,-71.344474
67,41.823736,-71.344325
68,41.823829,-71.343729
69,41.82387,-71.343475
70,41.823969,-71.3429449
71,41.8240211,-71.342611
72,41.8240423,-71.3424866
73,41.8241304,-71.341843
74,41.824195,-71.341388
75,41.8242542,-71.3410007
76,41.824269,-71.340904
77,41.8242981,-71.3407107
78,41.824326,-71.340526
79,41.8243877,-71.3401232
80,41.8244132,-71.3399567
81,41.8244668,-71.3396061
82,41.824486,-71.339481
83,41.8244922,-71.3394406
84,41.824532,-71.33918
85,41.824606,-71.3386993
86,41.824639,-71.338485
87,41.82465,-71.338415
88,41.824682,-71.338212
89,41.8247055,-71.3380632
90,41.82472,-71.337971
91,41.824762,-71.33775
92,41.824833,-71.337385
93,41.824994,-71.336592
94,41.825131,-71.335955
95,41.825348,-71.334905
96,41.8254459,-71.3344364
97,41.825545,-71.333962
98,41.825581,-71.3337911
99,41.82569,-71.333274
100,41.8257085,-71.3331833
101,41.8257597,-71.3329434
102,41.826151,-71.3310596
103,41.826168,-71.330978
104,41.8262027,-71.3308175
105,41.8263509,-71.33011
106,41.826384,-71.329953
107,41.8264196,-71.3297832
108,41.8264804,-71.3294931
109,41.8265503,-71.3291596
110,41.8265929,-71.3289563
111,41.826637,-71.328746
112,41.8266598,-71.3286371
113,41.8267073,-71.3284099
114,41.826775,-71.328086
115,41.826846,-71.327747
116,41.826992,-71.327033
117,41.8270764,-71.3266229
118,41.827143,-71.326299
119,41.827185,-71.326096
120,41.8273535,-71.325261
121,41.827387,-71.325095
122,41.827542,-71.324362
123,41.827574,-71.324208
124,41.827785,-71.323239
125,41.827955,-71.322386
126,41.828122,-71.321591
127,41.828172,-71.321358
128,41.8282298,-71.3210802
129,41.828246,-71.321002
130,41.828264,-71.32092
131,41.8283781,-71.3203889
132,41.8284243,-71.3201742
133,41.828434,-71.320129
134,41.828573,-71.319455
135,41.828635,-71.319154
136,41.828838,-71.318183
137,41.828983,-71.317481
138,41.829037,-71.317217
139,41.829211,-71.316378
140,41.8292735,-71.3160907
141,41.829376,-71.315619
142,41.829553,-71.314775
143,41.82972,-71.313938
144,41.829899,-71.313085
145,41.8299021,-71.3130712
146,41.829913,-71.313022
147,41.8299629,-71.3128027
148,41.830103,-71.312187
149,41.8301902,-71.3117587
150,41.8302513,-71.3114587
151,41.830439,-71.310537
152,41.830488,-71.31029
153,41.830653,-71.3095492
154,41.830792,-71.308856
155,41.830843,-71.3086134
156,41.830963,-71.308043
157,41.831087,-71.307485
158,41.8311328,-71.3072516
159,41.831206,-71.306879
160,41.831397,-71.305958
161,41.831563,-71.305201
162,41.831572,-71.305154
163,41.831693,-71.304571
164,41.831814,-71.304022
165,41.8318354,-71.30392
166,41.831961,-71.303321
167,41.832022,-71.303028
168,41.832137,-71.302467
169,41.832181,-71.302254
170,41.832199,-71.302169
171,41.8322672,-71.301849
172,41.8323449,-71.301484
173,41.832413,-71.301164
174,41.8324358,-71.3010597
175,41.8325113,-71.300714
176,41.8326031,-71.3002938
177,41.8326688,-71.2999932
178,41.832797,-71.2993694
179,41.8328469,-71.2991264
180,41.8329001,-71.2988701
181,41.8329687,-71.2985392
182,41.8330554,-71.2981159
183,41.8331676,-71.2975679
184,41.8332749,-71.2970437
185,41.833448,-71.29621
186,41.8335565,-71.2956892
187,41.8336065,-71.2954492
188,41.834127,-71.29295
189,41.8342259,-71.2924915
190,41.834437,-71.291513
191,41.8349823,-71.2888602
192,41.8350843,-71.2883638
193,41.8353452,-71.2870947
194,41.8355964,-71.2858726
195,41.835637,-71.285675
196,41.8359204,-71.2843616
197,41.8359725,-71.2841199
198,41.8362308,-71.282923
199,41.836593,-71.281244
200,41.8367992,-71.2803538
201,41.8368743,-71.2800293
202,41.8369476,-71.279713
203,41.8369785,-71.2795794
204,41.8370197,-71.2794016
205,41.837086,-71.2791154
206,41.837346,-71.277993
207,41.8374726,-71.2776436
208,41.8375361,-71.2774684
209,41.8376691,-71.2771014
210,41.8377957,-71.2767519
211,41.8385667,-71.2746242
212,41.8388088,-71.2739561
213,41.838899,-71.273707
214,41.84008,-71.2705168
215,41.8408542,-71.2684029
216,41.8408749,-71.2683458
217,41.8411406,-71.2676215
218,41.8411772,-71.2675207
219,41.8416159,-71.2662746
220,41.843157,-71.262045
221,41.843262,-71.261774
222,41.8434843,-71.2611002
223,41.8437439,-71.2603135
224,41.8442284,-71.2588449
225,41.844608,-71.2576944
226,41.8448246,-71.2570377
227,41.844909,-71.256782
228,41.8451735,-71.2560917
229,41.845251,-71.2558895
230,41.845339,-71.25566
231,41.8454228,-71.2554825
232,41.845804,-71.254675
233,41.8462276,-71.2539156
234,41.8464147,-71.2535782
235,41.8464588,-71.2534986
236,41.8471383,-71.2522731
237,41.8472587,-71.2520559
238,41.8472926,-71.2519946
239,41.847543,-71.251543
240,41.847983,-71.250772
241,41.8489817,-71.2489571
242,41.84956,-71.247906
243,41.8500657,-71.247001
244,41.8503652,-71.2464651
245,41.8515543,-71.2443371
246,41.8523731,-71.2428719
247,41.8525673,-71.2425243
248,41.8530554,-71.2416508
249,41.8531665,-71.241452
250,41.8532563,-71.2412913
251,41.85415,-71.239686
252,41.854276,-71.2394622
253,41.8544491,-71.2391546
254,41.854593,-71.238899
255,41.8549865,-71.2381876
256,41.8552283,-71.2377504
257,41.8553548,-71.2375218
258,41.8555304,-71.2372044
259,41.8558389,-71.2366465
260,41.8559062,-71.236529
261,41.8567823,-71.2349803
262,41.8569577,-71.2346609
263,41.857322,-71.233995
264,41.85762,-71.2334279
265,41.8581783,-71.2324211
266,41.8582366,-71.2323159
267,41.858629,-71.2316082
268,41.8592973,-71.2304029
269,41.85934,-71.230326
270,41.859623,-71.229814
271,41.8601867,-71.2288022
272,41.8605823,-71.2280922
273,41.861158,-71.227059
274,41.8612078,-71.2269704
275,41.8623891,-71.2248692
276,41.8625578,-71.2245692
277,41.8630033,-71.2237768
