,Latitude,Longitude
0,41.9209178,-73.0645204
1,41.9209642,-73.064627
2,41.9210119,-73.064941
3,41.9211135,-73.0653589
4,41.9212148,-73.0657506
5,41.9212301,-73.0658286
6,41.9212442,-73.0659046
7,41.921263,-73.0660177
8,41.9212851,-73.0662245
9,41.9213065,-73.0668531
10,41.9213099,-73.0669543
11,41.9213044,-73.0671295
12,41.9213009,-73.0672421
13,41.9212883,-73.0674137
14,41.9212621,-73.0677683
15,41.9212531,-73.0678525
16,41.9212468,-73.0679425
17,41.9212414,-73.0680043
18,41.921219,-73.0682576
19,41.9212163,-73.0682872
20,41.921182,-73.0686543
21,41.9211775,-73.0687137
22,41.9211375,-73.0692795
23,41.9211272,-73.0693945
24,41.921078,-73.0699454
25,41.9210566,-73.070177
26,41.921031,-73.0704856
27,41.9210263,-73.0705402
28,41.9210172,-73.0706762
29,41.9210068,-73.070779
30,41.9209842,-73.0710104
31,41.920947,-73.0713935
32,41.9208764,-73.0720795
33,41.9208705,-73.0721245
34,41.9208639,-73.0722046
35,41.9208557,-73.0723049
36,41.9208539,-73.0724718
37,41.9208626,-73.0726049
38,41.9209031,-73.0728274
39,41.9209546,-73.0730054
40,41.9210146,-73.0731524
41,41.9210803,-73.0732805
42,41.9211512,-73.0734149
43,41.9212502,-73.0735995
44,41.9213388,-73.0737443
45,41.9214274,-73.0738741
46,41.9215216,-73.0739921
47,41.9216206,-73.0741112
48,41.9217092,-73.0742099
49,41.9218585,-73.0743859
50,41.9219043,-73.0744379
51,41.9220029,-73.07455
52,41.922161,-73.0747324
53,41.922359,-73.0749545
54,41.9225921,-73.0752174
55,41.9227368,-73.0753585
56,41.9229409,-73.0755446
57,41.9231389,-73.0756841
58,41.923228,-73.0757392
59,41.9232602,-73.0757592
60,41.9232889,-73.0757756
61,41.9234119,-73.0758461
62,41.9235556,-73.0759094
63,41.9236349,-73.075942
64,41.9236522,-73.0759491
65,41.9237703,-73.0759909
66,41.9239696,-73.0760545
67,41.9239922,-73.0760617
68,41.9240368,-73.0760768
69,41.9241117,-73.076102
70,41.924176,-73.0761186
71,41.9242567,-73.0761423
72,41.9244576,-73.0762055
73,41.9245341,-73.0762307
74,41.92463,-73.0762623
75,41.9249158,-73.0763535
76,41.9251625,-73.0764233
77,41.9252926,-73.0764522
78,41.9254459,-73.0764748
79,41.925552,-73.0764898
80,41.9256422,-73.0764941
81,41.9258721,-73.0765102
82,41.9260294,-73.0765231
83,41.9260945,-73.0765335
84,41.9261419,-73.0765389
85,41.9262077,-73.0765571
86,41.9263159,-73.0765658
87,41.9265019,-73.076584
88,41.9266352,-73.0766033
89,41.9267598,-73.0766355
90,41.9268672,-73.0767078
