,Latitude,Longitude
0,41.7774027,-72.5128682
1,41.7773808,-72.5134369
2,41.7772918,-72.5140916
3,41.7772219,-72.5146151
4,41.7771876,-72.5148735
5,41.7770688,-72.5157743
6,41.7770369,-72.5160155
7,41.7769267,-72.516813
8,41.7769085,-72.5169447
9,41.776901,-72.517
10,41.7767464,-72.5179249
11,41.7765219,-72.5192135
12,41.7764404,-72.5196813
13,41.7764222,-72.5197856
14,41.7764166,-72.5198176
15,41.7763682,-72.5200862
16,41.7763353,-72.5202677
17,41.7763196,-72.5203504
18,41.7763052,-72.5204228
19,41.776298,-72.5204568
20,41.7762811,-72.5205346
21,41.7762611,-72.5206207
22,41.7762455,-72.5206832
23,41.7762288,-72.5207457
24,41.7762011,-72.520843
25,41.7761859,-72.520895
26,41.7761754,-72.5209291
27,41.776154,-72.5209957
28,41.776132,-72.5210596
29,41.7761209,-72.5210903
30,41.776104,-72.5211346
31,41.7760927,-72.5211629
32,41.7760701,-72.5212159
33,41.7760588,-72.5212406
34,41.7760475,-72.5212639
35,41.7760363,-72.5212858
36,41.7760252,-72.5213061
37,41.7760088,-72.5213336
38,41.775998,-72.5213498
39,41.7759874,-72.5213642
40,41.7759766,-72.5213768
41,41.7759718,-72.5213822
42,41.7759617,-72.5213917
43,41.7759518,-72.5213992
44,41.7759422,-72.5214045
