,Latitude,Longitude
0,41.8314336,-71.4113344
1,41.831219,-71.411324
2,41.831133,-71.4113056
3,41.8307069,-71.4112145
4,41.8300502,-71.4110742
5,41.829862,-71.411034
6,41.829681,-71.410995
7,41.829518,-71.410962
8,41.829086,-71.410873
9,41.829052,-71.410866
10,41.828957,-71.410851
11,41.828854,-71.410828
12,41.8287581,-71.4108026
13,41.8286431,-71.410761
14,41.82861,-71.410749
15,41.8285964,-71.410744
16,41.8285676,-71.4107335
17,41.828468,-71.41069
18,41.8283681,-71.4106488
19,41.82832,-71.410629
20,41.828262,-71.410599
21,41.828148,-71.41053
22,41.8281382,-71.410525
23,41.827999,-71.410454
24,41.8279214,-71.4104072
25,41.827747,-71.410294
26,41.8276478,-71.410234
27,41.8274858,-71.410119
28,41.827409,-71.410068
29,41.8272747,-71.4099783
30,41.827179,-71.409912
31,41.8271606,-71.4099536
32,41.8271239,-71.4100317
33,41.8270446,-71.4101975
34,41.8269905,-71.4103053
35,41.8268384,-71.4105706
36,41.8268339,-71.4105772
37,41.8267931,-71.4106471
38,41.8267191,-71.4107504
39,41.8266875,-71.4106491
40,41.8266858,-71.4106454
41,41.82661,-71.4105158
42,41.8265874,-71.4104772
43,41.8264158,-71.4102366
44,41.8263683,-71.41017
45,41.8263074,-71.4100869
46,41.8262288,-71.4099797
47,41.826004,-71.409706
48,41.82563,-71.409187
49,41.825527,-71.409073
50,41.825455,-71.409019
51,41.8253971,-71.4089922
52,41.825291,-71.408943
53,41.8252349,-71.4089188
54,41.8252166,-71.4089085
55,41.825138,-71.408864
56,41.8250701,-71.4088246
57,41.82505,-71.408813
58,41.824734,-71.408646
59,41.8246871,-71.4086218
60,41.8245831,-71.408568
61,41.824467,-71.408508
62,41.8244497,-71.408502
63,41.8243876,-71.4084805
64,41.824291,-71.408447
65,41.8242512,-71.4084384
66,41.8242185,-71.4084328
67,41.8241462,-71.4082329
68,41.824136,-71.4081819
69,41.824135,-71.4081518
70,41.8241401,-71.4081362
71,41.8242673,-71.4077319
72,41.8242691,-71.4076913
73,41.8242647,-71.407644
74,41.8242541,-71.4075993
75,41.8242375,-71.4075658
76,41.8241935,-71.4075122
77,41.8241641,-71.407492
78,41.82384,-71.407269
79,41.823765,-71.407219
80,41.82351,-71.4070285
81,41.8233553,-71.4069142
82,41.8232193,-71.4068179
83,41.8231849,-71.4067891
84,41.8228678,-71.4064595
85,41.8228514,-71.4064443
86,41.8228234,-71.4064163
87,41.8226357,-71.4062371
88,41.8224215,-71.4060314
89,41.8223892,-71.4060004
90,41.8221228,-71.4057293
91,41.8217915,-71.4053978
92,41.8217523,-71.4053586
93,41.8212963,-71.4049302
94,41.8208655,-71.4045121
95,41.8208353,-71.4044865
96,41.8206133,-71.404291
97,41.8205614,-71.4042454
98,41.8205016,-71.4041967
99,41.8198607,-71.4036253
100,41.8197236,-71.4035058
101,41.819566,-71.4033209
102,41.8194756,-71.4031825
103,41.8194296,-71.4031006
104,41.8193777,-71.4030144
105,41.8188322,-71.4019911
106,41.8188132,-71.4019552
107,41.8187566,-71.4018594
108,41.8186771,-71.4017607
109,41.8186122,-71.4016738
110,41.8183461,-71.4013938
111,41.8177117,-71.4008303
112,41.8175039,-71.4006398
113,41.8169889,-71.4001586
114,41.8169245,-71.4001051
115,41.8168572,-71.4000522
116,41.8167451,-71.3999524
117,41.8164162,-71.3996615
118,41.8163854,-71.3995493
119,41.8163782,-71.3995231
120,41.8163773,-71.3994522
121,41.8163855,-71.3993889
122,41.8164334,-71.3992754
123,41.8168262,-71.3985832
124,41.8168663,-71.3985169
125,41.8170471,-71.3982039
126,41.81729,-71.3977398
127,41.8175253,-71.3972935
128,41.8180053,-71.3962634
129,41.8181395,-71.3958782
130,41.8182479,-71.395474
131,41.8184199,-71.3945942
132,41.8185465,-71.393929
133,41.8185772,-71.3937546
134,41.8185842,-71.3937145
135,41.8186348,-71.3934766
136,41.8189082,-71.3923227
137,41.8190231,-71.3916041
138,41.8190458,-71.3914565
139,41.8190662,-71.3913164
140,41.8190862,-71.3911746
141,41.819103,-71.3910256
142,41.8191147,-71.3908825
143,41.8191231,-71.3907316
144,41.8191288,-71.3905948
145,41.8191324,-71.3904485
146,41.819134,-71.3903021
147,41.8191336,-71.3901583
148,41.819129,-71.389845
149,41.8190439,-71.3848753
150,41.8189256,-71.3840092
151,41.8189079,-71.3839059
152,41.818889,-71.383816
153,41.8188644,-71.3837161
154,41.8188378,-71.3836226
155,41.8188078,-71.3835358
156,41.8187735,-71.3834517
157,41.8187355,-71.3833702
158,41.8186974,-71.3832931
159,41.8186082,-71.3831141
160,41.8185578,-71.3830162
161,41.8184839,-71.3828764
162,41.8183432,-71.3825809
163,41.8183187,-71.3825094
164,41.8183031,-71.3824397
165,41.8182916,-71.3823667
166,41.8182855,-71.3822944
167,41.8182846,-71.3822259
168,41.8182881,-71.3821579
169,41.818297,-71.3820854
170,41.818312,-71.3820118
171,41.8183308,-71.3819406
172,41.8183529,-71.381875
173,41.8183797,-71.3818121
174,41.818408,-71.3817578
175,41.8184392,-71.3817063
176,41.8189411,-71.3809403
177,41.8190653,-71.3807559
178,41.8191138,-71.3806825
179,41.8191632,-71.3806033
180,41.8192053,-71.3805309
181,41.8192449,-71.3804583
182,41.8192818,-71.3803824
183,41.8193192,-71.3803006
184,41.8193566,-71.3802139
185,41.8193927,-71.3801229
186,41.8194058,-71.3800985
187,41.8194224,-71.3800784
188,41.8194422,-71.3800622
