,Latitude,Longitude
0,41.6983171,-73.8826413
1,41.6980951,-73.883418
2,41.6979555,-73.8839791
3,41.697866,-73.8843388
4,41.6978132,-73.884551
5,41.6976519,-73.8852804
6,41.6975502,-73.8857402
7,41.6975186,-73.885884
8,41.697413,-73.8863658
9,41.6971588,-73.8875219
10,41.6969288,-73.8885679
11,41.6968931,-73.8887379
12,41.696641,-73.8899394
13,41.6965994,-73.8901378
14,41.696493,-73.890645
15,41.6963968,-73.8910569
16,41.6963741,-73.8911473
17,41.6962751,-73.8914603
18,41.6962345,-73.8915666
19,41.6961277,-73.8918466
20,41.6959674,-73.8922071
21,41.6955252,-73.8930911
22,41.6954035,-73.8933744
23,41.6952753,-73.8937349
24,41.6951984,-73.894061
25,41.6951407,-73.8943958
26,41.6951086,-73.8947219
27,41.6950894,-73.8949966
28,41.695051,-73.8956403
29,41.6950036,-73.8961793
30,41.6949869,-73.8963699
31,41.6949736,-73.8966011
32,41.6949676,-73.8967046
33,41.6949633,-73.8967813
34,41.6949376,-73.8972349
35,41.6949272,-73.8974193
36,41.6949235,-73.8974855
37,41.6949114,-73.8976982
38,41.6948997,-73.8979059
39,41.6948354,-73.8990421
40,41.6947915,-73.8998753
41,41.6947751,-73.9001851
42,41.6947677,-73.9002956
43,41.6947521,-73.9006214
44,41.6947465,-73.9006937
45,41.69472,-73.9010334
46,41.6946887,-73.9012741
47,41.6946863,-73.9012929
48,41.6946687,-73.9014282
49,41.6946457,-73.9015665
50,41.694615,-73.9017511
51,41.6944912,-73.9024945
52,41.6944572,-73.9026985
53,41.694406,-73.9031191
54,41.6944006,-73.9032274
55,41.6943867,-73.9035053
56,41.6943964,-73.9037383
57,41.6944024,-73.9038809
58,41.6944262,-73.9041002
59,41.694438,-73.9042091
60,41.6945085,-73.904561
61,41.6948812,-73.9063364
62,41.6948995,-73.9064235
63,41.6949171,-73.9065085
64,41.6954594,-73.9091311
65,41.6954763,-73.909213
66,41.6954914,-73.9092853
67,41.6954954,-73.9093042
68,41.6956131,-73.9098675
69,41.6957413,-73.9103138
70,41.6958758,-73.9106829
71,41.6960232,-73.9110091
72,41.6961771,-73.9112923
73,41.6963501,-73.9115841
74,41.6965359,-73.9118416
75,41.6969525,-73.9123824
76,41.6974268,-73.9130003
77,41.6976383,-73.9133179
78,41.6977471,-73.9134847
79,41.6978561,-73.9137642
80,41.6979757,-73.9140796
81,41.6980592,-73.9143719
82,41.6981423,-73.9147577
83,41.6981936,-73.9152384
84,41.6982133,-73.9155965
85,41.6982545,-73.9166577
86,41.6982577,-73.9167318
87,41.6982608,-73.9168001
88,41.6983089,-73.9178476
89,41.6983282,-73.9181137
90,41.6983443,-73.918265
91,41.6983538,-73.918354
92,41.698372,-73.9184461
93,41.6983864,-73.9185188
94,41.6984115,-73.9186458
95,41.698523,-73.9190536
96,41.6989562,-73.9204654
97,41.6992974,-73.9215861
98,41.6993244,-73.9216747
99,41.6993483,-73.9217535
100,41.699758,-73.9231037
101,41.6999252,-73.9236549
102,41.7001013,-73.9242352
103,41.7001628,-73.9244056
104,41.7001974,-73.9245013
105,41.7002316,-73.9245911
106,41.7003397,-73.924875
107,41.7004553,-73.9251784
108,41.700522,-73.9253536
109,41.700544,-73.9254113
110,41.7006318,-73.9256418
111,41.7009713,-73.9265331
112,41.7009984,-73.9266041
113,41.7010194,-73.9266651
114,41.7010378,-73.926711
115,41.701085,-73.9268482
116,41.70113,-73.9269855
117,41.7011674,-73.9271126
118,41.7012019,-73.9272356
119,41.7012436,-73.9273865
120,41.7012708,-73.9274876
121,41.7015875,-73.9286562
122,41.7018621,-73.9296696
123,41.7018884,-73.9297649
124,41.7019131,-73.929854
125,41.7020163,-73.9302345
126,41.7020929,-73.9305156
127,41.7021623,-73.9307691
128,41.7021786,-73.930827
129,41.7022074,-73.9309334
130,41.7022287,-73.9310123
131,41.7022373,-73.9310452
132,41.7022749,-73.9311899
133,41.7023084,-73.9313271
134,41.7023362,-73.9314558
135,41.7023627,-73.9315968
136,41.7023859,-73.9317399
137,41.7024044,-73.9318844
138,41.7024191,-73.9320294
139,41.7024297,-73.9321729
140,41.7024376,-73.9323136
141,41.7024445,-73.9324636
142,41.7024517,-73.9326066
143,41.7024605,-73.9327524
144,41.7024707,-73.932897
145,41.7024823,-73.9330429
146,41.7025073,-73.9333303
147,41.7025448,-73.9337265
148,41.7025563,-73.9338497
149,41.7025672,-73.9339674
150,41.7025746,-73.9340443
151,41.70261,-73.9344123
152,41.7026321,-73.9346402
153,41.7026423,-73.9347898
154,41.70265,-73.9349419
155,41.7026535,-73.9350921
156,41.702652,-73.9352292
157,41.7026447,-73.9353776
158,41.7026321,-73.9355296
159,41.7026149,-73.9356764
160,41.7025927,-73.9358416
161,41.7025939,-73.9358731
162,41.7026016,-73.9359064
163,41.7026154,-73.9359373
