,Latitude,Longitude
0,41.7097335,-73.9653453
1,41.7094354,-73.9656551
2,41.7093749,-73.9657274
3,41.7093171,-73.9658132
4,41.7092651,-73.9659191
5,41.7092273,-73.9660171
6,41.7091996,-73.9661441
7,41.7091804,-73.9662998
8,41.709173,-73.9664485
9,41.7091732,-73.9666201
10,41.7091828,-73.9667696
11,41.7091938,-73.9669124
12,41.709197,-73.967045
13,41.7091841,-73.9671895
14,41.7091597,-73.96732
15,41.7091131,-73.9674593
16,41.7090551,-73.9675756
17,41.7089848,-73.9676819
18,41.708904,-73.9677715
19,41.7088165,-73.9678413
20,41.7087204,-73.9678965
21,41.7086255,-73.9679298
22,41.7085211,-73.9679483
23,41.7084189,-73.9679432
24,41.7083241,-73.9679193
25,41.7082213,-73.9678725
26,41.7081252,-73.9678076
27,41.708047,-73.9677298
28,41.7079709,-73.9676308
29,41.7079049,-73.967512
30,41.7078481,-73.9673868
31,41.7077884,-73.9672273
32,41.7077209,-73.967035
33,41.7076471,-73.9667957
34,41.7075878,-73.9665644
35,41.70754,-73.9663406
36,41.7075023,-73.9661123
37,41.707479,-73.9659077
38,41.7074623,-73.9656962
39,41.7074534,-73.9654915
40,41.7074505,-73.9652757
41,41.7074577,-73.9650569
42,41.7074744,-73.9648254
43,41.7074995,-73.9646064
44,41.7075371,-73.9643647
45,41.7075805,-73.964153
46,41.7076303,-73.9639409
47,41.7076879,-73.9637369
48,41.7077608,-73.9634923
49,41.7078509,-73.9632394
50,41.7084482,-73.9618586
51,41.7085499,-73.9616235
52,41.7086279,-73.9614407
53,41.7086879,-73.9612817
54,41.7087217,-73.9611925
55,41.7087722,-73.961046
56,41.7088148,-73.9609184
57,41.7088794,-73.9607216
58,41.7089322,-73.9605479
59,41.7089922,-73.9603454
60,41.7090513,-73.9601385
61,41.7091033,-73.9599501
62,41.7091582,-73.9597365
63,41.7091863,-73.9596019
64,41.7092141,-73.9594639
65,41.7092487,-73.9592664
66,41.7092951,-73.9589776
67,41.7093364,-73.9587108
68,41.7093534,-73.9586061
69,41.7093791,-73.9584301
70,41.7094118,-73.9581508
71,41.7094369,-73.9578871
72,41.7094553,-73.9576183
73,41.7094643,-73.9574692
74,41.7094717,-73.9573289
75,41.7094758,-73.9571857
76,41.7094758,-73.9570141
77,41.7094741,-73.9568765
78,41.7094675,-73.9567343
79,41.7094592,-73.9565794
80,41.7094502,-73.9564426
81,41.7094398,-73.9563112
82,41.7094268,-73.9561698
83,41.7094129,-73.9560299
84,41.7093968,-73.9558894
85,41.7093785,-73.9557478
86,41.7093582,-73.9556105
87,41.7093363,-73.955481
88,41.709311,-73.9553426
89,41.7092809,-73.9552016
90,41.7092468,-73.9550642
91,41.7092114,-73.9549325
92,41.7091721,-73.954802
93,41.70913,-73.9546728
94,41.7090829,-73.954544
95,41.7090338,-73.9544208
96,41.7089766,-73.95429
97,41.7089272,-73.9541829
98,41.7088658,-73.9540593
99,41.7088068,-73.953947
100,41.7087423,-73.9538364
101,41.7086746,-73.953727
102,41.7086018,-73.9536186
103,41.7085272,-73.9535136
104,41.7084518,-73.9534132
105,41.708379,-73.953323
106,41.7082878,-73.9532181
107,41.7082095,-73.9531362
108,41.7081324,-73.9530591
109,41.7080431,-73.9529757
110,41.7079578,-73.9529017
111,41.7078652,-73.9528278
112,41.7077724,-73.952758
113,41.7076772,-73.9526942
114,41.7075845,-73.9526353
115,41.7074861,-73.9525798
116,41.7073878,-73.9525284
117,41.7072875,-73.9524817
118,41.7071886,-73.9524405
119,41.7070885,-73.9524037
120,41.7069827,-73.9523686
121,41.7068829,-73.9523405
122,41.706781,-73.9523181
123,41.7066734,-73.9522986
124,41.7065676,-73.9522844
125,41.7064597,-73.9522741
126,41.7063573,-73.9522708
127,41.7062493,-73.9522708
128,41.7061422,-73.9522761
129,41.7060391,-73.9522859
130,41.7059334,-73.9523003
131,41.7058306,-73.9523198
132,41.705722,-73.9523449
133,41.7056213,-73.9523732
134,41.7055214,-73.952406
135,41.7054124,-73.9524469
136,41.7053157,-73.9524882
137,41.7052168,-73.9525342
138,41.7047157,-73.952775
139,41.7046666,-73.9527969
140,41.7046147,-73.9528173
141,41.7045629,-73.9528354
142,41.7045076,-73.9528511
143,41.7044543,-73.9528609
144,41.7044007,-73.9528675
145,41.7043471,-73.9528699
146,41.7042911,-73.9528694
147,41.7042369,-73.9528648
148,41.7041835,-73.9528553
149,41.704126,-73.9528383
150,41.7040709,-73.952817
151,41.7040225,-73.952794
152,41.7039778,-73.9527687
153,41.7039287,-73.9527356
154,41.7038777,-73.9526958
155,41.7038298,-73.9526527
156,41.7037875,-73.952609
157,41.7037514,-73.9525639
158,41.7037059,-73.9525019
159,41.7036715,-73.9524479
160,41.7036408,-73.9523934
161,41.703612,-73.9523364
162,41.7035825,-73.9522721
163,41.7035539,-73.9522033
164,41.7035316,-73.952138
165,41.7035132,-73.9520661
166,41.7035014,-73.9519924
167,41.703497,-73.9519158
168,41.7034965,-73.9518537
169,41.7034998,-73.9516918
