,Latitude,Longitude
0,41.868822,-71.5102353
1,41.868767,-71.5104207
2,41.8687547,-71.5107504
3,41.868752,-71.5110802
4,41.8687607,-71.5114099
5,41.8687807,-71.5117386
6,41.8688121,-71.5120658
7,41.8688546,-71.5123907
8,41.8689083,-71.5127125
9,41.8689731,-71.5130307
10,41.8692436,-71.5145402
11,41.8694088,-71.5154572
12,41.869528,-71.5161001
13,41.8696132,-71.5165622
14,41.8696861,-71.5170281
15,41.8697466,-71.5174972
16,41.8697947,-71.5179688
17,41.8698303,-71.5184425
18,41.8698643,-71.5189163
19,41.869918,-71.5196701
20,41.870004,-71.5199444
