,Latitude,Longitude
0,41.7909962,-72.4426931
1,41.7908982,-72.442953
2,41.7908177,-72.4431718
3,41.790766,-72.4433477
4,41.7906301,-72.4438494
5,41.7905631,-72.4442371
6,41.7904574,-72.4449309
7,41.7903822,-72.4453665
8,41.7903207,-72.4456189
9,41.7902062,-72.4459895
10,41.7899902,-72.4467763
11,41.7894812,-72.4484483
12,41.7893814,-72.4487761
13,41.7891519,-72.4495411
14,41.7890431,-72.449864
15,41.7889343,-72.4501333
16,41.7887391,-72.45057
17,41.7885849,-72.450864
18,41.7884697,-72.451056
19,41.7881334,-72.4515592
20,41.7875803,-72.4521977
21,41.7872032,-72.4527501
22,41.7869376,-72.4531621
23,41.786742,-72.4534982
24,41.7864976,-72.4539958
25,41.7863156,-72.4544008
26,41.7861981,-72.4546952
27,41.7860711,-72.455062
28,41.7859311,-72.4555351
29,41.7858866,-72.4557144
30,41.7858469,-72.4558911
31,41.7855722,-72.4570376
32,41.7854259,-72.4575585
