,Latitude,Longitude
0,35.61031,-83.42913
1,35.61073,-83.42801
2,35.61108,-83.42748
3,35.61146,-83.42694
4,35.61147,-83.42693
5,35.61156,-83.42676
6,35.61156,-83.42675
7,35.61159,-83.42669
8,35.61161,-83.42659
9,35.61163,-83.42652
10,35.61163,-83.42632
11,35.61161,-83.42626
12,35.6116,-83.42619
13,35.61157,-83.42614
14,35.61155,-83.42609
15,35.61149,-83.42599
16,35.61145,-83.42595
17,35.61143,-83.42592
18,35.61132,-83.4258
19,35.61126,-83.42572
20,35.61122,-83.42563
21,35.6112,-83.42551
22,35.6112,-83.42546
23,35.61122,-83.42529
24,35.61129,-83.42503
25,35.6118,-83.42345
26,35.61188,-83.42328
27,35.61194,-83.4232
28,35.61204,-83.42311
29,35.61209,-83.42308
30,35.61214,-83.42306
31,35.61219,-83.42306
32,35.61225,-83.42305
33,35.61228,-83.42306
34,35.61233,-83.42306
35,35.61235,-83.42307
36,35.61237,-83.42307
37,35.6124,-83.42308
38,35.61252,-83.42314
39,35.6126,-83.4232
40,35.61271,-83.4233
41,35.61281,-83.42338
42,35.61295,-83.42347
43,35.61305,-83.4235
44,35.61311,-83.4235
45,35.61315,-83.42349
46,35.61319,-83.42347
47,35.61322,-83.42346
48,35.61327,-83.42341
49,35.61331,-83.42335
50,35.61333,-83.42331
51,35.61339,-83.42315
52,35.61347,-83.42285
53,35.61349,-83.4228
54,35.61355,-83.42269
55,35.61364,-83.42262
56,35.61371,-83.4226
57,35.61377,-83.4226
58,35.61385,-83.42262
59,35.61388,-83.42264
60,35.61393,-83.42266
61,35.61419,-83.42286
62,35.61459,-83.42321
63,35.61483,-83.42346
64,35.61487,-83.42352
65,35.61488,-83.42355
66,35.61491,-83.42359
67,35.61494,-83.42367
68,35.61497,-83.42373
69,35.61503,-83.42392
70,35.61503,-83.42395
71,35.61505,-83.42402
72,35.61508,-83.42417
73,35.6151,-83.42433
74,35.61522,-83.42499
75,35.61526,-83.4251
76,35.61532,-83.42521
77,35.61532,-83.42522
78,35.61539,-83.42531
79,35.61545,-83.42535
80,35.61546,-83.42536
81,35.61548,-83.42537
82,35.6155,-83.42537
83,35.61552,-83.42538
84,35.61564,-83.42538
85,35.61567,-83.42536
86,35.61571,-83.42535
87,35.61576,-83.4253
88,35.61579,-83.42528
89,35.61579,-83.42527
90,35.61581,-83.42525
91,35.61586,-83.42512
92,35.61587,-83.42507
93,35.61587,-83.42501
94,35.61588,-83.42492
95,35.61588,-83.42434
96,35.61587,-83.42424
97,35.61587,-83.42394
98,35.61588,-83.42385
99,35.6159,-83.42376
100,35.61593,-83.42369
101,35.61595,-83.42362
102,35.61599,-83.42355
103,35.61599,-83.42354
104,35.61603,-83.42348
105,35.61614,-83.42334
106,35.61628,-83.42321
107,35.61682,-83.42286
108,35.61693,-83.42273
109,35.61698,-83.42266
110,35.61705,-83.42251
111,35.61707,-83.42245
112,35.6171,-83.42239
113,35.61727,-83.42183
114,35.61728,-83.42174
115,35.61729,-83.42169
116,35.61729,-83.4216
117,35.61728,-83.42153
118,35.61728,-83.42147
119,35.61724,-83.42131
120,35.61718,-83.42115
121,35.61712,-83.42102
122,35.61699,-83.42079
123,35.61692,-83.42065
124,35.61686,-83.4205
125,35.61684,-83.42043
126,35.61682,-83.42029
127,35.61682,-83.42009
128,35.61686,-83.41986
129,35.61689,-83.41976
130,35.61691,-83.41967
131,35.61696,-83.41957
132,35.61696,-83.41956
133,35.61704,-83.41944
134,35.6171,-83.41939
135,35.61719,-83.41934
136,35.6174,-83.41927
137,35.61749,-83.41925
138,35.61767,-83.41925
139,35.61774,-83.41926
140,35.61779,-83.41928
141,35.61784,-83.41929
142,35.618,-83.41938
143,35.61804,-83.41942
144,35.61809,-83.41946
145,35.61823,-83.41961
146,35.61852,-83.42
147,35.61872,-83.42024
148,35.61917,-83.42066
149,35.61923,-83.42069
150,35.61926,-83.42071
151,35.61931,-83.42073
152,35.61936,-83.42074
