,Latitude,Longitude
0,25.76599,-80.20743
1,25.77734,-80.20786
2,25.77752,-80.2078
3,25.77769,-80.20766
4,25.77853,-80.20665
5,25.77868,-80.20656
6,25.77883,-80.20652
7,25.78023,-80.20666
8,25.78802,-80.20692
9,25.79527,-80.20702
10,25.81101,-80.20758
11,25.81153,-80.20754
12,25.81192,-80.20737
13,25.81269,-80.20677
14,25.81307,-80.20665
15,25.81341,-80.20668
16,25.81376,-80.20686
17,25.81451,-80.20746
18,25.81499,-80.20768
19,25.81546,-80.20778
20,25.81608,-80.20781
21,25.84704,-80.20915
22,25.87647,-80.21025
23,25.90502,-80.21161
24,25.91304,-80.2117
25,25.92028,-80.21204
26,25.92066,-80.21213
27,25.92102,-80.21241
28,25.9219,-80.21344
29,25.92237,-80.21373
30,25.92283,-80.21372
31,25.92368,-80.21316
32,25.92437,-80.21252
33,25.92486,-80.21188
34,25.92521,-80.21124
35,25.9258,-80.20961
36,25.92673,-80.20789
37,25.92847,-80.20583
38,25.92982,-80.2052
39,25.93157,-80.20495
40,25.93246,-80.20491
41,25.93433,-80.20497
42,25.93496,-80.20495
43,25.93583,-80.20486
44,25.93655,-80.20487
45,25.95132,-80.20551
46,25.95828,-80.20574
47,25.97271,-80.2061
48,26.00652,-80.20744
49,26.0101,-80.20753
50,26.01569,-80.20782
51,26.0199,-80.20794
52,26.02496,-80.20817
53,26.03214,-80.20835
54,26.03594,-80.20848
55,26.03967,-80.2087
56,26.04657,-80.20893
57,26.04792,-80.2089
58,26.04932,-80.20857
59,26.05132,-80.20781
60,26.05247,-80.20761
61,26.05371,-80.20759
62,26.0672,-80.20803
63,26.06797,-80.20795
64,26.06878,-80.20772
65,26.0901,-80.20131
66,26.0913,-80.2011
67,26.09271,-80.20112
68,26.12102,-80.2019
69,26.1361,-80.20251
70,26.17332,-80.20329
71,26.17621,-80.20345
72,26.20553,-80.204
73,26.22814,-80.20456
74,26.23781,-80.20488
75,26.23874,-80.20479
76,26.23951,-80.20452
77,26.24019,-80.2041
78,26.24088,-80.20343
79,26.24216,-80.20206
80,26.24262,-80.20176
81,26.24321,-80.20158
82,26.24396,-80.20144
83,26.24471,-80.20141
84,26.2779,-80.20186
85,26.29489,-80.20207
86,26.29901,-80.20239
87,26.30225,-80.2024
88,26.30372,-80.20228
89,26.30556,-80.20217
90,26.30822,-80.20219
91,26.31318,-80.20231
92,26.31984,-80.20268
93,26.33093,-80.20294
94,26.3359,-80.20315
95,26.36791,-80.20349
96,26.38276,-80.20362
97,26.40865,-80.20393
98,26.44254,-80.20454
99,26.4539,-80.20456
100,26.48373,-80.20484
101,26.52796,-80.20543
102,26.57049,-80.20591
103,26.58733,-80.20597
104,26.59037,-80.20591
105,26.60642,-80.20533
106,26.66509,-80.20289
107,26.67704,-80.20249
108,26.68059,-80.20234
109,26.68066,-80.20478
110,26.68061,-80.20672
111,26.68059,-80.20837
112,26.68064,-80.21033
113,26.68561,-80.37955
114,26.68578,-80.38179
115,26.6862,-80.38414
116,26.68691,-80.38677
117,26.6877,-80.38874
118,26.68866,-80.39069
119,26.6897,-80.39244
120,26.69096,-80.39418
121,26.72225,-80.43539
122,26.72337,-80.43721
123,26.72423,-80.43914
124,26.72487,-80.44105
125,26.7253,-80.44299
126,26.72554,-80.44495
127,26.72555,-80.44706
128,26.72548,-80.48633
129,26.72564,-80.49031
130,26.72567,-80.50459
131,26.72564,-80.50817
132,26.72564,-80.51808
133,26.72589,-80.52266
134,26.7258,-80.53971
135,26.72593,-80.55513
136,26.72604,-80.58364
137,26.72617,-80.58773
138,26.72632,-80.63541
139,26.72623,-80.63899
140,26.7262,-80.65124
141,26.72626,-80.65905
142,26.72613,-80.66084
143,26.72586,-80.66298
144,26.72577,-80.66451
145,26.72574,-80.66694
146,26.72727,-80.66645
147,26.7283,-80.66606
148,26.73033,-80.66521
149,26.73128,-80.66487
150,26.7344,-80.66383
151,26.73534,-80.66357
152,26.73749,-80.66307
153,26.73833,-80.66284
154,26.74679,-80.66006
155,26.7475,-80.65986
156,26.74782,-80.65981
157,26.74814,-80.65979
158,26.74938,-80.65977
159,26.76431,-80.65976
160,26.76748,-80.6597
161,26.76772,-80.65968
162,26.76794,-80.65963
163,26.76817,-80.65954
164,26.76839,-80.65942
165,26.76857,-80.65929
166,26.76877,-80.6591
167,26.76896,-80.65888
168,26.7691,-80.65867
169,26.76928,-80.65826
170,26.76935,-80.658
171,26.7694,-80.65769
172,26.76956,-80.65515
173,26.76963,-80.65482
174,26.76977,-80.65445
175,26.76989,-80.65424
176,26.77006,-80.65401
177,26.77024,-80.65381
178,26.7704,-80.65368
179,26.77078,-80.65346
180,26.77121,-80.65332
181,26.7717,-80.65329
182,26.78235,-80.65339
183,26.81125,-80.65334
184,26.81154,-80.65334
185,26.81193,-80.65343
186,26.81226,-80.65362
187,26.81238,-80.65373
188,26.81254,-80.6539
189,26.81269,-80.65415
190,26.8128,-80.65438
191,26.81288,-80.65468
192,26.81291,-80.65498
193,26.81293,-80.66379
194,26.81297,-80.66425
195,26.81311,-80.66466
196,26.81333,-80.66501
197,26.81361,-80.6653
198,26.81394,-80.6655
199,26.81428,-80.66562
200,26.81464,-80.66564
201,26.81644,-80.66559
202,26.81742,-80.66559
203,26.82141,-80.66563
204,26.82206,-80.6656
205,26.82333,-80.6655
206,26.82348,-80.66551
207,26.82366,-80.66557
208,26.82407,-80.66583
209,26.82753,-80.6592
210,26.82813,-80.65819
211,26.82912,-80.65676
212,26.83178,-80.65311
213,26.83247,-80.65224
214,26.83312,-80.6515
215,26.83441,-80.65004
216,26.8349,-80.64956
217,26.83544,-80.6491
218,26.83608,-80.64865
219,26.83775,-80.64759
220,26.83847,-80.64715
221,26.8393,-80.64671
222,26.84249,-80.64524
223,26.84291,-80.64498
224,26.84763,-80.64168
225,26.85438,-80.63695
226,26.86077,-80.63203
227,26.86201,-80.63112
228,26.8626,-80.63194
229,26.86274,-80.63206
230,26.86294,-80.63207
231,26.86318,-80.63197
232,26.86518,-80.63036
233,26.87022,-80.62638
234,26.87115,-80.62571
235,26.87324,-80.62429
236,26.87767,-80.62094
237,26.87862,-80.62031
238,26.88522,-80.61625
239,26.88915,-80.61419
240,26.8901,-80.61376
241,26.89214,-80.61298
242,26.89302,-80.61267
243,26.89413,-80.61238
244,26.89838,-80.61147
245,26.90012,-80.61113
246,26.90064,-80.61109
247,26.90345,-80.61107
248,26.90395,-80.61111
249,26.9043,-80.61117
250,26.9047,-80.61128
251,26.9057,-80.61162
252,26.90609,-80.61171
253,26.90652,-80.61178
254,26.91481,-80.61293
255,26.91688,-80.61324
256,26.91806,-80.61333
257,26.9186,-80.61334
258,26.91928,-80.61332
259,26.91993,-80.61327
260,26.92103,-80.61313
261,26.92682,-80.61232
262,26.94264,-80.60969
