,Latitude,Longitude
0,37.12,-88.6273
1,37.1202,-88.6272
2,37.1211,-88.6269
3,37.1212,-88.6269
4,37.1214,-88.6268
5,37.1215,-88.6268
6,37.1219,-88.6268
7,37.122,-88.6268
8,37.1222,-88.6268
9,37.1223,-88.6268
10,37.1224,-88.6268
11,37.1226,-88.6269
12,37.1226,-88.6269
13,37.1227,-88.6269
14,37.1229,-88.627
15,37.123,-88.627
16,37.1231,-88.6271
17,37.1232,-88.6271
18,37.1238,-88.6275
19,37.1238,-88.6276
20,37.1239,-88.6276
21,37.1241,-88.6277
22,37.1242,-88.6277
23,37.1243,-88.6278
24,37.1243,-88.6278
25,37.1244,-88.6278
26,37.1245,-88.6278
27,37.1246,-88.6278
28,37.1265,-88.6277
29,37.1267,-88.6276
30,37.1272,-88.6276
31,37.1276,-88.6276
32,37.1277,-88.6276
33,37.1278,-88.6276
34,37.128,-88.6276
35,37.128,-88.6277
36,37.1283,-88.6277
37,37.1285,-88.6277
38,37.1287,-88.6278
39,37.1289,-88.6278
40,37.1293,-88.628
41,37.1295,-88.6281
42,37.1298,-88.6282
43,37.1301,-88.6283
44,37.1306,-88.6287
45,37.1307,-88.6288
46,37.1319,-88.6296
47,37.1322,-88.6297
48,37.1327,-88.63
49,37.133,-88.6301
50,37.1333,-88.6302
51,37.1335,-88.6303
52,37.1341,-88.6304
53,37.1343,-88.6304
54,37.1348,-88.6305
55,37.1351,-88.6305
56,37.1526,-88.6306
57,37.1531,-88.6306
58,37.1534,-88.6307
59,37.1538,-88.6307
60,37.1541,-88.6308
61,37.1543,-88.6308
62,37.1546,-88.6309
63,37.1549,-88.6311
64,37.1551,-88.6311
65,37.1554,-88.6313
66,37.156,-88.6316
67,37.156,-88.6316
68,37.1563,-88.6318
69,37.1567,-88.6321
70,37.1572,-88.6325
71,37.1577,-88.633
72,37.1581,-88.6335
73,37.1583,-88.6338
74,37.1586,-88.6343
75,37.1589,-88.6348
76,37.159,-88.6349
77,37.1591,-88.635
78,37.1592,-88.6353
79,37.1595,-88.6358
80,37.1595,-88.636
81,37.1596,-88.6361
82,37.1597,-88.6364
83,37.1598,-88.6366
84,37.1598,-88.6367
85,37.1598,-88.6369
86,37.1599,-88.637
87,37.16,-88.6373
88,37.1601,-88.6379
89,37.1602,-88.6383
90,37.1602,-88.6385
91,37.1603,-88.6388
92,37.1603,-88.639
93,37.1603,-88.6397
94,37.1609,-88.6608
95,37.161,-88.6649
96,37.161,-88.6651
97,37.1611,-88.6721
98,37.1612,-88.674
99,37.1612,-88.6741
100,37.1613,-88.6767
101,37.162,-88.6767
102,37.1622,-88.6767
103,37.1638,-88.6767
104,37.1649,-88.6767
105,37.1658,-88.6767
106,37.1681,-88.6766
107,37.1685,-88.6766
108,37.1691,-88.6766
109,37.1695,-88.6766
110,37.1699,-88.6766
111,37.171,-88.6766
112,37.1716,-88.6766
113,37.1725,-88.6766
114,37.173,-88.6766
115,37.1743,-88.6766
116,37.1746,-88.6766
117,37.1753,-88.6766
118,37.1767,-88.6766
119,37.177,-88.6766
120,37.1773,-88.6766
121,37.1809,-88.6766
122,37.1811,-88.6766
123,37.1862,-88.6765
124,37.1866,-88.6765
125,37.1877,-88.6765
126,37.188,-88.6765
127,37.1896,-88.6765
128,37.1898,-88.6765
129,37.1905,-88.6765
130,37.1907,-88.6765
131,37.1908,-88.6765
132,37.1909,-88.6782
133,37.191,-88.685
134,37.191,-88.6856
135,37.191,-88.686
136,37.191,-88.6861
137,37.191,-88.6864
138,37.191,-88.687
139,37.191,-88.6873
140,37.191,-88.6889
141,37.1911,-88.6907
142,37.1911,-88.6909
143,37.1911,-88.6914
144,37.1911,-88.6916
145,37.1911,-88.6919
146,37.1911,-88.6925
147,37.1911,-88.6929
148,37.1911,-88.6933
149,37.1911,-88.694
150,37.1911,-88.6943
151,37.1911,-88.6945
152,37.1911,-88.6949
153,37.1912,-88.6963
154,37.1912,-88.6965
155,37.1912,-88.6973
156,37.1913,-88.6994
157,37.1913,-88.6997
158,37.1913,-88.701
159,37.1913,-88.7011
160,37.1913,-88.7019
161,37.1914,-88.703
162,37.1914,-88.7035
163,37.1915,-88.7098
164,37.1915,-88.7108
165,37.1915,-88.7108
166,37.1914,-88.7118
167,37.1914,-88.712
168,37.1914,-88.7126
169,37.1914,-88.7127
170,37.1914,-88.7132
