,Latitude,Longitude
0,33.815252,-88.5425796
1,33.8152095,-88.5423937
2,33.8152218,-88.5419812
3,33.8152779,-88.5406363
4,33.8152986,-88.5401166
5,33.8153091,-88.5398593
6,33.8153362,-88.5391977
7,33.8153534,-88.538841
8,33.8154015,-88.5377602
9,33.8156574,-88.534618
10,33.8157171,-88.5339855
11,33.8159025,-88.5316649
12,33.8159581,-88.5310151
13,33.8161521,-88.5287467
14,33.8161807,-88.5284274
15,33.8162133,-88.5281087
16,33.8162557,-88.5277431
17,33.8163035,-88.5273785
18,33.8163567,-88.5270149
19,33.816707,-88.5249245
20,33.816789,-88.5244154
21,33.8174114,-88.5207203
22,33.8187221,-88.5128635
23,33.8190142,-88.5111626
24,33.8191383,-88.5103628
25,33.8192023,-88.5098238
26,33.8192521,-88.5090661
27,33.819259,-88.5083146
28,33.8192173,-88.5075923
29,33.8191738,-88.5070717
30,33.8191531,-88.5068887
31,33.8191169,-88.5066642
32,33.8190444,-88.5062144
33,33.8188479,-88.5053472
34,33.8186124,-88.5044934
35,33.8183724,-88.5036366
36,33.8177787,-88.5015062
37,33.8170853,-88.4990215
38,33.8169645,-88.4986324
39,33.8167898,-88.498096
40,33.8164632,-88.4972155
41,33.8160141,-88.4961794
42,33.8155173,-88.4951842
43,33.8149957,-88.4942421
44,33.8138266,-88.4921177
45,33.8130792,-88.4907719
46,33.8119878,-88.4887573
47,33.8107861,-88.4865547
48,33.8103544,-88.4857769
49,33.8098974,-88.48489
50,33.8095436,-88.4840891
51,33.8092426,-88.4832407
52,33.8091389,-88.4829158
53,33.8090245,-88.4825078
54,33.808778,-88.4814073
55,33.8084611,-88.4795294
56,33.8082883,-88.478457
57,33.8079042,-88.4761271
58,33.8078076,-88.4755954
59,33.8074503,-88.4734881
60,33.8073872,-88.4731901
61,33.807283,-88.4727743
62,33.8071208,-88.4722049
63,33.8068606,-88.4714057
64,33.8065234,-88.4705897
65,33.8064043,-88.4703469
66,33.8061881,-88.4699008
67,33.8057994,-88.4691972
68,33.8053415,-88.4684753
69,33.8048362,-88.4678184
70,33.8043597,-88.4672632
71,33.8039309,-88.4668239
72,33.803512,-88.4664485
73,33.80321,-88.4662001
74,33.802703,-88.4658043
75,33.8024593,-88.465639
76,33.8022125,-88.4654808
77,33.8019626,-88.4653297
78,33.8017098,-88.4651858
79,33.8015225,-88.4650848
80,33.8013338,-88.4649879
81,33.8009491,-88.4648029
82,33.7994744,-88.4641372
83,33.798784,-88.4638184
84,33.7983744,-88.463636
85,33.7975581,-88.4632591
86,33.7967958,-88.4629118
87,33.794852,-88.462037
88,33.7937215,-88.461516
89,33.7933323,-88.4613366
90,33.7913125,-88.4604151
91,33.7909671,-88.4602665
92,33.7906198,-88.4601245
93,33.7902707,-88.4599892
94,33.7899198,-88.4598606
95,33.7895454,-88.4597315
96,33.789169,-88.4596111
97,33.7888992,-88.4595306
98,33.7886285,-88.4594545
99,33.7882222,-88.45934
100,33.78788,-88.4592547
101,33.7875369,-88.4591747
102,33.787193,-88.4591
103,33.786933,-88.4590471
104,33.7866726,-88.4589973
105,33.7862756,-88.4589273
106,33.7858777,-88.4588644
107,33.784928,-88.4587401
108,33.7833302,-88.4585139
109,33.7828919,-88.458457
110,33.7823127,-88.4583822
111,33.7811754,-88.4582306
112,33.7774863,-88.4577125
113,33.7770696,-88.4576539
114,33.7748527,-88.4573603
115,33.7730361,-88.4570901
116,33.7716606,-88.4569064
117,33.7712841,-88.4568464
118,33.7708355,-88.4567898
119,33.770014,-88.4566861
120,33.7693981,-88.4565519
121,33.7687993,-88.4563892
122,33.7682949,-88.456224
123,33.7679146,-88.4560666
124,33.7676129,-88.4559405
125,33.7673122,-88.4558113
126,33.7669274,-88.4556407
127,33.7665443,-88.4554648
128,33.7661629,-88.4552838
129,33.7657738,-88.4550924
130,33.7654649,-88.4549323
131,33.7651589,-88.4547641
132,33.7648561,-88.4545878
133,33.7645566,-88.4544035
134,33.7642606,-88.4542114
135,33.7640037,-88.4540363
136,33.7637496,-88.4538553
137,33.7634985,-88.4536684
138,33.7631891,-88.4534274
139,33.7628841,-88.4531783
140,33.7625836,-88.4529212
141,33.762288,-88.4526563
142,33.7619972,-88.4523837
143,33.7617115,-88.4521034
144,33.7615065,-88.4518945
145,33.7613043,-88.4516817
146,33.760998,-88.4513437
147,33.7601194,-88.4502431
148,33.7595073,-88.449401
149,33.7588198,-88.4482916
150,33.7579921,-88.4468315
151,33.7577508,-88.4464058
152,33.7572896,-88.4456242
153,33.7567782,-88.4448426
154,33.75625,-88.4441417
155,33.7557343,-88.4435215
156,33.7551474,-88.4429164
157,33.7545688,-88.4423718
158,33.7543772,-88.4422106
159,33.7540448,-88.4419483
160,33.7532398,-88.4413734
161,33.7525942,-88.44097
162,33.751936,-88.4406272
163,33.7512316,-88.4403145
164,33.7504769,-88.4400473
165,33.7497131,-88.4398196
166,33.7493265,-88.4397043
167,33.7452532,-88.4385742
168,33.7446072,-88.4384
169,33.7441989,-88.4382854
170,33.7430589,-88.43797
171,33.7398605,-88.4370789
172,33.7394339,-88.4369726
173,33.739174,-88.4369078
174,33.7390876,-88.4368844
175,33.7388778,-88.4368397
176,33.7386672,-88.4368005
177,33.7384036,-88.4367594
178,33.7381393,-88.4367268
179,33.7378743,-88.4367027
180,33.7376089,-88.4366873
181,33.7373432,-88.4366805
182,33.7365903,-88.4367037
183,33.7363374,-88.4367268
184,33.7360851,-88.4367571
185,33.7358334,-88.4367947
186,33.7355652,-88.4368429
187,33.7352982,-88.4368993
188,33.7350325,-88.4369639
189,33.7347682,-88.4370366
190,33.7343485,-88.437166
191,33.734058,-88.4372783
192,33.7337592,-88.4374011
193,33.7334624,-88.4375304
194,33.7326365,-88.4379739
195,33.7318649,-88.4384958
196,33.7312411,-88.438979
197,33.7307331,-88.4394314
198,33.7305456,-88.4396088
199,33.7302039,-88.4399678
200,33.7285387,-88.4419336
201,33.7281026,-88.4424454
202,33.7264412,-88.4444544
203,33.7259433,-88.4450359
204,33.7253723,-88.4456223
205,33.7253398,-88.4456555
206,33.7250316,-88.4459697
207,33.7247178,-88.446265
208,33.7246696,-88.4463076
209,33.7242863,-88.4466469
210,33.7238846,-88.4469822
211,33.7235092,-88.4472765
212,33.7226769,-88.4478728
213,33.722341,-88.4480908
214,33.7218901,-88.4483545
215,33.7212158,-88.4487207
216,33.7207234,-88.4489644
217,33.7203001,-88.4491542
218,33.7198561,-88.4493299
219,33.7180138,-88.4500259
220,33.7171871,-88.4503348
221,33.7154311,-88.4509901
222,33.715249,-88.4510507
223,33.7150654,-88.4511046
224,33.7148765,-88.4511527
225,33.7146865,-88.4511938
226,33.7144955,-88.4512278
227,33.7142828,-88.4512548
228,33.7140694,-88.4512717
229,33.7138556,-88.4512786
230,33.7136417,-88.4512755
231,33.7134959,-88.4512683
232,33.7133503,-88.451256
233,33.7132051,-88.4512385
234,33.7130531,-88.4512145
235,33.7129018,-88.4511848
236,33.7127513,-88.4511495
237,33.7125724,-88.4510988
238,33.7123953,-88.4510397
239,33.7122194,-88.4509758
240,33.7120333,-88.450901
241,33.7118491,-88.4508195
242,33.711667,-88.4507314
243,33.7080018,-88.4486743
244,33.7076022,-88.4484479
245,33.7032153,-88.4459818
246,33.7028629,-88.4457813
247,33.6978488,-88.4429435
248,33.6974898,-88.4427412
249,33.6933673,-88.440404
250,33.6929869,-88.4401874
251,33.6889245,-88.4378951
252,33.6885177,-88.4376655
253,33.6880535,-88.4374024
254,33.6853067,-88.4358457
255,33.6845924,-88.4354381
256,33.683371,-88.434745
257,33.6827651,-88.4344135
258,33.6821983,-88.4340954
259,33.6810034,-88.4334133
260,33.6806275,-88.4331988
261,33.6798593,-88.4327787
262,33.6788605,-88.432204
263,33.6754141,-88.430265
264,33.6750327,-88.4300497
265,33.6743781,-88.429671
266,33.6720379,-88.4283615
267,33.6704184,-88.427449
268,33.6699143,-88.42716
269,33.6694722,-88.4269094
270,33.669078,-88.4266859
271,33.6683486,-88.4262724
272,33.6677448,-88.4259317
273,33.6654381,-88.42463
274,33.6650531,-88.4244128
275,33.6615572,-88.4224477
276,33.6609137,-88.4220882
277,33.66004,-88.4215831
278,33.6596265,-88.4213441
279,33.6574844,-88.4201454
280,33.656754,-88.419764
281,33.6565289,-88.4196767
282,33.656302,-88.4195967
283,33.6560733,-88.4195239
284,33.6558072,-88.4194489
285,33.6555393,-88.4193837
286,33.6552698,-88.4193284
287,33.6550175,-88.4192858
288,33.6547643,-88.4192519
289,33.6545105,-88.4192267
290,33.6540856,-88.4192109
291,33.6527919,-88.4192201
292,33.6491988,-88.4191999
293,33.6481958,-88.4191984
294,33.6436836,-88.4191917
295,33.6431994,-88.4191895
296,33.6386572,-88.4191914
297,33.6382325,-88.4191916
298,33.6372961,-88.4191854
299,33.636353,-88.4191931
300,33.6343988,-88.4191819
