,Latitude,Longitude
0,35.1576071,-88.5795498
1,35.1580636,-88.5798626
2,35.1581273,-88.5799063
3,35.1583232,-88.5800405
4,35.1581653,-88.5804697
5,35.156011,-88.5858209
6,35.1552451,-88.5877036
7,35.1550827,-88.5880577
8,35.1546336,-88.5890705
9,35.1540816,-88.5899332
10,35.1532792,-88.5910446
11,35.1512572,-88.5938429
12,35.1509844,-88.5942203
13,35.1508655,-88.5943974
14,35.1507536,-88.5945812
15,35.1506489,-88.5947712
16,35.1505515,-88.594967
17,35.1504619,-88.5951682
18,35.15038,-88.5953744
19,35.1503062,-88.595585
20,35.1502405,-88.5957996
21,35.1501806,-88.5960169
22,35.1501299,-88.5962377
23,35.1500884,-88.5964613
24,35.1500563,-88.5966872
25,35.1500336,-88.5969149
26,35.1500205,-88.5971436
27,35.150017,-88.5973729
28,35.150023,-88.5976021
29,35.1500374,-88.5978168
30,35.1500601,-88.5980305
31,35.1500912,-88.5982425
32,35.1501306,-88.5984525
33,35.1501781,-88.5986599
34,35.1502338,-88.5988644
35,35.1502973,-88.5990653
36,35.1503687,-88.5992622
37,35.1504477,-88.5994548
38,35.1505342,-88.5996425
39,35.1511137,-88.6007696
40,35.1517072,-88.601885
41,35.1538547,-88.6059191
42,35.1543791,-88.606954
43,35.1545128,-88.6072146
44,35.1546535,-88.6074696
45,35.1548011,-88.6077187
46,35.1549552,-88.6079618
47,35.1551159,-88.6081984
48,35.1552829,-88.6084285
49,35.155456,-88.6086516
50,35.1556351,-88.6088677
51,35.1558199,-88.6090763
52,35.1560103,-88.6092774
53,35.156206,-88.6094707
54,35.1564068,-88.6096559
55,35.1566125,-88.6098329
56,35.156832,-88.6100085
57,35.1570563,-88.6101747
58,35.1572852,-88.6103314
59,35.1575184,-88.6104783
60,35.1577555,-88.6106153
61,35.1579978,-88.6107378
62,35.1582427,-88.6108521
63,35.1584901,-88.6109584
64,35.1587397,-88.6110564
65,35.1589914,-88.6111461
66,35.1592163,-88.6112187
67,35.1594425,-88.6112847
68,35.1596699,-88.611344
69,35.1598985,-88.6113967
70,35.1651522,-88.6122963
71,35.1680921,-88.6128198
72,35.1697849,-88.6131482
73,35.174147,-88.6139175
74,35.1756554,-88.614176
75,35.1770652,-88.6144529
76,35.1780626,-88.6146237
77,35.1793924,-88.6148503
78,35.1795523,-88.6148864
79,35.1797133,-88.6149138
80,35.1798751,-88.6149323
81,35.1800374,-88.614942
82,35.1802,-88.6149429
83,35.1803624,-88.6149348
84,35.1805417,-88.6149156
85,35.1807199,-88.6148856
86,35.1808968,-88.6148448
87,35.181466,-88.6147067
88,35.1824177,-88.6144557
89,35.1827748,-88.6143586
90,35.1832288,-88.6142528
91,35.1833256,-88.6142302
92,35.184108,-88.6140265
93,35.1845638,-88.613904
94,35.1852873,-88.6137038
95,35.1859904,-88.6134931
96,35.1864315,-88.6133704
97,35.1868371,-88.6132604
98,35.1869092,-88.6132427
99,35.1877693,-88.6130368
100,35.1882803,-88.6129538
101,35.1890999,-88.6128873
102,35.1898661,-88.6129267
103,35.1904894,-88.61306
104,35.1912246,-88.6132895
105,35.1919698,-88.6136247
106,35.1941039,-88.6146242
107,35.1964946,-88.615755
108,35.197015,-88.6159661
109,35.1976271,-88.6161248
110,35.1980821,-88.6161597
111,35.1986728,-88.6161684
112,35.1997508,-88.6160728
113,35.2012306,-88.6159458
114,35.2027303,-88.615817
115,35.2084952,-88.6152776
116,35.2097877,-88.6151481
117,35.2111261,-88.6150171
118,35.2140514,-88.6147789
119,35.2149237,-88.6147913
120,35.2160219,-88.614848
121,35.217053,-88.6149655
122,35.2180272,-88.6151241
123,35.2188787,-88.6153041
124,35.2208857,-88.615833
125,35.2305845,-88.6183414
126,35.231567,-88.618475
127,35.2322888,-88.6185411
128,35.2334416,-88.6186139
129,35.2346502,-88.6186039
130,35.2378457,-88.6184477
131,35.2403086,-88.6183144
132,35.2434957,-88.618164
133,35.2439031,-88.6181763
134,35.2442719,-88.6182211
135,35.2450566,-88.6183954
136,35.2458487,-88.6186742
137,35.2466166,-88.6190581
138,35.2472213,-88.6194061
139,35.2477664,-88.6198173
140,35.248253,-88.6202296
141,35.2507397,-88.622692
142,35.2523373,-88.6242746
143,35.2533045,-88.6252702
144,35.2537152,-88.6256876
145,35.2543083,-88.6262305
146,35.2553788,-88.627306
147,35.2563397,-88.6282592
148,35.2575587,-88.6292453
149,35.258203,-88.629736
150,35.258638,-88.630015
151,35.259547,-88.6305507
152,35.2601688,-88.6308664
153,35.2609453,-88.6311928
154,35.2614178,-88.6313787
155,35.2622755,-88.6316818
156,35.263678,-88.6319613
157,35.264499,-88.6321133
158,35.2666356,-88.6324245
159,35.2694172,-88.6328392
160,35.2723994,-88.6332806
161,35.2766372,-88.6338544
162,35.2796368,-88.6343021
163,35.2831784,-88.6348445
164,35.2864395,-88.6353265
165,35.2890018,-88.6356927
166,35.2897488,-88.6358055
167,35.2927582,-88.6362585
168,35.2957482,-88.6364692
169,35.2960596,-88.6364908
170,35.298436,-88.636655
171,35.3012475,-88.6368319
172,35.3017227,-88.6368775
173,35.3056847,-88.6371356
174,35.30858,-88.6373
175,35.3099114,-88.6374436
176,35.311588,-88.637565
177,35.3133483,-88.6377265
178,35.314785,-88.637799
179,35.317144,-88.637965
180,35.3190765,-88.6381056
181,35.320372,-88.638187
182,35.321722,-88.63827
183,35.325353,-88.638517
184,35.327635,-88.638672
185,35.3317198,-88.6389787
186,35.335185,-88.639188
187,35.3363037,-88.6392646
188,35.3388585,-88.6394854
189,35.3433361,-88.6398157
190,35.3460873,-88.6400168
191,35.3490147,-88.6402115
192,35.351029,-88.6403639
193,35.3525592,-88.6404268
194,35.3539326,-88.6405322
195,35.3581013,-88.6408603
196,35.3599065,-88.6410064
197,35.3626242,-88.641174
198,35.3643053,-88.6412743
199,35.3654986,-88.6414002
200,35.366693,-88.641405
201,35.3686537,-88.6415816
202,35.369686,-88.6416766
203,35.3711436,-88.6417327
204,35.3729872,-88.641775
205,35.3762409,-88.6416875
206,35.3773908,-88.64165
207,35.3795481,-88.6415287
208,35.3808261,-88.6414722
209,35.3819762,-88.6414115
210,35.384376,-88.641336
211,35.3855552,-88.6412586
212,35.3880876,-88.6411702
213,35.3907505,-88.6410382
214,35.3933912,-88.6409172
215,35.3961052,-88.64078
216,35.3986248,-88.6406538
217,35.3996483,-88.6406153
218,35.4023936,-88.6405063
219,35.4062862,-88.6403218
220,35.4086842,-88.6398799
221,35.4101098,-88.6397461
222,35.4110005,-88.6397408
223,35.412352,-88.639837
224,35.4133593,-88.6399689
225,35.4142929,-88.639985
226,35.4187683,-88.639944
227,35.4233531,-88.6399121
228,35.4235733,-88.6399224
229,35.4239059,-88.6399517
230,35.4242446,-88.6400178
231,35.4246455,-88.6401206
232,35.4248777,-88.6402043
233,35.4250712,-88.6402844
