,Latitude,Longitude
0,43.7461077,-88.415842
1,43.7461204,-88.4160027
2,43.7461332,-88.4161428
3,43.7461401,-88.4163043
4,43.7461438,-88.4164373
5,43.7461438,-88.4165857
6,43.746134,-88.4168102
7,43.7461204,-88.4169987
8,43.7460965,-88.4171805
9,43.7460578,-88.4173777
10,43.746019,-88.4175339
11,43.7459766,-88.4176823
12,43.7459458,-88.4177755
13,43.7459146,-88.4178578
14,43.7458704,-88.4179838
15,43.7458453,-88.4180865
16,43.7458408,-88.4181477
17,43.7458419,-88.4182218
18,43.7458553,-88.4183133
19,43.7458677,-88.4183653
20,43.7458751,-88.4184337
21,43.7458674,-88.418502
22,43.7458453,-88.4185641
23,43.7458202,-88.4185988
24,43.7457859,-88.4186274
25,43.7457505,-88.4186385
26,43.7457094,-88.418642
27,43.7456689,-88.4186369
28,43.7456336,-88.418618
29,43.7455992,-88.4185854
30,43.7455722,-88.4185373
31,43.7454952,-88.4183845
32,43.7454505,-88.418333
33,43.7454207,-88.418302
34,43.7453674,-88.4182623
35,43.7452916,-88.418221
36,43.7452183,-88.41819
37,43.7451301,-88.418159
38,43.7450384,-88.4181321
39,43.7449403,-88.4181187
40,43.7448448,-88.4181094
41,43.7447585,-88.4181105
42,43.7446743,-88.4181186
43,43.7445863,-88.4181344
44,43.744478,-88.418166
45,43.7443882,-88.4182002
46,43.7442555,-88.4182662
47,43.7441392,-88.4183342
48,43.7440359,-88.4183946
49,43.7439143,-88.4184778
50,43.7437385,-88.4186001
51,43.7435467,-88.4187546
52,43.7434164,-88.4188678
53,43.7433054,-88.4189858
54,43.7431852,-88.419129
55,43.7431102,-88.4192238
56,43.7430464,-88.4193135
57,43.7429849,-88.4194098
58,43.7429383,-88.4194959
59,43.7428322,-88.4197044
60,43.7426119,-88.4201429
61,43.7422503,-88.4208299
62,43.7421422,-88.4210786
63,43.7420418,-88.4213167
64,43.7419147,-88.4216426
65,43.7418172,-88.4219164
66,43.7417255,-88.4221956
67,43.7416444,-88.4224548
68,43.7415439,-88.4228077
69,43.7412315,-88.4238623
70,43.7397704,-88.4291467
71,43.7395906,-88.4298151
72,43.7395221,-88.430048
73,43.739015,-88.431908
74,43.7389088,-88.4322784
75,43.7379762,-88.4358073
76,43.7377566,-88.4367512
77,43.7375917,-88.4377057
78,43.7374782,-88.4388516
79,43.7374586,-88.4391666
80,43.7374336,-88.4400854
81,43.7374293,-88.4424143
82,43.7374329,-88.4427273
83,43.7379922,-88.4429791
84,43.7382689,-88.4431522
85,43.7385133,-88.4433653
86,43.7388723,-88.4439221
87,43.7393994,-88.4448919
88,43.7397591,-88.4455185
89,43.7401854,-88.4460171
90,43.7406773,-88.4465386
91,43.7416254,-88.4473239
92,43.7421856,-88.4477399
93,43.742549,-88.4481119
94,43.7428619,-88.4484649
95,43.743272,-88.4489898
96,43.7436048,-88.4495588
97,43.7440532,-88.4504836
98,43.744888,-88.4523241
99,43.7453791,-88.453387
100,43.7456426,-88.4539574
101,43.7463141,-88.4554108
102,43.7467958,-88.4563909
103,43.7472097,-88.4572208
104,43.7476259,-88.4579117
105,43.7502255,-88.4621744
106,43.752701,-88.4662046
107,43.753303,-88.4672363
108,43.7547309,-88.469569
109,43.7552057,-88.4703031
110,43.7556567,-88.4710036
111,43.7565595,-88.4722589
112,43.7572931,-88.4731831
113,43.7577808,-88.4737588
114,43.7582207,-88.4742476
115,43.7592366,-88.475318
116,43.7598326,-88.475897
117,43.7604195,-88.4764231
118,43.7610518,-88.4770063
119,43.7616918,-88.477499
120,43.7632169,-88.4785876
121,43.7638831,-88.4790405
122,43.764481,-88.4793885
123,43.7650924,-88.479739
124,43.765941,-88.4801532
125,43.7669559,-88.4806715
126,43.7673726,-88.4808429
127,43.7679644,-88.481029
128,43.7682856,-88.48113
129,43.7692553,-88.4814137
130,43.7707305,-88.481757
131,43.7717841,-88.4819459
132,43.7727262,-88.4820746
133,43.7739533,-88.4821347
134,43.7795929,-88.4822634
135,43.7812366,-88.4822989
136,43.7821363,-88.4822066
137,43.7825074,-88.4821369
138,43.7827657,-88.4820317
139,43.7837532,-88.481638
140,43.7839419,-88.4814978
141,43.7840524,-88.4814356
142,43.7841215,-88.4813894
143,43.7841802,-88.4813383
144,43.7842435,-88.4812809
145,43.7843531,-88.481136
146,43.7843483,-88.4809072
147,43.7843394,-88.4804304
148,43.7843355,-88.4802274
149,43.7843387,-88.4797016
150,43.7843376,-88.4793711
151,43.7843357,-88.4788201
152,43.7843269,-88.4775382
153,43.7843262,-88.47743
154,43.784312,-88.4758505
155,43.7843111,-88.475746
156,43.7842937,-88.4745583
157,43.7842927,-88.4745145
158,43.7842779,-88.4738326
159,43.7842769,-88.4737875
160,43.7842603,-88.4732854
161,43.7842602,-88.4730963
162,43.7842676,-88.4719985
163,43.7843017,-88.4717401
164,43.7843175,-88.4716203
