,Latitude,Longitude
0,45.9229585,-89.2553036
1,45.9232241,-89.2552859
2,45.9240252,-89.2554336
3,45.9246808,-89.2555447
4,45.9248204,-89.2555683
5,45.9249322,-89.255584
6,45.9253543,-89.2556434
7,45.9255465,-89.255672
8,45.9256736,-89.2556909
9,45.925928,-89.255742
10,45.926388,-89.2558421
11,45.9266492,-89.2558989
12,45.9267228,-89.2559149
13,45.9272918,-89.2560448
14,45.9274084,-89.2560716
15,45.9275481,-89.2561035
16,45.9277522,-89.2561502
17,45.92801,-89.2562105
18,45.9280795,-89.2562268
19,45.9281486,-89.2562608
20,45.9283461,-89.2563764
