,Latitude,Longitude
0,45.9140533,-89.2548082
1,45.9141006,-89.25508
2,45.9141462,-89.2553748
3,45.9141867,-89.2556076
4,45.9141919,-89.2556236
5,45.9142044,-89.2556622
6,45.9142297,-89.2557059
7,45.9142626,-89.2557277
8,45.9143438,-89.2557536
9,45.91447,-89.2557453
10,45.9145279,-89.2557358
11,45.9145855,-89.2557263
12,45.914644,-89.2557047
13,45.9147158,-89.2556567
14,45.9147993,-89.2555799
15,45.9148644,-89.2554935
16,45.9149095,-89.2554023
17,45.9149446,-89.255323
18,45.9150014,-89.2551502
19,45.9150682,-89.2549389
20,45.9151116,-89.2548141
21,45.9151818,-89.2546509
22,45.9152736,-89.2544612
23,45.9153839,-89.2542932
24,45.9154674,-89.2541755
25,45.9155759,-89.2540291
26,45.9156478,-89.2539523
27,45.9156918,-89.253909
28,45.9158749,-89.253729
29,45.9161421,-89.2534721
30,45.9162032,-89.2534227
31,45.9162831,-89.2533564
32,45.9163996,-89.2532764
33,45.9165363,-89.2532072
34,45.9166578,-89.2531599
35,45.9168097,-89.2531272
36,45.9169388,-89.2531199
37,45.9170603,-89.2531272
38,45.9171544,-89.2531418
39,45.9171696,-89.2531452
40,45.9173344,-89.2531821
41,45.9174053,-89.2532035
42,45.9174568,-89.2532265
43,45.9175797,-89.2532815
44,45.9178292,-89.2533929
45,45.9182031,-89.2535472
46,45.9182917,-89.2535803
47,45.9184344,-89.2536414
48,45.918848,-89.2538243
49,45.9191548,-89.2539722
50,45.9196485,-89.2541636
51,45.9198706,-89.2543645
