,Latitude,Longitude
0,36.498274,-88.9002341
1,36.4980445,-88.9001222
2,36.4973459,-88.8997829
3,36.496858,-88.8995377
4,36.4963546,-88.8992848
5,36.4962328,-88.8992353
6,36.4961062,-88.8991821
7,36.4960101,-88.899148
8,36.4958911,-88.8991214
9,36.4957126,-88.8990531
10,36.4955845,-88.8990322
11,36.4954701,-88.8990057
12,36.4952901,-88.8989487
13,36.495136,-88.8988956
14,36.4949545,-88.8988197
15,36.4947745,-88.8987343
16,36.494593,-88.8986394
17,36.494416,-88.8985275
18,36.4942909,-88.8984497
19,36.4941185,-88.898332
20,36.4939889,-88.8982258
21,36.4939538,-88.8981957
22,36.4939475,-88.8981904
23,36.4938714,-88.8981252
24,36.4937311,-88.8979886
25,36.4936141,-88.8978644
26,36.4935056,-88.8977536
27,36.493379,-88.8976037
28,36.4932905,-88.8974804
29,36.4931613,-88.8973085
30,36.4930819,-88.897179
31,36.4930029,-88.8970348
32,36.4929221,-88.8968919
33,36.4928114,-88.8966666
34,36.4927156,-88.8964506
35,36.4926378,-88.8962419
36,36.4925562,-88.8960352
37,36.4924891,-88.8958322
38,36.492385,-88.895491
39,36.4922969,-88.8951957
40,36.4923169,-88.8950657
41,36.4921093,-88.8943576
42,36.4918569,-88.8934453
43,36.4916042,-88.8925201
44,36.491174,-88.8910025
45,36.4909626,-88.8902293
46,36.4892249,-88.8840151
47,36.4881047,-88.8799801
48,36.4880548,-88.8798313
49,36.487811,-88.878854
50,36.4870604,-88.876274
51,36.48705,-88.876237
52,36.4867932,-88.8753252
53,36.4867108,-88.8750327
54,36.48653,-88.8744109
55,36.486516,-88.8743605
56,36.4862703,-88.8734783
57,36.4862335,-88.8733152
58,36.4850421,-88.8729585
59,36.4846022,-88.8728359
60,36.4838691,-88.8725963
61,36.4837319,-88.8725568
62,36.4813237,-88.8718633
63,36.4804442,-88.871646
64,36.4771604,-88.8707005
65,36.4771494,-88.8706975
66,36.4762751,-88.8704581
67,36.4752395,-88.8701632
68,36.4746666,-88.8699937
69,36.4729541,-88.8694548
70,36.4719177,-88.8691723
71,36.4718808,-88.8691622
72,36.4707403,-88.8687825
73,36.4706587,-88.8687511
74,36.4700774,-88.8685555
75,36.4695905,-88.8683576
76,36.4687492,-88.868011
77,36.4687222,-88.8680012
78,36.4675553,-88.8675785
79,36.4673717,-88.867512
80,36.4656557,-88.8670387
81,36.4614956,-88.8659656
82,36.4608635,-88.8658636
83,36.4597634,-88.8656732
84,36.4589048,-88.8654747
85,36.4579772,-88.8652199
86,36.4572042,-88.8649198
87,36.4546913,-88.8641119
88,36.4543567,-88.8640109
89,36.4507171,-88.8629117
90,36.4477007,-88.8620431
91,36.4471689,-88.8618815
92,36.4452176,-88.8613099
93,36.4430296,-88.8606568
94,36.4398829,-88.8597175
95,36.4391729,-88.859526
96,36.4387204,-88.8593895
97,36.4370051,-88.8588722
98,36.436613,-88.8587635
99,36.4355736,-88.8584753
100,36.4346268,-88.8582371
101,36.4333757,-88.8579662
102,36.4330563,-88.8579102
103,36.4320569,-88.8577514
104,36.4300877,-88.8575289
105,36.429205,-88.8574292
106,36.4276658,-88.857258
107,36.4270632,-88.857191
108,36.4261163,-88.8570789
109,36.4252535,-88.8569813
110,36.4228133,-88.8567053
111,36.4218664,-88.8566166
112,36.4191758,-88.856313
113,36.4187772,-88.8562692
114,36.4166279,-88.8560328
115,36.4165877,-88.8560283
116,36.4134635,-88.8556779
117,36.4120842,-88.8555332
118,36.4110056,-88.8554071
119,36.4102123,-88.8553216
120,36.4090789,-88.8551995
121,36.4078074,-88.85506
122,36.407056,-88.8549755
123,36.4057461,-88.8548283
124,36.4044602,-88.8546901
125,36.4038551,-88.8546247
126,36.403256,-88.85456
127,36.4021435,-88.8544339
128,36.4013123,-88.8543404
129,36.39899,-88.8540782
130,36.3978045,-88.853938
131,36.3966364,-88.8537939
132,36.3963394,-88.8537659
133,36.39402,-88.853383
134,36.3933434,-88.8532989
135,36.3927757,-88.8532942
136,36.3913979,-88.8531529
137,36.3876987,-88.852742
138,36.383369,-88.852266
139,36.377788,-88.8516441
140,36.3738473,-88.8511888
141,36.371514,-88.8509455
142,36.3709384,-88.8508831
