,Latitude,Longitude
0,36.2029925,-88.8214712
1,36.201578,-88.8211693
2,36.1998876,-88.8207
3,36.1987759,-88.8203907
4,36.198135,-88.8201732
5,36.197295,-88.819841
6,36.1969418,-88.8196888
7,36.196537,-88.8194875
8,36.1952018,-88.8187812
9,36.1942563,-88.8182667
10,36.1912799,-88.8166442
11,36.1883122,-88.8150454
12,36.1853486,-88.8134283
13,36.184017,-88.8127034
14,36.1829627,-88.8121596
15,36.182302,-88.8118666
16,36.1814209,-88.8114835
17,36.1805892,-88.8111137
18,36.1792903,-88.8105444
19,36.1789098,-88.8103669
20,36.1785044,-88.8101561
21,36.1779508,-88.8097935
