,Latitude,Longitude
0,36.498274,-88.9002341
1,36.4977047,-88.9012812
2,36.497541,-88.9015823
3,36.4968607,-88.9028923
4,36.4967689,-88.9030709
5,36.4965015,-88.9035615
6,36.496073,-88.904425
7,36.4959549,-88.9046644
8,36.4958611,-88.904859
9,36.4957828,-88.9050225
10,36.4957171,-88.905182
11,36.4956525,-88.9053474
12,36.4955753,-88.9055485
13,36.4955133,-88.9057275
14,36.4954736,-88.9058547
15,36.4954277,-88.9060259
16,36.4953714,-88.906249
17,36.4953172,-88.9065111
18,36.4952692,-88.9067394
19,36.49524,-88.9069081
20,36.4952108,-88.9071078
21,36.4951921,-88.9072739
22,36.4951712,-88.9075256
23,36.4951481,-88.9078329
24,36.4951331,-88.908109
25,36.4951264,-88.908439
26,36.495121,-88.9088583
27,36.4951114,-88.9096076
28,36.4951047,-88.9108447
29,36.4950964,-88.9111145
30,36.4950813,-88.9113387
31,36.495063,-88.9115608
32,36.495048,-88.9117351
33,36.4950163,-88.9120091
34,36.4949798,-88.9122934
35,36.4948863,-88.9129078
36,36.4948296,-88.9132482
37,36.4947795,-88.9134994
38,36.4947328,-88.9137111
39,36.4946828,-88.9139332
40,36.4946177,-88.9141781
41,36.4945393,-88.9144334
42,36.4944825,-88.9146077
43,36.4944191,-88.9147904
44,36.4943507,-88.9149793
45,36.4942105,-88.9153363
46,36.4935893,-88.9167937
47,36.4929375,-88.9181558
48,36.4919467,-88.9203061
49,36.4907526,-88.9229622
50,36.4898217,-88.9249925
51,36.4889117,-88.9269676
52,36.4882651,-88.9284173
53,36.4876184,-88.9298832
54,36.4864138,-88.9325264
55,36.4853395,-88.9348712
56,36.483243,-88.9394765
57,36.4824033,-88.9413348
58,36.4812586,-88.9438288
59,36.4808308,-88.9447768
60,36.4806228,-88.945237
61,36.4804905,-88.9455428
62,36.4803878,-88.9457947
63,36.480269,-88.9461072
64,36.480088,-88.946591
65,36.4797476,-88.9475451
66,36.4786238,-88.9506864
67,36.4777798,-88.9530535
68,36.4766776,-88.9561007
69,36.4760741,-88.9578332
70,36.4756446,-88.9590057
71,36.4754864,-88.9594134
72,36.4753657,-88.9597111
73,36.4752464,-88.9599777
74,36.4751098,-88.9602615
75,36.4749957,-88.9604916
76,36.4748712,-88.9607324
77,36.474773,-88.960917
78,36.4745703,-88.96127
79,36.4741502,-88.9619817
80,36.471919,-88.96573
81,36.4689007,-88.9707408
82,36.4670045,-88.9739088
83,36.4666915,-88.9744317
84,36.4660113,-88.975562
85,36.4652229,-88.9769208
86,36.465091,-88.9772408
87,36.4649916,-88.9777061
88,36.464903,-88.9784828
89,36.4648756,-88.9789897
90,36.4649134,-88.9798285
91,36.465161,-88.9811496
92,36.4651436,-88.9817866
93,36.4650687,-88.9822027
94,36.4650126,-88.9823774
95,36.4649731,-88.9825378
96,36.4648676,-88.98284
97,36.4647258,-88.9831174
98,36.4644523,-88.9835385
99,36.4642504,-88.9837776
100,36.4640048,-88.9839391
101,36.4637697,-88.9840022
102,36.4629372,-88.9841059
103,36.4624292,-88.9840247
104,36.4621321,-88.9840006
105,36.461546,-88.984102
106,36.4609348,-88.9844698
107,36.4606235,-88.9846715
108,36.4604432,-88.9848396
109,36.4598029,-88.9858947
110,36.4593542,-88.9868817
111,36.4591557,-88.9874826
112,36.4589081,-88.9887823
113,36.4588164,-88.9899172
114,36.4588061,-88.9903572
115,36.4587399,-88.9918989
116,36.4587187,-88.9923117
117,36.458691,-88.992673
118,36.458653,-88.9930127
119,36.4586288,-88.9932363
120,36.4585907,-88.99349
121,36.458544,-88.9937265
122,36.4584956,-88.9939308
123,36.4584299,-88.9942103
124,36.458378,-88.9943974
125,36.4583071,-88.9946296
126,36.4582293,-88.9948511
127,36.4581636,-88.9950274
128,36.4580857,-88.9952252
129,36.4579976,-88.9954209
130,36.4578782,-88.9956617
131,36.4577866,-88.9958445
132,36.4577001,-88.9960057
133,36.4575842,-88.9961949
134,36.4574787,-88.9963562
135,36.4573542,-88.996539
136,36.4572314,-88.9966981
137,36.4571052,-88.996855
138,36.4569478,-88.9970356
139,36.4567507,-88.9972507
140,36.4566071,-88.9973926
141,36.4564636,-88.9975323
142,36.456263,-88.9977172
143,36.4561454,-88.9978269
144,36.4550351,-88.9987966
145,36.4525347,-89.0009906
146,36.4499789,-89.0032314
147,36.4489519,-89.0041184
148,36.447752,-89.0051733
149,36.4470369,-89.0057893
150,36.4463883,-89.0063671
151,36.4461667,-89.0065788
152,36.445983,-89.0067636
153,36.4457884,-89.0069752
154,36.4456397,-89.0071634
155,36.4454289,-89.0074254
156,36.4452208,-89.0077211
157,36.4451172,-89.0078888
158,36.4449896,-89.0080904
159,36.444888,-89.0082651
160,36.4447669,-89.0084935
161,36.4446501,-89.008722
162,36.4445507,-89.0089531
163,36.4444531,-89.0091837
164,36.444371,-89.0093933
165,36.444278,-89.0096648
166,36.444198,-89.009912
167,36.444131,-89.0101378
168,36.4440661,-89.0103797
169,36.4439948,-89.0106834
170,36.443945,-89.0109414
171,36.4438996,-89.011229
172,36.4438629,-89.01153
173,36.4438326,-89.0118176
174,36.4438067,-89.0122181
175,36.4438003,-89.0124469
176,36.4438027,-89.0127
177,36.4438134,-89.0131166
178,36.4438235,-89.0133387
179,36.4438917,-89.0135946
180,36.4439274,-89.0137052
181,36.4439661,-89.0138
182,36.4440153,-89.0138907
183,36.4440533,-89.013943
184,36.4440977,-89.0140024
185,36.4441398,-89.0140478
186,36.4441911,-89.0140919
187,36.4442407,-89.0141249
188,36.4442877,-89.0141502
189,36.4443417,-89.0141711
190,36.4444001,-89.0141877
191,36.4444595,-89.0141976
192,36.4445418,-89.0142031
193,36.4446224,-89.0141965
194,36.4446862,-89.01418
195,36.444742,-89.0141579
196,36.4448004,-89.0141282
197,36.4448562,-89.0140886
198,36.4449129,-89.0140379
199,36.4449598,-89.0139939
200,36.4450014,-89.0139422
201,36.4450378,-89.0138893
202,36.4450705,-89.013831
203,36.4450997,-89.0137671
204,36.4451281,-89.0136901
205,36.4451476,-89.0136152
206,36.44516,-89.0135513
207,36.4451679,-89.0134875
208,36.4451715,-89.0134192
209,36.4451715,-89.0133334
210,36.4451662,-89.0132618
211,36.4451493,-89.0131804
212,36.4451219,-89.0130868
213,36.4450953,-89.0130229
214,36.4450643,-89.0129635
215,36.4450395,-89.012915
216,36.4449997,-89.0128545
217,36.4449598,-89.0128005
218,36.4449067,-89.0127488
219,36.4448279,-89.0126894
220,36.4447402,-89.0126453
221,36.4446251,-89.0126024
222,36.4443919,-89.0124892
223,36.4440165,-89.0124469
224,36.4433928,-89.0123776
225,36.4431548,-89.0123486
226,36.442842,-89.0123797
227,36.4419709,-89.0122978
228,36.4417143,-89.0122737
229,36.4410328,-89.0121977
230,36.440893,-89.0121693
231,36.4403026,-89.0121117
232,36.4400432,-89.0120801
233,36.439807,-89.0120513
234,36.4396264,-89.0120211
235,36.4394307,-89.0119908
236,36.439242,-89.0119491
237,36.4390255,-89.011903
238,36.4388024,-89.0118411
239,36.4382757,-89.0117643
240,36.4380156,-89.0116941
241,36.4378967,-89.0116593
242,36.4378041,-89.0116341
243,36.4377433,-89.0116233
244,36.4376825,-89.0116198
245,36.4376232,-89.0116198
246,36.4375711,-89.0116269
247,36.4375103,-89.0116431
248,36.4374495,-89.0116665
249,36.4373989,-89.0116989
250,36.4373439,-89.0117403
251,36.4372918,-89.0117907
252,36.4372498,-89.0118338
253,36.4372035,-89.0118932
254,36.4371632,-89.0119619
255,36.4371378,-89.012008
256,36.4371123,-89.012067
257,36.4370914,-89.0121289
258,36.4370752,-89.0121936
259,36.4370637,-89.0122541
260,36.4370567,-89.0123275
261,36.4370532,-89.0123923
262,36.4370544,-89.0124613
263,36.4370579,-89.0125146
264,36.4370706,-89.0125866
265,36.4370857,-89.0126556
266,36.4371123,-89.0127391
267,36.4371412,-89.0128024
268,36.4371748,-89.0128643
269,36.4372107,-89.012919
270,36.4372478,-89.0129651
271,36.4372918,-89.0130169
272,36.4373334,-89.0130543
273,36.4373832,-89.0130888
274,36.4374388,-89.0131219
275,36.437506,-89.0131608
276,36.4376449,-89.0132213
277,36.4377954,-89.0132788
278,36.4380305,-89.0133609
279,36.4385606,-89.0135884
280,36.4386742,-89.0136372
281,36.4388043,-89.0137972
