,Latitude,Longitude
0,40.845653,-75.0564456
1,40.845821,-75.0565456
2,40.8462105,-75.0567549
3,40.846522,-75.0569106
4,40.84708,-75.0571466
5,40.847484,-75.0572866
6,40.847727,-75.0573496
7,40.848045,-75.0574176
8,40.8484,-75.0574926
9,40.848948,-75.0575906
10,40.849145,-75.0576256
11,40.849392,-75.0576756
12,40.849929,-75.0577976
13,40.850244,-75.0578526
14,40.850512,-75.0578826
15,40.850763,-75.0578946
16,40.8508706,-75.0578931
17,40.850978,-75.0578916
18,40.85111,-75.0578826
19,40.851214,-75.0578646
20,40.851526,-75.0577966
21,40.851648,-75.0577646
22,40.851803,-75.0577146
23,40.851907,-75.0576916
24,40.852032,-75.0576456
25,40.852435,-75.0574506
26,40.852568,-75.0573716
27,40.852862,-75.0571616
28,40.853096,-75.0570076
29,40.853323,-75.0568496
30,40.853499,-75.0567096
31,40.853607,-75.0566156
32,40.853725,-75.0565366
33,40.853991,-75.0563736
34,40.854329,-75.0561496
35,40.854706,-75.0559356
36,40.854836,-75.0558426
37,40.854954,-75.0557686
38,40.855044,-75.0556986
39,40.855224,-75.0555296
40,40.855314,-75.0554216
41,40.855494,-75.0552446
42,40.855855,-75.0548036
43,40.856006,-75.0545826
44,40.856165,-75.0543626
45,40.856602,-75.0536866
46,40.856992,-75.0530626
47,40.857093,-75.0529166
48,40.857179,-75.0527756
49,40.857273,-75.0526496
50,40.857353,-75.0525276
51,40.857583,-75.0522416
52,40.857853,-75.0519466
53,40.85803,-75.0517686
54,40.858231,-75.0515816
55,40.858642,-75.0512216
56,40.858875,-75.0510256
57,40.860135,-75.0499126
58,40.860372,-75.0496976
59,40.860618,-75.0494816
60,40.861095,-75.0490616
61,40.861408,-75.0488186
62,40.861893,-75.0485016
63,40.862017,-75.0484416
64,40.8621261,-75.0484015
65,40.862227,-75.0483396
66,40.862658,-75.0481446
67,40.863046,-75.0479776
68,40.863782,-75.0476456
69,40.864109,-75.0474976
70,40.864195,-75.0474586
71,40.864543,-75.0473106
72,40.8645632,-75.0473027
73,40.864686,-75.0472546
74,40.864734,-75.0472366
75,40.864992,-75.0471636
76,40.865031,-75.0471586
77,40.86525,-75.0471276
78,40.865401,-75.0471286
79,40.865443,-75.0471256
80,40.86553,-75.0471206
81,40.865775,-75.0471376
82,40.8658411,-75.0471398
83,40.86634,-75.0471566
84,40.866912,-75.0471936
85,40.867394,-75.0472166
86,40.867819,-75.0472536
87,40.868077,-75.0472636
88,40.868266,-75.0472706
89,40.868609,-75.0472926
90,40.868696,-75.0472996
91,40.868916,-75.0473186
92,40.86927,-75.0473496
93,40.869724,-75.0473816
94,40.869977,-75.0474126
95,40.870227,-75.0474326
96,40.870642,-75.0474836
97,40.870792,-75.0475126
98,40.87112,-75.0476006
99,40.871398,-75.0477066
100,40.871577,-75.0477876
101,40.871755,-75.0478746
102,40.871883,-75.0479456
103,40.872094,-75.0480796
104,40.872339,-75.0482646
105,40.872535,-75.0484406
106,40.872755,-75.0486736
107,40.8730978,-75.0490692
108,40.873218,-75.0491996
109,40.873328,-75.0493566
110,40.873562,-75.0496266
111,40.873935,-75.0500906
112,40.874739,-75.0510486
113,40.875062,-75.0514466
114,40.875798,-75.0523246
115,40.8761412,-75.0527303
116,40.876245,-75.0528646
117,40.876565,-75.0532626
118,40.876725,-75.0534946
119,40.877144,-75.0540586
120,40.877805,-75.0548556
121,40.878045,-75.0551386
122,40.878267,-75.0553776
123,40.878305,-75.0554166
124,40.87847,-75.0555766
125,40.878562,-75.0556576
126,40.878701,-75.0557626
127,40.8788512,-75.0558688
128,40.87895,-75.0559386
129,40.879292,-75.0561906
130,40.88007,-75.0567436
131,40.880696,-75.0571776
132,40.88134,-75.0576346
133,40.881978,-75.0580786
134,40.882972,-75.0588116
135,40.8831262,-75.0589301
136,40.8833822,-75.0591211
137,40.883747,-75.0594326
138,40.883908,-75.0595626
139,40.884575,-75.0600996
140,40.8846893,-75.0601962
141,40.885133,-75.0605396
142,40.885503,-75.0608206
143,40.8860284,-75.0612005
144,40.886099,-75.0612516
145,40.886931,-75.0618546
146,40.887345,-75.0621456
147,40.887626,-75.0623506
148,40.888096,-75.0626836
149,40.888295,-75.0628416
150,40.888662,-75.0630936
151,40.889221,-75.0635316
152,40.889481,-75.0637506
153,40.8896113,-75.0638636
154,40.8898206,-75.064045
155,40.889887,-75.0641026
156,40.890065,-75.0642506
157,40.8902858,-75.0644356
158,40.890343,-75.0644836
159,40.890496,-75.0645976
160,40.8905742,-75.0646529
161,40.890759,-75.0647836
162,40.8910213,-75.0649524
163,40.891233,-75.0650886
164,40.8913127,-75.0651384
165,40.8921508,-75.0656628
166,40.8927396,-75.0660312
167,40.892932,-75.0661516
168,40.893898,-75.0667606
169,40.8942726,-75.0670187
170,40.894361,-75.0670796
171,40.8945806,-75.0672362
172,40.894668,-75.0672986
