,Latitude,Longitude
0,32.88683,-90.38806
1,32.88694,-90.39017
2,32.88704,-90.39106
3,32.88729,-90.39214
4,32.88885,-90.39764
5,32.88976,-90.40111
6,32.89076,-90.4047
7,32.89124,-90.40597
8,32.89191,-90.40725
9,32.89259,-90.40816
10,32.89347,-90.40909
11,32.8945,-90.40986
12,32.89565,-90.41046
13,32.89688,-90.41088
14,32.89822,-90.41104
15,32.93545,-90.41295
16,32.93708,-90.41312
17,32.93886,-90.41343
18,32.94056,-90.41388
19,32.94254,-90.41464
20,32.94433,-90.41556
21,32.94675,-90.41716
22,32.94933,-90.41951
23,32.95147,-90.42203
24,32.97893,-90.45822
25,32.98079,-90.46044
26,32.98325,-90.46284
27,32.98628,-90.46527
28,32.98917,-90.46696
29,32.9917,-90.46818
30,32.99469,-90.46924
31,32.99793,-90.46994
32,33.0012,-90.47019
33,33.00413,-90.47015
34,33.02176,-90.46819
35,33.02471,-90.46799
36,33.04373,-90.46702
37,33.04655,-90.46709
38,33.04977,-90.46759
39,33.05236,-90.46824
40,33.07023,-90.47399
41,33.07265,-90.47511
42,33.07498,-90.47682
43,33.0826,-90.48406
44,33.0853,-90.48636
45,33.08861,-90.489
46,33.09325,-90.49252
47,33.09559,-90.49443
48,33.09822,-90.49668
49,33.10095,-90.49887
50,33.10444,-90.5015
51,33.12385,-90.51626
52,33.12576,-90.51742
53,33.12785,-90.51828
54,33.12998,-90.51871
55,33.13201,-90.51876
56,33.13404,-90.51848
57,33.13605,-90.51784
58,33.13801,-90.5168
59,33.13982,-90.51553
60,33.15443,-90.50477
61,33.15618,-90.50355
62,33.16029,-90.50053
63,33.16114,-90.50001
64,33.16192,-90.49965
65,33.16295,-90.49933
66,33.16381,-90.49917
67,33.17908,-90.4973
68,33.18207,-90.49698
69,33.1859,-90.49651
70,33.1867,-90.49655
71,33.18757,-90.49671
72,33.18842,-90.49704
73,33.18918,-90.49756
74,33.18988,-90.49823
75,33.1905,-90.49906
76,33.22351,-90.54944
77,33.22468,-90.55137
78,33.22601,-90.55382
79,33.22731,-90.55646
80,33.23413,-90.57167
81,33.23493,-90.57315
82,33.23591,-90.57433
83,33.23715,-90.57534
84,33.23833,-90.576
85,33.23963,-90.57644
86,33.24085,-90.57661
87,33.24304,-90.57662
88,33.24424,-90.57683
89,33.24542,-90.57728
90,33.24649,-90.57798
91,33.24736,-90.57873
92,33.24898,-90.58065
93,33.24979,-90.58146
94,33.25072,-90.58209
95,33.26219,-90.58799
96,33.2639,-90.58863
97,33.26525,-90.58898
98,33.26669,-90.58921
99,33.26833,-90.58924
100,33.27314,-90.58869
101,33.27417,-90.5887
102,33.27526,-90.58888
103,33.27903,-90.59017
104,33.27971,-90.59028
105,33.28043,-90.59032
106,33.31101,-90.59021
107,33.31629,-90.58996
108,33.33477,-90.58982
109,33.34219,-90.58986
110,33.34338,-90.5897
111,33.34427,-90.58938
112,33.34505,-90.58897
113,33.34604,-90.5882
114,33.35099,-90.58383
115,33.35212,-90.58309
116,33.35328,-90.5826
117,33.35449,-90.5824
118,33.35538,-90.58244
119,33.35652,-90.58269
120,33.35761,-90.58319
121,33.35888,-90.58419
122,33.36154,-90.58738
123,33.36248,-90.58834
124,33.36363,-90.58913
125,33.3647,-90.5896
126,33.36605,-90.58997
127,33.36719,-90.59005
128,33.37392,-90.59008
129,33.37488,-90.5902
130,33.37602,-90.59051
131,33.37715,-90.59105
132,33.37838,-90.59201
133,33.37942,-90.5932
134,33.40891,-90.62894
135,33.41006,-90.63013
136,33.41132,-90.63118
137,33.4126,-90.63199
138,33.41398,-90.63263
139,33.41546,-90.63306
140,33.41683,-90.63328
141,33.42138,-90.63381
142,33.42274,-90.63386
143,33.43164,-90.63342
144,33.43707,-90.63305
145,33.45467,-90.63217
146,33.45514,-90.63217
147,33.45604,-90.63228
148,33.45727,-90.63254
149,33.45798,-90.63256
150,33.45865,-90.63248
151,33.45922,-90.63232
152,33.45964,-90.63209
153,33.46011,-90.63177
154,33.46058,-90.63134
155,33.46073,-90.63116
156,33.48111,-90.60521
157,33.48224,-90.60395
158,33.48308,-90.60309
159,33.48391,-90.60229
160,33.48487,-90.60144
161,33.48795,-90.599
162,33.48891,-90.59833
163,33.48987,-90.59776
164,33.49052,-90.59742
165,33.49503,-90.59528
166,33.49617,-90.59471
167,33.51259,-90.58597
168,33.51406,-90.58507
169,33.51527,-90.58413
170,33.51599,-90.58349
171,33.51663,-90.58284
172,33.51719,-90.58221
173,33.51796,-90.58124
174,33.5188,-90.58
175,33.51928,-90.57917
176,33.51974,-90.57828
177,33.52036,-90.57689
178,33.53612,-90.53571
179,33.53642,-90.53502
180,33.53656,-90.53477
181,33.537,-90.53413
182,33.5373,-90.5338
183,33.53751,-90.53359
184,33.53794,-90.53326
185,33.53834,-90.53301
186,33.53895,-90.53275
187,33.54107,-90.53233
188,33.5423,-90.53204
189,33.54366,-90.53185
190,33.54593,-90.53146
191,33.59359,-90.52263
192,33.6073,-90.52012
193,33.60819,-90.52003
194,33.60884,-90.52001
195,33.61018,-90.52005
196,33.6117,-90.52026
197,33.61629,-90.52107
198,33.61714,-90.52116
199,33.61826,-90.52119
200,33.61889,-90.52116
201,33.63613,-90.51949
202,33.63767,-90.51939
203,33.63879,-90.51943
204,33.6398,-90.51954
205,33.64166,-90.51994
206,33.66708,-90.52591
207,33.66835,-90.52629
208,33.66949,-90.52673
209,33.67088,-90.52738
210,33.67212,-90.52809
211,33.67308,-90.52873
212,33.6739,-90.52935
213,33.68532,-90.53901
214,33.68691,-90.54022
215,33.68804,-90.54099
216,33.68933,-90.54178
217,33.69013,-90.54222
218,33.69123,-90.54276
219,33.69223,-90.54321
220,33.69352,-90.54371
