,Latitude,Longitude
0,36.9911,-89.1487
1,36.9891,-89.1508
2,36.989,-89.1509
3,36.9886,-89.1513
4,36.9886,-89.1514
5,36.9886,-89.1514
6,36.9886,-89.1515
7,36.9886,-89.1515
8,36.9886,-89.1515
9,36.9886,-89.1516
10,36.9886,-89.1517
11,36.9886,-89.1517
12,36.9886,-89.1517
13,36.9886,-89.1517
14,36.9886,-89.1518
15,36.9886,-89.1518
16,36.9886,-89.1519
17,36.9887,-89.1519
18,36.9888,-89.152
19,36.9889,-89.1521
20,36.9894,-89.1527
21,36.9897,-89.153
22,36.9898,-89.1532
23,36.9901,-89.1536
24,36.9902,-89.1536
25,36.9903,-89.1538
26,36.9904,-89.1539
27,36.9905,-89.154
28,36.9906,-89.1543
29,36.9909,-89.1547
30,36.9909,-89.1548
31,36.9911,-89.155
32,36.9911,-89.1551
33,36.9916,-89.1559
34,36.992,-89.1566
35,36.9922,-89.1569
36,36.9925,-89.1573
37,36.9935,-89.1591
38,36.9936,-89.1592
39,36.9936,-89.1592
40,36.9937,-89.1594
41,36.9938,-89.1594
42,36.9939,-89.1596
43,36.9941,-89.16
44,36.9944,-89.1604
45,36.9945,-89.1605
46,36.9948,-89.1608
47,36.995,-89.161
48,36.9961,-89.1616
49,36.9961,-89.1617
50,36.9962,-89.1617
51,36.9963,-89.1618
52,36.9963,-89.1618
53,36.9964,-89.1619
54,36.9965,-89.1619
55,36.9965,-89.162
56,36.9966,-89.1622
57,36.9968,-89.1623
58,36.9968,-89.1623
59,36.9968,-89.1624
60,36.9968,-89.1625
61,36.997,-89.1628
62,36.997,-89.1628
63,36.9972,-89.1632
64,36.9973,-89.1633
65,36.9974,-89.1634
66,36.9978,-89.1641
67,36.998,-89.1645
68,36.9989,-89.1659
69,36.9993,-89.1666
70,36.9994,-89.1669
71,36.9997,-89.1673
72,36.9998,-89.1675
73,36.9999,-89.1677
74,37.0,-89.1679
75,37.0002,-89.1681
76,37.0002,-89.1682
77,37.0004,-89.1686
78,37.0006,-89.1688
79,37.0007,-89.1689
80,37.0011,-89.1696
81,37.0011,-89.1697
82,37.0015,-89.1702
83,37.0015,-89.1703
84,37.0016,-89.1704
85,37.0023,-89.1716
86,37.0023,-89.1716
87,37.0024,-89.1717
88,37.0025,-89.1719
89,37.0027,-89.1723
90,37.0028,-89.1725
91,37.0029,-89.1726
92,37.0031,-89.173
93,37.0031,-89.173
94,37.0032,-89.1732
95,37.0036,-89.1739
96,37.004,-89.1744
97,37.0041,-89.1746
98,37.0043,-89.175
99,37.0045,-89.1753
100,37.0047,-89.1757
101,37.0048,-89.1759
102,37.0052,-89.1765
103,37.0053,-89.1767
104,37.0055,-89.1768
105,37.0056,-89.1769
106,37.0057,-89.177
107,37.0058,-89.1771
108,37.0062,-89.1773
109,37.0067,-89.1776
110,37.0068,-89.1777
111,37.0069,-89.1777
112,37.0069,-89.1777
113,37.0069,-89.1777
114,37.0069,-89.1778
