,Latitude,Longitude
0,33.8194308,-89.8343158
1,33.8189453,-89.8337822
2,33.8184753,-89.8332362
3,33.81817,-89.8328874
4,33.8179791,-89.8326693
5,33.8178172,-89.8324752
6,33.8174282,-89.8320491
7,33.8167465,-89.8312552
8,33.8164003,-89.8308348
9,33.8156718,-89.8299606
10,33.8156605,-89.8299474
11,33.815205,-89.8294178
12,33.8145444,-89.8286279
13,33.8137523,-89.827685
14,33.8127946,-89.8265587
15,33.8124787,-89.8261931
16,33.8118024,-89.8253828
17,33.8109027,-89.8243259
18,33.8083822,-89.821365
19,33.8081374,-89.8210776
20,33.8076779,-89.8205195
21,33.8073568,-89.8201411
22,33.80651,-89.8191223
23,33.8057718,-89.8182575
24,33.8046743,-89.8169675
25,33.8042714,-89.8164979
26,33.8033994,-89.8154548
27,33.8025659,-89.8144721
28,33.8016646,-89.8133995
29,33.8015021,-89.8132089
30,33.8013435,-89.8130297
31,33.8010281,-89.8127194
32,33.8007446,-89.8124804
33,33.8003454,-89.8122062
34,33.8000771,-89.8120391
35,33.7998107,-89.8118926
36,33.7995443,-89.8117626
37,33.7992043,-89.8116192
38,33.7988261,-89.8114994
39,33.798448,-89.8113871
40,33.7979243,-89.8112654
41,33.7970481,-89.8111372
42,33.7954785,-89.8109354
43,33.7946307,-89.8108264
44,33.7940885,-89.8107524
45,33.7934646,-89.8106785
46,33.7929051,-89.8106214
47,33.7926874,-89.8105897
48,33.7920853,-89.8105021
49,33.7912466,-89.8103791
50,33.7908872,-89.8102783
51,33.7912193,-89.8102536
52,33.7916897,-89.8103046
53,33.7922036,-89.8103727
54,33.7925964,-89.8104256
55,33.7927061,-89.8104383
56,33.7932485,-89.8105012
57,33.7941301,-89.8106128
58,33.7946439,-89.8106828
59,33.7954594,-89.8107887
60,33.795493,-89.8107927
61,33.7959968,-89.8108529
62,33.796484,-89.8109153
63,33.7970653,-89.8109891
64,33.7979405,-89.8111063
65,33.7980171,-89.8111262
66,33.7984764,-89.8112457
67,33.7988553,-89.811352
68,33.7988896,-89.8113616
69,33.7991404,-89.8114332
70,33.7994689,-89.811565
71,33.7998271,-89.8117242
72,33.8001418,-89.8118999
73,33.8002901,-89.8119987
74,33.8005319,-89.8121579
75,33.8008148,-89.8123666
76,33.800979,-89.8124983
77,33.8011798,-89.8126932
78,33.8014466,-89.8129705
79,33.8017363,-89.8132889
80,33.8025119,-89.8142003
81,33.8034654,-89.815334
82,33.8043664,-89.8163854
83,33.8047565,-89.8168575
84,33.8051328,-89.8172913
85,33.8059471,-89.8182575
86,33.8065767,-89.8190179
87,33.8074571,-89.8200364
88,33.8077696,-89.8204042
89,33.8082281,-89.8209587
90,33.8084767,-89.8212415
91,33.8093138,-89.8222379
92,33.8100642,-89.8231219
93,33.8108762,-89.8240826
94,33.810991,-89.8242176
95,33.8114578,-89.8247662
96,33.8125685,-89.8260838
97,33.8128901,-89.8264626
98,33.8138321,-89.8275744
99,33.8143384,-89.8281838
100,33.8151162,-89.8291007
101,33.8157548,-89.8298377
102,33.8161151,-89.8302536
103,33.8163025,-89.8305181
104,33.8166771,-89.830958
105,33.8175276,-89.8319566
106,33.8180105,-89.8325231
107,33.8182308,-89.8327752
108,33.8183294,-89.8328881
109,33.8189138,-89.8336104
110,33.8193317,-89.8341379
111,33.8194308,-89.8343158
112,33.819946,-89.8349182
113,33.8201875,-89.8352048
114,33.8210829,-89.8363735
115,33.8211537,-89.8364549
116,33.8214147,-89.836755
117,33.8217615,-89.837154
118,33.8229147,-89.8385011
119,33.8238142,-89.8395776
120,33.8248284,-89.8407407
121,33.8248681,-89.8407881
122,33.8255842,-89.8416441
123,33.8260902,-89.8422015
124,33.8268257,-89.8430938
125,33.8273322,-89.8436882
126,33.8281867,-89.8447081
127,33.828917,-89.8455203
128,33.8294305,-89.8460114
129,33.8298555,-89.8463703
130,33.830389,-89.8467669
131,33.8308383,-89.8470777
132,33.8314459,-89.8474211
133,33.8324397,-89.84787
134,33.8327011,-89.8479706
135,33.8330672,-89.8480929
136,33.8335055,-89.8482144
137,33.8339234,-89.848314
138,33.8341531,-89.8483638
139,33.8343898,-89.8483998
140,33.8345539,-89.8484239
141,33.8349451,-89.8484587
142,33.8354474,-89.8484893
143,33.8406379,-89.8485427
144,33.8417745,-89.8485543
145,33.8421791,-89.8485631
146,33.8434346,-89.8485661
147,33.8451131,-89.8485239
148,33.8462494,-89.8484049
149,33.8529992,-89.8473455
150,33.8537864,-89.8472836
151,33.8547503,-89.8473386
152,33.8555603,-89.8474828
153,33.8567748,-89.8478667
154,33.857351,-89.8481069
155,33.8580388,-89.84838
156,33.8584586,-89.8485513
157,33.8588953,-89.8487277
158,33.8609698,-89.8495775
159,33.8626714,-89.8502856
160,33.8674287,-89.8521524
161,33.8714552,-89.85359
162,33.8737264,-89.854362
163,33.8739135,-89.8544478
164,33.8741584,-89.8545283
165,33.8744684,-89.8546276
166,33.8747477,-89.8547252
167,33.8755528,-89.8549996
168,33.8760779,-89.8551815
169,33.8763536,-89.855277
170,33.877531,-89.8556823
171,33.8819413,-89.8571995
172,33.8828066,-89.8574972
173,33.8847287,-89.8581594
174,33.885662,-89.8584765
175,33.8864013,-89.8587286
176,33.8899732,-89.8599652
177,33.8926995,-89.8609366
178,33.8934593,-89.8612542
179,33.8941416,-89.8615064
180,33.8977,-89.8634864
181,33.9028863,-89.8662511
182,33.905043,-89.867376
183,33.90925,-89.869744
184,33.914952,-89.872791
185,33.916645,-89.873835
186,33.917103,-89.874055
187,33.918424,-89.874751
188,33.919062,-89.875087
189,33.922197,-89.876828
190,33.924458,-89.878084
191,33.927134,-89.879571
192,33.931897,-89.882205
193,33.933358,-89.883032
194,33.934804,-89.883851
195,33.93501,-89.883906
196,33.9356751,-89.884034
197,33.9411072,-89.8869892
198,33.9504193,-89.8920074
199,33.9525783,-89.8932515
200,33.9561917,-89.895192
201,33.9567039,-89.8954678
202,33.9568104,-89.8955251
203,33.9594137,-89.8969267
204,33.9620434,-89.8984066
205,33.9624299,-89.8985915
206,33.9630687,-89.8988922
207,33.964734,-89.900008
208,33.9670556,-89.901122
209,33.9693577,-89.9024152
210,33.9728129,-89.9042397
211,33.9762298,-89.9060588
212,33.9778787,-89.9067677
213,33.9781011,-89.9068643
214,33.9784303,-89.9069876
215,33.9787061,-89.9071003
216,33.9805611,-89.9077065
217,33.9827007,-89.9082912
218,33.9830121,-89.9083663
219,33.9833101,-89.9084253
220,33.9851208,-89.9089586
221,33.9859368,-89.9091614
222,33.9866188,-89.9093574
223,33.9872557,-89.9095169
224,33.987839,-89.9096745
225,33.9890302,-89.9100105
226,33.9900693,-89.9102699
227,33.990853,-89.9104898
228,33.9913792,-89.9106316
229,33.9928974,-89.9110491
230,33.9944691,-89.9114665
231,33.9975901,-89.9123177
232,33.9982097,-89.9124851
233,33.9989277,-89.9126866
234,33.9997269,-89.9128777
235,34.0013545,-89.9133099
236,34.0015944,-89.913376
237,34.0020905,-89.913514
238,34.0029593,-89.9137575
239,34.0033642,-89.913869
240,34.0037761,-89.9139662
241,34.0040719,-89.9140187
242,34.0043435,-89.9140439
243,34.0045915,-89.9140544
244,34.0048172,-89.9140463
245,34.0050586,-89.914037
246,34.0052801,-89.9140079
247,34.0055506,-89.9139566
248,34.0058439,-89.9138851
249,34.0061675,-89.9137775
250,34.0064922,-89.9136464
251,34.0067872,-89.9134924
252,34.0070466,-89.9133496
253,34.0073656,-89.9131356
254,34.0076082,-89.9129487
255,34.0078547,-89.9127302
256,34.0082469,-89.9123337
257,34.0091176,-89.911425
258,34.0094689,-89.9110626
259,34.0097806,-89.9107374
260,34.0100543,-89.9104662
261,34.0103398,-89.9102029
262,34.0105854,-89.9100119
263,34.0109361,-89.9097555
264,34.0112485,-89.9095625
265,34.0115533,-89.9093939
266,34.0118377,-89.9092483
267,34.0120851,-89.9091431
268,34.0123934,-89.90903
269,34.0127085,-89.9089268
270,34.0130257,-89.9088451
271,34.0134505,-89.9087603
272,34.0137815,-89.908714
273,34.0140969,-89.9086946
274,34.0143945,-89.9086846
275,34.014731,-89.908691
276,34.0151496,-89.9087282
277,34.0162683,-89.908815
278,34.0172797,-89.9088941
279,34.0193984,-89.9090469
280,34.0217443,-89.9092145
281,34.0223279,-89.9092588
282,34.0252292,-89.9094871
283,34.0285853,-89.9097253
284,34.03065,-89.9098025
285,34.0327727,-89.9097484
286,34.0369622,-89.9097231
287,34.0377479,-89.9096975
288,34.0385771,-89.9097073
289,34.0403654,-89.9096831
290,34.042206,-89.9096516
291,34.0458303,-89.9096076
292,34.0474065,-89.9095683
293,34.0510227,-89.9095349
294,34.0529354,-89.9094922
295,34.0550288,-89.9094377
296,34.0555804,-89.9093756
297,34.058008,-89.9088606
298,34.0584147,-89.9087845
299,34.0590524,-89.9087045
300,34.0599341,-89.9086055
301,34.0608244,-89.9085749
302,34.0618709,-89.9085177
303,34.0624213,-89.9084751
304,34.0627515,-89.9084508
305,34.0632436,-89.9084512
306,34.0636636,-89.9084296
307,34.0638924,-89.9084312
308,34.0640599,-89.9084323
309,34.0647002,-89.9084545
310,34.0649448,-89.9084668
311,34.0653286,-89.9084676
312,34.065806,-89.9084736
313,34.071575,-89.908656
314,34.0729883,-89.9085939
315,34.0738582,-89.9085557
316,34.074898,-89.90851
317,34.079768,-89.908297
318,34.083436,-89.9081444
319,34.086611,-89.908075
320,34.0887708,-89.907938
321,34.0889004,-89.9079298
322,34.0896456,-89.9079298
323,34.0906493,-89.9078897
324,34.0913194,-89.907883
325,34.0924393,-89.9079545
326,34.0937221,-89.9080976
327,34.0953559,-89.9084206
328,34.0968711,-89.908724
329,34.1018557,-89.9096901
330,34.1032974,-89.9099717
331,34.105412,-89.9103607
332,34.1099005,-89.9112557
333,34.1141945,-89.9120843
334,34.1166716,-89.9125554
335,34.1221523,-89.9136739
336,34.1224807,-89.9137439
337,34.1227162,-89.9137698
338,34.1228665,-89.9138038
339,34.123124,-89.9138397
340,34.1241383,-89.9140485
341,34.1246547,-89.9141538
342,34.1258818,-89.9143762
343,34.126642,-89.9144966
344,34.1294407,-89.9150322
345,34.1311944,-89.9153678
346,34.1323016,-89.9155919
347,34.1333212,-89.9157869
348,34.1340285,-89.9159178
349,34.1347887,-89.9160679
350,34.1365185,-89.9164321
351,34.1390346,-89.9170424
352,34.1432905,-89.9181099
353,34.1439934,-89.9182805
354,34.1469908,-89.9190275
355,34.1478803,-89.9192355
356,34.1522957,-89.9203312
357,34.1575076,-89.9216189
358,34.1579164,-89.921731
359,34.1586345,-89.921908
360,34.1595467,-89.9221275
361,34.1610637,-89.9225178
362,34.1614072,-89.922596
363,34.1617537,-89.9226907
364,34.1634701,-89.9231663
365,34.1643875,-89.923381
366,34.1660721,-89.9238576
367,34.1690057,-89.9249029
368,34.173222,-89.9264576
369,34.174653,-89.9269584
370,34.1749418,-89.9270449
371,34.1767527,-89.9277448
372,34.180147,-89.9290129
373,34.1840026,-89.9303849
374,34.1847951,-89.9306687
375,34.1866761,-89.9313751
376,34.1893415,-89.93238
377,34.1896104,-89.9325105
378,34.1899937,-89.9326965
379,34.1911991,-89.9332813
380,34.1932517,-89.934357
381,34.1981746,-89.9368694
382,34.2009956,-89.9382527
383,34.2016374,-89.9385241
384,34.2021779,-89.9387342
385,34.202861,-89.938961
386,34.2035934,-89.9391564
387,34.2042127,-89.9392827
388,34.2049326,-89.9393974
389,34.205368,-89.93945
390,34.2062649,-89.9395085
391,34.2072857,-89.9395085
392,34.2083538,-89.9394957
393,34.2101637,-89.9394705
394,34.211349,-89.9394436
395,34.2168427,-89.9393558
396,34.220857,-89.9393089
397,34.222666,-89.9392757
398,34.2232514,-89.9392725
399,34.2234526,-89.9392678
400,34.2258388,-89.9392298
401,34.228121,-89.9392058
402,34.2288332,-89.9391937
403,34.23229,-89.9391287
404,34.2326319,-89.9391259
405,34.2328579,-89.9391259
406,34.2330359,-89.9391211
407,34.23359,-89.939109
408,34.2340881,-89.9391017
