,Latitude,Longitude
0,35.3371531,-89.9145881
1,35.3369957,-89.9148707
2,35.3365889,-89.9153786
3,35.3364048,-89.9156239
4,35.3363022,-89.9157605
5,35.3362149,-89.9158567
6,35.335667,-89.9164608
7,35.3348608,-89.9173498
8,35.3343804,-89.9178596
9,35.3336934,-89.918588
10,35.3327973,-89.9195382
11,35.3326753,-89.9196676
12,35.332464,-89.9198917
13,35.3323057,-89.9200594
14,35.3322637,-89.920104
15,35.3320874,-89.9202909
16,35.3320792,-89.9202996
17,35.3315492,-89.9208615
18,35.3312395,-89.92119
19,35.3310614,-89.9213788
20,35.3308028,-89.921653
21,35.3304846,-89.9219811
22,35.3303296,-89.9221459
23,35.3302975,-89.9221801
24,35.3301705,-89.9223151
25,35.3299189,-89.9225827
26,35.3293776,-89.9231585
27,35.3288141,-89.9237579
28,35.3277675,-89.9248711
29,35.3272452,-89.9254266
30,35.326406,-89.9263193
31,35.3263137,-89.9264174
32,35.326223,-89.9265139
33,35.3249679,-89.9278488
34,35.3248822,-89.92794
35,35.3247304,-89.9281015
36,35.3237639,-89.9291294
37,35.3226673,-89.9302957
38,35.3215915,-89.9314399
39,35.3186043,-89.9346169
40,35.3158165,-89.937644
41,35.3152329,-89.9382605
42,35.3120266,-89.9416673
43,35.3117311,-89.9419889
44,35.3108747,-89.9428961
45,35.3106702,-89.943114
46,35.3105227,-89.9432711
47,35.30856,-89.9453624
48,35.3080788,-89.9458728
49,35.3076528,-89.9463247
50,35.3070502,-89.9469639
51,35.3064973,-89.947553
52,35.3054494,-89.9486696
53,35.3054157,-89.9487055
54,35.3043604,-89.9498395
55,35.3039579,-89.9502719
56,35.3036068,-89.9506432
57,35.3035285,-89.9507261
58,35.3030952,-89.9511844
59,35.3030324,-89.9512508
60,35.302198,-89.9521333
61,35.300229,-89.9542297
62,35.2996028,-89.9548825
63,35.2995624,-89.9549389
64,35.298938,-89.9555868
65,35.2979438,-89.9566851
66,35.2970441,-89.9576395
67,35.2955738,-89.9592036
68,35.2940219,-89.9608464
69,35.2938356,-89.9610436
70,35.2924739,-89.9624974
71,35.2913306,-89.9637024
72,35.2908858,-89.9641713
73,35.2904219,-89.9646602
74,35.2899612,-89.96516
75,35.2889075,-89.9662853
76,35.2888177,-89.9663812
77,35.2872283,-89.968071
78,35.2870407,-89.9682738
79,35.2862605,-89.969117
80,35.28563,-89.9697984
81,35.2853579,-89.9700779
82,35.2852167,-89.9702271
83,35.2848862,-89.9705763
84,35.2844063,-89.9710833
85,35.2834757,-89.9720664
86,35.281567,-89.9741065
87,35.280197,-89.9755707
88,35.2796351,-89.9761445
89,35.2790823,-89.9767275
90,35.2778702,-89.9780059
91,35.2760353,-89.9798996
92,35.2751682,-89.9807364
93,35.2749199,-89.9809502
94,35.2745638,-89.9812568
95,35.273974,-89.9817602
96,35.2736977,-89.981996
97,35.272829,-89.9827518
98,35.272408,-89.9831181
99,35.271876,-89.983581
100,35.2718222,-89.9836278
101,35.2712099,-89.9841483
102,35.271097,-89.9842398
103,35.270811,-89.9844857
104,35.2707631,-89.9845282
105,35.2706335,-89.9846384
106,35.2702741,-89.9849442
107,35.2701104,-89.985083
108,35.2700658,-89.9851209
109,35.2694935,-89.9856074
110,35.2691024,-89.9859399
111,35.2684356,-89.9865135
112,35.2677631,-89.987092
113,35.2672281,-89.9875522
114,35.2664463,-89.9882247
115,35.2659095,-89.9886865
116,35.2650818,-89.9894
117,35.2650072,-89.9894643
118,35.2648561,-89.9895903
119,35.2636636,-89.9905844
120,35.261985,-89.9920607
121,35.2600708,-89.9936896
122,35.2592298,-89.9943835
123,35.258,-89.9954928
124,35.2568469,-89.996481
125,35.2558481,-89.9973339
126,35.2553049,-89.9978113
127,35.2540652,-89.9988735
128,35.2524094,-90.0002361
129,35.2498773,-90.0024516
130,35.2478358,-90.0042057
131,35.2460221,-90.0057614
132,35.2451009,-90.0065518
133,35.2441777,-90.0073439
134,35.2428542,-90.0084799
135,35.2420966,-90.0091303
136,35.240536,-90.0104668
137,35.2404492,-90.0105411
138,35.2401406,-90.0108085
139,35.2400355,-90.0108996
140,35.2394087,-90.0114427
141,35.2377766,-90.012821
142,35.2371831,-90.0133195
143,35.2366967,-90.0137281
144,35.2362358,-90.0141153
145,35.2356476,-90.0146266
146,35.234233,-90.0158562
147,35.2324127,-90.0174146
148,35.2320872,-90.0176949
149,35.2314277,-90.0182629
150,35.2311561,-90.0184968
151,35.2292938,-90.0201005
152,35.2263505,-90.0225915
153,35.2256611,-90.0231153
154,35.2254685,-90.0231582
