,Latitude,Longitude
0,36.0327338,-89.4133387
1,36.032614,-89.413447
2,36.0324102,-89.4134747
3,36.0320458,-89.4135122
4,36.0316137,-89.4135297
5,36.0313016,-89.413533
6,36.0309396,-89.4135081
7,36.0309187,-89.4135067
8,36.0306849,-89.4134825
9,36.0305247,-89.4134574
10,36.0302125,-89.413403
11,36.0301292,-89.413378
12,36.0299926,-89.413337
13,36.0297379,-89.4132628
14,36.0288962,-89.4129517
15,36.02836,-89.4126928
16,36.0278094,-89.41236
17,36.0274829,-89.4121325
18,36.0271564,-89.4118759
19,36.0268824,-89.4116355
20,36.0262583,-89.411032
21,36.0234879,-89.4082672
22,36.0224718,-89.4072678
23,36.0215598,-89.4063592
24,36.0207761,-89.4055775
25,36.0201057,-89.4049111
26,36.0188356,-89.403651
27,36.0175751,-89.4024003
28,36.0169884,-89.4018943
29,36.0164538,-89.4015252
30,36.0159735,-89.4012411
31,36.0156693,-89.4010976
32,36.0153509,-89.4009541
33,36.0152182,-89.4009046
34,36.0150493,-89.4008415
35,36.0147195,-89.4007288
36,36.0144045,-89.400639
37,36.0135475,-89.4004244
38,36.0119105,-89.4000074
39,36.0095814,-89.3994266
40,36.008349,-89.3991208
41,36.0074269,-89.3989224
42,36.0070407,-89.3988607
43,36.0060942,-89.3987649
44,36.0058386,-89.3987266
45,36.0053938,-89.3986649
46,36.00488,-89.3985552
47,36.0043024,-89.3984127
48,36.0037306,-89.3982507
49,36.0032522,-89.3980801
50,36.0022041,-89.3976226
51,36.0014071,-89.3972998
52,35.9999084,-89.3968839
53,35.998767,-89.396613
54,35.9972383,-89.3962167
55,35.9967966,-89.3961248
56,35.9949376,-89.3956349
57,35.9939086,-89.3953835
58,35.9929972,-89.3951632
59,35.9914157,-89.3947474
60,35.9893013,-89.3942218
61,35.9879417,-89.3939134
62,35.9875396,-89.3938407
63,35.9870851,-89.3937779
64,35.9863476,-89.3937095
65,35.9846548,-89.3935725
66,35.983001,-89.3934369
67,35.9814381,-89.3932991
68,35.9791457,-89.3930859
69,35.9781364,-89.3929862
70,35.9763614,-89.392811
71,35.9762334,-89.3927984
72,35.9737539,-89.3924368
73,35.9724298,-89.3922383
74,35.97106,-89.3920479
75,35.9707149,-89.3920049
76,35.969471,-89.3919084
77,35.9687742,-89.3919191
78,35.9681099,-89.3919728
79,35.9672529,-89.3920733
80,35.9669572,-89.3921165
81,35.9662434,-89.3922665
82,35.9656916,-89.3924207
83,35.964802,-89.3927144
84,35.9640106,-89.3930262
85,35.9632602,-89.3933782
86,35.962466,-89.3938221
87,35.9615516,-89.3944002
88,35.9604068,-89.39526
89,35.9595047,-89.3960725
90,35.9585668,-89.3970327
91,35.9577153,-89.3979165
92,35.9555312,-89.4001937
93,35.9542245,-89.4015469
94,35.9527772,-89.4030758
95,35.952257,-89.403616
96,35.951612,-89.4042977
97,35.9504397,-89.4054931
98,35.9494235,-89.4065293
99,35.9474911,-89.4085569
100,35.9466421,-89.4094397
101,35.9454449,-89.4106924
102,35.9442309,-89.4119397
103,35.9436109,-89.4125107
104,35.9428618,-89.413151
105,35.9416895,-89.4139881
106,35.9413748,-89.4141907
107,35.9407849,-89.4145315
108,35.9399959,-89.4149291
109,35.9393123,-89.4152382
110,35.9387349,-89.4154572
111,35.9380391,-89.4156779
112,35.9372128,-89.4158942
113,35.9355304,-89.4161756
114,35.9337163,-89.4163897
115,35.9330607,-89.4164704
116,35.9328178,-89.4165083
117,35.9312864,-89.416711
118,35.930346,-89.4168243
119,35.9293274,-89.4169585
120,35.9269735,-89.4172307
121,35.9249884,-89.417478
122,35.9239711,-89.4176132
123,35.921434,-89.417922
124,35.920376,-89.4180528
125,35.9181023,-89.418334
126,35.9160894,-89.4185709
127,35.9109403,-89.4192038
128,35.9063185,-89.4197789
129,35.903973,-89.4200686
130,35.9035733,-89.4201062
131,35.902767,-89.4202156
132,35.8963772,-89.4210061
133,35.8941095,-89.421288
134,35.8926116,-89.4214701
135,35.8914191,-89.421588
136,35.8896997,-89.421825
137,35.8885626,-89.4219565
138,35.8882465,-89.4219979
139,35.8869503,-89.4221602
140,35.8854894,-89.4223431
141,35.8849125,-89.4224086
142,35.8835592,-89.4225829
143,35.8828267,-89.422681
144,35.882256,-89.4227717
145,35.8814705,-89.4229424
146,35.880485,-89.4231493
147,35.8798113,-89.4233273
148,35.879423,-89.4234398
149,35.8790023,-89.4236105
150,35.8784168,-89.4238574
151,35.877878,-89.4241494
152,35.8772546,-89.4245305
153,35.8766037,-89.4249821
154,35.8756031,-89.4257335
155,35.8751116,-89.4260885
156,35.8737022,-89.4271307
157,35.8722789,-89.4281732
158,35.8715168,-89.4287314
159,35.8705902,-89.4294196
160,35.8705786,-89.4294282
161,35.869416,-89.4302733
162,35.8681712,-89.4311843
163,35.8677453,-89.4314817
164,35.8673323,-89.431758
165,35.8667345,-89.4321255
166,35.866517,-89.4322518
167,35.8650127,-89.4331403
168,35.8640389,-89.4337096
169,35.863134,-89.4342127
170,35.8621019,-89.4348451
171,35.8607444,-89.435631
172,35.8589485,-89.4366917
173,35.8576103,-89.4374609
174,35.8564537,-89.4381436
