,Latitude,Longitude
0,46.4663122,-90.1945785
1,46.4661898,-90.194605
2,46.4660718,-90.1946574
3,46.4656251,-90.1948695
4,46.465359,-90.1949024
5,46.4649875,-90.1949251
6,46.4646734,-90.1949297
7,46.4639006,-90.1948498
8,46.4632714,-90.1948055
9,46.4629565,-90.1947834
10,46.4627753,-90.1947585
11,46.462512,-90.1947114
12,46.4623003,-90.1946339
13,46.4621382,-90.1945646
14,46.4621189,-90.1945567
15,46.4618864,-90.1944622
16,46.4616937,-90.194368
17,46.4614863,-90.1942404
18,46.4614553,-90.1942213
19,46.4613911,-90.1941813
20,46.4613084,-90.1941299
21,46.4609323,-90.1938074
22,46.4608239,-90.1937145
23,46.4606772,-90.1935574
24,46.4605343,-90.1933949
25,46.4603839,-90.1932071
26,46.4602298,-90.1930032
27,46.4601024,-90.1928258
28,46.4600757,-90.1927886
29,46.4599438,-90.192574
30,46.4599236,-90.1925389
31,46.45982,-90.1923585
32,46.4596999,-90.192143
33,46.4595152,-90.1917472
34,46.4591696,-90.1909795
35,46.4582924,-90.1891202
36,46.458254,-90.1890296
37,46.4581518,-90.1887885
38,46.4580263,-90.1884447
39,46.4578968,-90.1880142
40,46.4578571,-90.1878419
41,46.4577761,-90.1874896
42,46.457713,-90.1870869
43,46.4576175,-90.1864775
44,46.4575132,-90.1858214
45,46.4575077,-90.1857865
46,46.4572095,-90.1838223
47,46.4571935,-90.183737
48,46.4571617,-90.1835853
49,46.4571188,-90.1834256
50,46.4570827,-90.1833058
51,46.4570428,-90.1831998
52,46.4569693,-90.1830371
53,46.4568972,-90.1828894
54,46.4568493,-90.182807
55,46.4568074,-90.1827375
56,46.4567384,-90.182638
57,46.4566635,-90.1825386
58,46.4566181,-90.1824923
59,46.4565262,-90.1824018
60,46.4564195,-90.182307
61,46.4562339,-90.1821692
62,46.4561319,-90.1821245
63,46.4560825,-90.1821029
64,46.4560033,-90.1820682
65,46.4557916,-90.1820255
66,46.4551345,-90.1820002
67,46.4546131,-90.1819811
68,46.4541241,-90.181963
69,46.4536311,-90.1819498
70,46.4531353,-90.1819365
71,46.4526284,-90.181916
72,46.4521349,-90.1818961
73,46.4515702,-90.1818733
74,46.4515052,-90.1818707
75,46.4514415,-90.1818681
76,46.4510771,-90.1818534
77,46.4503317,-90.1818233
78,46.4500046,-90.1818186
79,46.4499505,-90.1818178
80,46.4498656,-90.1818166
81,46.4497656,-90.181813
82,46.4494273,-90.1818008
83,46.4489853,-90.1817849
84,46.448554,-90.1817703
85,46.4481015,-90.1817507
86,46.4478311,-90.1817546
87,46.4475341,-90.1817852
88,46.4472344,-90.1818485
89,46.4471505,-90.1818809
90,46.4469689,-90.1819511
91,46.4469558,-90.1819579
92,46.4466919,-90.1820949
93,46.4461894,-90.1824017
94,46.4458283,-90.1825854
95,46.4455888,-90.1826711
96,46.4453709,-90.1827181
97,46.4451066,-90.1827666
98,46.4447142,-90.1827814
99,46.4445661,-90.1827916
100,46.44435,-90.1827911
101,46.443879,-90.1827898
102,46.4434028,-90.182779
103,46.4430515,-90.1827705
104,46.4429387,-90.1827678
105,46.4424946,-90.182757
106,46.441878,-90.1827421
107,46.441438,-90.1827314
108,46.4399248,-90.1826948
109,46.4391954,-90.1826772
110,46.4386639,-90.1826722
111,46.4382186,-90.1826235
112,46.4377781,-90.1825195
113,46.4372995,-90.1823475
114,46.43675,-90.1820639
115,46.435522,-90.18143
116,46.434782,-90.18102
117,46.434517,-90.180901
118,46.432186,-90.179816
119,46.431902,-90.179692
120,46.431044,-90.179316
121,46.4303765,-90.1791603
122,46.4302289,-90.1791614
123,46.4293416,-90.1792664
124,46.4283441,-90.1795434
125,46.4281426,-90.1795982
126,46.4276475,-90.1797497
127,46.4257195,-90.1802888
128,46.4254571,-90.1803622
129,46.4237322,-90.1808602
130,46.4205132,-90.1817941
131,46.417334,-90.1826829
132,46.4169159,-90.1827706
133,46.4164936,-90.1828216
134,46.4160536,-90.1828358
135,46.4156055,-90.1828012
136,46.4148891,-90.1827045
137,46.4141178,-90.1825126
138,46.4132659,-90.1822676
139,46.4103587,-90.1814285
140,46.4094634,-90.1811934
141,46.4090879,-90.1811185
142,46.408619,-90.1810803
143,46.4079323,-90.1810654
144,46.4065938,-90.1810815
145,46.4045827,-90.1810528
146,46.4040537,-90.1809884
147,46.4036949,-90.1809079
148,46.4032954,-90.1807899
149,46.4015068,-90.1801167
150,46.3987726,-90.1791079
151,46.3982069,-90.1788829
152,46.3977963,-90.1786951
153,46.3972154,-90.1783733
154,46.3946331,-90.1768283
155,46.3944888,-90.1767425
156,46.3937821,-90.1763133
157,46.3934232,-90.1760666
158,46.3930643,-90.1757769
159,46.3928275,-90.1755516
160,46.3925167,-90.1751868
161,46.3921504,-90.1747362
162,46.3897343,-90.1714102
163,46.3881766,-90.1692698
164,46.3870517,-90.167741
165,46.3862489,-90.1666347
166,46.3860785,-90.1663999
167,46.3858215,-90.166025
168,46.385492,-90.1655442
169,46.3846816,-90.164211
170,46.3838941,-90.1629063
171,46.3829469,-90.1613134
172,46.3807978,-90.1576992
173,46.3800972,-90.1565586
174,46.3797574,-90.1560823
175,46.3794456,-90.1557423
176,46.3791299,-90.155464
177,46.3787032,-90.1551802
178,46.3785145,-90.1550783
179,46.3783165,-90.1549871
180,46.3781222,-90.15492
181,46.3778946,-90.1548583
182,46.377654,-90.1548127
183,46.377432,-90.1547886
184,46.374947,-90.154781
185,46.370089,-90.1549419
186,46.3628762,-90.1546501
187,46.359587,-90.154461
188,46.358815,-90.154442
189,46.3556149,-90.1543262
190,46.3538213,-90.1542685
191,46.3485006,-90.1542247
192,46.344467,-90.154155
193,46.3417696,-90.1541915
194,46.336097,-90.1544382
195,46.3267978,-90.1548457
196,46.3262828,-90.1548686
197,46.3258423,-90.1548882
198,46.3217344,-90.1550709
199,46.3202088,-90.1551272
200,46.312757,-90.155165
201,46.308781,-90.155135
202,46.3043738,-90.1550143
203,46.2982587,-90.1548523
204,46.2975658,-90.1548803
205,46.2878588,-90.1556379
206,46.287655,-90.155654
207,46.2875647,-90.1556586
208,46.2868297,-90.155696
209,46.286082,-90.1557091
210,46.285663,-90.1556683
211,46.285364,-90.15561
212,46.2851272,-90.1555575
213,46.2845394,-90.1554295
214,46.2832538,-90.1551261
215,46.2818356,-90.1547705
216,46.2817107,-90.1547472
217,46.280365,-90.154444
218,46.2792973,-90.1541817
219,46.2781812,-90.1539252
220,46.2759852,-90.1534063
221,46.2705675,-90.1520963
222,46.269987,-90.151963
223,46.2693501,-90.1518335
224,46.268992,-90.1517473
225,46.2686526,-90.1516612
226,46.267929,-90.1514909
227,46.2675371,-90.151393
228,46.2669356,-90.1512438
229,46.2666507,-90.1511715
230,46.2664451,-90.1511234
231,46.2651037,-90.1508145
232,46.2647677,-90.1507371
233,46.2642793,-90.1506247
234,46.2641705,-90.1505996
235,46.262162,-90.150137
236,46.260254,-90.149697
237,46.2569137,-90.1488694
238,46.249948,-90.147263
239,46.2452259,-90.1461374
240,46.2448493,-90.1460482
241,46.2442706,-90.1459087
242,46.2428534,-90.1455761
243,46.2420372,-90.1454045
244,46.2413693,-90.1453294
245,46.2410206,-90.1452972
246,46.2402414,-90.1452757
247,46.235868,-90.145164
248,46.2301093,-90.1450914
249,46.2200957,-90.1449031
250,46.2151889,-90.1448315
251,46.2094959,-90.1447346
252,46.2054628,-90.1446561
253,46.204425,-90.1446259
254,46.2040529,-90.1445958
255,46.203646,-90.1445342
256,46.2032285,-90.1444213
257,46.2027929,-90.1442859
258,46.192618,-90.140988
259,46.1921137,-90.1407936
260,46.191678,-90.1405443
261,46.1912764,-90.1402542
262,46.190957,-90.1399831
263,46.190538,-90.13958
264,46.1902273,-90.1392406
265,46.189887,-90.1387857
266,46.1895979,-90.1383733
267,46.1894002,-90.1380532
268,46.1891063,-90.1375378
269,46.1888521,-90.1370271
270,46.188545,-90.1362061
271,46.1883069,-90.135351
272,46.1878562,-90.1335755
273,46.187651,-90.1328102
274,46.1874537,-90.1321463
275,46.1869713,-90.1301712
276,46.1856895,-90.1252189
277,46.1833188,-90.1162547
278,46.182303,-90.1123221
279,46.1817134,-90.1100484
280,46.1815506,-90.1094204
281,46.1814582,-90.1090707
282,46.1811448,-90.107908
283,46.1809784,-90.107366
284,46.1800199,-90.1047807
285,46.1799127,-90.1044772
286,46.1795779,-90.103571
287,46.178599,-90.1009472
288,46.1779028,-90.0990891
289,46.1775385,-90.0981227
290,46.1773596,-90.0976302
291,46.177226,-90.097231
292,46.1765699,-90.0950493
293,46.1756583,-90.091873
294,46.1755749,-90.0916088
295,46.1755458,-90.0915083
296,46.1750961,-90.0899572
297,46.1747437,-90.0889009
298,46.1740987,-90.0871148
299,46.1731654,-90.0844884
300,46.1726757,-90.0831105
301,46.1723528,-90.0822091
302,46.1720099,-90.0811557
303,46.1718565,-90.0806777
304,46.1717233,-90.0801413
305,46.1716466,-90.0796225
306,46.1715982,-90.0791037
307,46.1715497,-90.0781126
308,46.1714771,-90.0767951
309,46.1714582,-90.0764449
310,46.1714434,-90.0762227
311,46.1714309,-90.0760852
312,46.1714019,-90.0757914
