,Latitude,Longitude
0,45.8683887,-89.7094841
1,45.8684649,-89.7094614
2,45.8685204,-89.709442
3,45.8685504,-89.709429
4,45.8685834,-89.7094139
5,45.8686037,-89.709401
6,45.8686565,-89.7093578
7,45.8687338,-89.7092837
8,45.86879,-89.7092225
9,45.8688176,-89.709188
10,45.8688406,-89.7091513
11,45.8688957,-89.7090434
12,45.86891,-89.709006
13,45.868943,-89.708925
14,45.8689614,-89.7088745
15,45.8689736,-89.7088412
16,45.869032,-89.708681
17,45.869096,-89.708554
18,45.869175,-89.708446
19,45.8692009,-89.7084185
20,45.869267,-89.708358
21,45.869346,-89.7083177
22,45.8694284,-89.7082783
23,45.8695237,-89.7082607
24,45.8696244,-89.708264
25,45.8697939,-89.7082978
26,45.8698727,-89.7083188
27,45.8699316,-89.708331
28,45.870636,-89.7084799
29,45.8707146,-89.7084975
30,45.8707802,-89.7085091
31,45.8708808,-89.708522
32,45.8709701,-89.7085348
33,45.8710265,-89.7085372
34,45.8710814,-89.7085357
35,45.871119,-89.7085322
36,45.8711512,-89.7085271
37,45.8711831,-89.7085189
38,45.871225,-89.7085044
39,45.8712763,-89.7084823
40,45.8713256,-89.7084544
41,45.8713648,-89.708423
42,45.8713977,-89.7083956
43,45.8714427,-89.7083415
44,45.87151,-89.708234
45,45.871531,-89.7081958
46,45.871571,-89.708123
47,45.871708,-89.7077878
48,45.871732,-89.707729
49,45.871751,-89.70769
50,45.871808,-89.707595
51,45.871883,-89.707503
52,45.8719047,-89.7074785
53,45.871957,-89.707436
54,45.872047,-89.707379
55,45.872085,-89.707363
56,45.872138,-89.707344
57,45.872185,-89.707332
58,45.87235,-89.707287
59,45.8726715,-89.7072055
60,45.8727746,-89.7072002
61,45.8728515,-89.7072485
