,Latitude,Longitude
0,45.8912789,-89.7007841
1,45.8914124,-89.7006874
2,45.8916666,-89.700515
3,45.8924459,-89.70004
4,45.8926765,-89.6998922
5,45.8930216,-89.6996711
6,45.8931683,-89.6995771
7,45.893322,-89.6994786
8,45.8934682,-89.699388
9,45.8939271,-89.6991102
10,45.894015,-89.6990911
11,45.8940839,-89.699072
12,45.8942212,-89.6990154
13,45.8942878,-89.6989822
14,45.8943367,-89.6989548
15,45.8943897,-89.6989197
16,45.8945091,-89.6988404
17,45.8946183,-89.6987795
18,45.8947105,-89.6987332
19,45.8950352,-89.698569
20,45.8950958,-89.6985426
21,45.8951361,-89.698511
22,45.895171,-89.6984741
23,45.8952211,-89.6984061
24,45.8955289,-89.6982763
25,45.8955976,-89.6982469
