,Latitude,Longitude
0,42.509342,-89.031825
1,42.5093788,-89.0318296
2,42.5100034,-89.0319077
3,42.5110414,-89.0320352
4,42.5112194,-89.0320082
5,42.5113875,-89.0320082
6,42.5115981,-89.0320227
7,42.5124652,-89.0321427
8,42.5131607,-89.0322459
9,42.5133305,-89.0322671
10,42.5134223,-89.0322785
11,42.5138349,-89.0323299
12,42.5145745,-89.0324188
13,42.5151114,-89.0324823
14,42.5156911,-89.0325508
15,42.5161653,-89.0326156
16,42.516813,-89.0326972
17,42.5172394,-89.0327548
18,42.5173686,-89.0327813
19,42.5177755,-89.0328749
20,42.51791,-89.0329133
21,42.5181117,-89.0329853
22,42.518409,-89.0330933
23,42.5185032,-89.0331335
24,42.5186191,-89.0331785
25,42.5191539,-89.0334366
26,42.5196334,-89.033646
27,42.5199289,-89.0337751
28,42.5202492,-89.0339072
29,42.5205517,-89.0340248
30,42.5209003,-89.0341424
31,42.5212842,-89.0342552
32,42.521932,-89.03443
33,42.522363,-89.034513
34,42.5223832,-89.0345171
35,42.5225018,-89.0345411
36,42.5227479,-89.0345824
37,42.5229971,-89.0346188
38,42.5230986,-89.0346375
39,42.5231952,-89.0346574
40,42.5233687,-89.0346918
41,42.5235124,-89.034725
42,42.5236011,-89.034752
43,42.523731,-89.0348045
44,42.5236148,-89.0348267
45,42.5235323,-89.0348388
46,42.5234582,-89.0348439
47,42.523386,-89.0348439
48,42.523194,-89.0348286
49,42.523121,-89.0348189
50,42.5229993,-89.0347996
51,42.5228852,-89.0347802
52,42.5224467,-89.0347066
53,42.5223122,-89.034685
54,42.521838,-89.0345625
55,42.5213143,-89.0344185
56,42.521079,-89.0343465
57,42.5207165,-89.0342155
58,42.5198539,-89.0338832
59,42.5196038,-89.0337858
60,42.5195866,-89.0337791
61,42.5192485,-89.0336328
62,42.5189053,-89.0334644
63,42.5185977,-89.0333135
64,42.5185295,-89.03328
65,42.5184787,-89.033258
66,42.5184021,-89.0332248
67,42.5182234,-89.0331552
68,42.5179845,-89.0330856
69,42.5178288,-89.0330423
70,42.5173913,-89.0329278
71,42.5171165,-89.0328688
72,42.5169544,-89.0328446
73,42.5162407,-89.0327508
74,42.5156555,-89.032681
75,42.5151035,-89.0326161
76,42.5148113,-89.0325818
77,42.5142439,-89.0325147
78,42.5138226,-89.0324629
79,42.5134158,-89.0324128
80,42.5133205,-89.0324011
81,42.513111,-89.0323753
82,42.5123518,-89.0322733
83,42.5112347,-89.0321285
84,42.5111773,-89.0321097
85,42.5110414,-89.0320352
86,42.5112194,-89.0320082
87,42.5113875,-89.0320082
88,42.5115981,-89.0320227
89,42.5124652,-89.0321427
90,42.5131607,-89.0322459
91,42.5133305,-89.0322671
92,42.5134223,-89.0322785
93,42.5138349,-89.0323299
94,42.5145745,-89.0324188
95,42.5151114,-89.0324823
96,42.5156911,-89.0325508
97,42.5161653,-89.0326156
98,42.516813,-89.0326972
99,42.5172394,-89.0327548
100,42.5173686,-89.0327813
101,42.5177755,-89.0328749
102,42.51791,-89.0329133
103,42.5181117,-89.0329853
104,42.518409,-89.0330933
105,42.5185032,-89.0331335
106,42.5186191,-89.0331785
107,42.5191539,-89.0334366
108,42.5196334,-89.033646
109,42.5199289,-89.0337751
110,42.5202492,-89.0339072
111,42.5205517,-89.0340248
112,42.5209003,-89.0341424
113,42.5212842,-89.0342552
114,42.521932,-89.03443
115,42.522363,-89.034513
116,42.5223832,-89.0345171
117,42.5225018,-89.0345411
118,42.5227479,-89.0345824
119,42.5229971,-89.0346188
120,42.5230986,-89.0346375
121,42.5231952,-89.0346574
122,42.5233687,-89.0346918
123,42.5235124,-89.034725
124,42.5236011,-89.034752
125,42.523731,-89.0348045
126,42.5237607,-89.0348084
127,42.525127,-89.0349873
128,42.525209,-89.034996
129,42.5256494,-89.0350452
130,42.5278707,-89.0352759
131,42.5283684,-89.0353273
132,42.5293305,-89.0354246
133,42.5296949,-89.0354633
134,42.5299336,-89.0354874
135,42.5301682,-89.035511
136,42.530447,-89.0355391
137,42.530772,-89.0355856
138,42.5308805,-89.0356055
139,42.5310793,-89.0356419
140,42.5313867,-89.0356982
141,42.5315742,-89.0357301
142,42.5317737,-89.0357539
143,42.5323819,-89.0358143
144,42.53319,-89.0358838
145,42.5332845,-89.0358849
146,42.5333343,-89.0358769
147,42.5334094,-89.0358516
148,42.5338805,-89.0358965
149,42.5344266,-89.035964
150,42.5352015,-89.0360731
151,42.5360019,-89.0361674
152,42.5362042,-89.0361913
153,42.537669,-89.036364
154,42.5376861,-89.0363664
155,42.5378362,-89.0363875
156,42.5386785,-89.0365061
157,42.539074,-89.0365996
158,42.5392571,-89.0366467
159,42.5394284,-89.0366835
160,42.5401722,-89.0368165
161,42.5402745,-89.0368391
162,42.540493,-89.036864
163,42.5407084,-89.0368932
164,42.541193,-89.036959
165,42.5413905,-89.0369878
166,42.541543,-89.03701
167,42.5416202,-89.0370286
168,42.5424064,-89.0372181
169,42.542547,-89.037252
170,42.5427837,-89.0373089
171,42.5430075,-89.0373627
172,42.543666,-89.037521
173,42.543839,-89.037558
174,42.5448794,-89.0377827
175,42.5464361,-89.0381189
176,42.5464768,-89.0381277
177,42.546784,-89.038194
178,42.5469911,-89.0382322
179,42.5478318,-89.0383872
180,42.548064,-89.03843
181,42.548246,-89.038463
182,42.548887,-89.038558
183,42.5489434,-89.0385664
184,42.5499815,-89.038721
185,42.5510236,-89.0388761
186,42.5512325,-89.0389072
187,42.551298,-89.038917
188,42.552903,-89.039127
189,42.553708,-89.039221
190,42.5546531,-89.0392765
191,42.5550613,-89.0392517
192,42.5554868,-89.0391997
193,42.5559347,-89.0391273
194,42.5564225,-89.0390103
195,42.556886,-89.0388599
196,42.557042,-89.0388093
197,42.5570905,-89.0387936
198,42.5571873,-89.0387542
199,42.5575868,-89.0386071
200,42.5581621,-89.0383854
201,42.559316,-89.037936
202,42.561049,-89.037346
203,42.561961,-89.037044
204,42.5627875,-89.0367908
205,42.5631553,-89.0366533
206,42.5635067,-89.0365148
207,42.5638843,-89.0363471
208,42.5642257,-89.0361724
209,42.5648126,-89.0358398
210,42.5650519,-89.0356986
211,42.5667878,-89.0346629
212,42.56751,-89.034232
213,42.5680684,-89.0338758
214,42.568656,-89.033501
215,42.5701857,-89.0326251
216,42.571247,-89.031782
217,42.5720145,-89.0311647
218,42.5729006,-89.030452
219,42.5737699,-89.029675
220,42.573865,-89.02959
221,42.575116,-89.028336
222,42.5756904,-89.02776
223,42.5792586,-89.0234112
224,42.57985,-89.022679
225,42.581156,-89.021513
226,42.582515,-89.020655
227,42.5831603,-89.020351
228,42.5832858,-89.0203774
229,42.5835035,-89.0202863
230,42.5837294,-89.0202036
231,42.5839461,-89.0201378
232,42.5841629,-89.020075
233,42.5843962,-89.0200075
234,42.5847283,-89.019933
235,42.585034,-89.0198724
236,42.5852516,-89.0198332
237,42.5855836,-89.0198019
238,42.5856818,-89.0197926
239,42.5865783,-89.0197799
240,42.5869223,-89.0197297
241,42.586586,-89.0196456
242,42.5856808,-89.0196225
243,42.5852464,-89.0196752
244,42.5850264,-89.019707
245,42.5847035,-89.0197665
246,42.5843902,-89.0198298
247,42.5841276,-89.0199012
248,42.5839263,-89.0199626
249,42.5837074,-89.020032
250,42.5834787,-89.0201137
251,42.5832609,-89.0202069
252,42.5831603,-89.020351
