,Latitude,Longitude
0,37.55516,-77.94103
1,37.5562,-77.94095
2,37.55717,-77.9409
3,37.55804,-77.94082
4,37.55882,-77.94071
5,37.55975,-77.9406
6,37.56185,-77.9404
7,37.56258,-77.94037
8,37.56335,-77.94035
9,37.56401,-77.94036
10,37.56477,-77.94043
11,37.56607,-77.94063
12,37.56708,-77.94082
13,37.568,-77.94099
14,37.5685,-77.94105
15,37.56898,-77.94106
16,37.56953,-77.941
17,37.57006,-77.94089
18,37.57297,-77.94024
19,37.57413,-77.93997
20,37.57485,-77.93975
21,37.57577,-77.93942
22,37.5766,-77.93904
23,37.57742,-77.93861
24,37.58075,-77.93673
25,37.58843,-77.93271
26,37.58951,-77.93218
27,37.59027,-77.93188
28,37.59111,-77.9316
29,37.59199,-77.93134
30,37.59326,-77.93093
31,37.59621,-77.93007
32,37.5968,-77.92985
33,37.59731,-77.92961
34,37.59788,-77.92928
35,37.59836,-77.92889
36,37.59879,-77.92844
37,37.59913,-77.92795
38,37.59938,-77.92753
39,37.59957,-77.92705
40,37.59973,-77.9265
41,37.60017,-77.92491
42,37.60037,-77.92439
43,37.60062,-77.92396
44,37.60092,-77.92354
45,37.60146,-77.9229
46,37.60191,-77.92241
47,37.60408,-77.92023
48,37.60443,-77.91981
49,37.6047,-77.91941
50,37.60582,-77.91734
51,37.60638,-77.91631
52,37.60672,-77.91577
53,37.60722,-77.91507
54,37.60809,-77.91394
55,37.6089,-77.91295
56,37.61161,-77.9097
57,37.61188,-77.90932
58,37.61218,-77.90882
59,37.61252,-77.90813
60,37.61279,-77.90746
61,37.61325,-77.90616
62,37.61354,-77.90551
63,37.61385,-77.90503
64,37.61422,-77.90458
65,37.6146,-77.90425
66,37.61499,-77.90396
67,37.61549,-77.90374
68,37.616,-77.90362
69,37.61636,-77.90358
70,37.61674,-77.90359
71,37.61715,-77.90366
72,37.61757,-77.90376
73,37.61798,-77.90377
74,37.6184,-77.90373
75,37.61883,-77.90359
76,37.62274,-77.9023
