,Latitude,Longitude
0,46.7583423,-92.1109423
1,46.7578518,-92.1098265
2,46.7583423,-92.1109423
3,46.7586917,-92.1115994
4,46.7590009,-92.1121304
5,46.7594838,-92.1128901
6,46.7600218,-92.113608
7,46.7604573,-92.114123
8,46.7618123,-92.1156683
9,46.7637532,-92.1178218
10,46.7645322,-92.1187552
11,46.7647474,-92.1189772
12,46.7650792,-92.1193018
13,46.7654481,-92.1197588
14,46.7657145,-92.1201873
15,46.765854,-92.1205735
16,46.7659156,-92.1208513
17,46.7659555,-92.1212296
18,46.7659464,-92.1216105
19,46.765912,-92.1220628
20,46.7657888,-92.122695
21,46.7656493,-92.1232876
22,46.7655369,-92.1236976
23,46.7654989,-92.123896
24,46.7654826,-92.1240918
25,46.7655007,-92.1243774
26,46.7655859,-92.124679
27,46.7657036,-92.1249673
28,46.7659265,-92.1253403
29,46.7661523,-92.1257035
30,46.7664446,-92.1260284
31,46.7665173,-92.1261012
32,46.7666384,-92.126201
33,46.7667324,-92.1262688
34,46.7668045,-92.1263099
35,46.7668767,-92.1263462
36,46.7669926,-92.1263847
37,46.7671221,-92.1264059
38,46.7673089,-92.1264261
39,46.7675265,-92.1264166
40,46.7676185,-92.1263933
41,46.7677072,-92.1263601
42,46.7678355,-92.1263012
43,46.7679675,-92.1262193
44,46.76815,-92.1260741
45,46.7683925,-92.1257844
46,46.7686865,-92.1253874
47,46.7688775,-92.1251406
48,46.7690539,-92.124969
49,46.7691262,-92.1249083
50,46.7692033,-92.1248518
51,46.7692861,-92.1248021
52,46.76936,-92.1247653
53,46.7694589,-92.1247239
54,46.7695406,-92.1246955
55,46.7696058,-92.1246784
56,46.7696704,-92.1246699
57,46.769738,-92.1246685
58,46.7698434,-92.1246712
59,46.7698987,-92.1246773
60,46.7699532,-92.1246873
61,46.7700276,-92.1247088
62,46.7701196,-92.1247465
63,46.770208,-92.1247895
64,46.77028,-92.1248327
65,46.7703271,-92.1248625
66,46.7703815,-92.1249054
67,46.7704452,-92.1249622
68,46.7704968,-92.1250126
69,46.7705566,-92.1250819
70,46.7706718,-92.12524
71,46.7707312,-92.125331
72,46.7707703,-92.1253995
73,46.7708149,-92.125493
74,46.7708539,-92.125582
75,46.7708893,-92.125671
76,46.7709197,-92.1257587
77,46.7709421,-92.1258345
78,46.7709654,-92.1259253
79,46.7709894,-92.1260327
80,46.7710089,-92.1261349
81,46.7710271,-92.1262548
82,46.7710409,-92.1263657
83,46.7710523,-92.1264768
84,46.7710625,-92.1266117
85,46.7710718,-92.1267597
86,46.7710795,-92.1269556
87,46.7710866,-92.1272336
88,46.7711385,-92.1295607
89,46.7711427,-92.1296611
90,46.771149,-92.1297608
91,46.7711558,-92.129841
92,46.7711677,-92.1299485
93,46.7711842,-92.1300669
94,46.7712041,-92.1301827
95,46.7712241,-92.1302797
96,46.7712548,-92.1303933
97,46.7712983,-92.1305464
98,46.7714839,-92.13105
99,46.7717852,-92.1318847
100,46.7718799,-92.1323361
101,46.7719271,-92.1327399
102,46.7719424,-92.1330799
103,46.7719408,-92.1333744
104,46.7719128,-92.1337106
105,46.7718656,-92.134048
106,46.7717707,-92.1345396
107,46.7716988,-92.1348152
108,46.7715163,-92.1354803
109,46.7714646,-92.1357042
110,46.7714328,-92.1359946
111,46.7714292,-92.1364003
112,46.7714288,-92.13645
113,46.7714762,-92.1368603
114,46.7717017,-92.137521
115,46.771994,-92.1379896
116,46.7720496,-92.1380738
117,46.7723517,-92.1385376
118,46.7726799,-92.1391139
119,46.7729944,-92.1396661
120,46.7731588,-92.1399353
121,46.7735004,-92.1404946
122,46.7741921,-92.1419914
123,46.7743156,-92.1422374
124,46.7744193,-92.1424198
125,46.7745284,-92.1425736
126,46.7746449,-92.1427058
127,46.7746678,-92.1427272
128,46.7747423,-92.1427967
129,46.7747506,-92.1428045
130,46.7748865,-92.1429126
131,46.7750062,-92.1429895
132,46.7751629,-92.1430636
133,46.7752577,-92.1430902
134,46.7753487,-92.1431091
135,46.7754617,-92.1431228
136,46.7755844,-92.143133
137,46.7757172,-92.1431182
138,46.77585,-92.1430851
139,46.7759526,-92.1430486
140,46.7760752,-92.1429928
141,46.7761631,-92.1429473
142,46.7762374,-92.1429046
143,46.7763253,-92.1428509
144,46.7764243,-92.1427861
145,46.7765619,-92.1426987
