,Latitude,Longitude
0,43.817972,-91.2490671
1,43.8185733,-91.2490936
2,43.8190476,-91.2490959
3,43.8193002,-91.2490971
4,43.820167,-91.2491298
5,43.8203584,-91.2491449
6,43.8203877,-91.2491473
7,43.8205597,-91.2491635
8,43.8210567,-91.249185
9,43.8212012,-91.2491913
10,43.8219124,-91.2492163
11,43.8231237,-91.249259
12,43.8240876,-91.2492929
13,43.824216,-91.2492974
14,43.8250479,-91.2493267
15,43.8253178,-91.2493352
16,43.8256153,-91.2493445
17,43.8257048,-91.2493473
18,43.8257673,-91.2493493
19,43.8259472,-91.2493823
20,43.8262956,-91.2494461
21,43.8271641,-91.2494211
22,43.8272377,-91.2494232
23,43.8278862,-91.2494412
24,43.8284737,-91.2494578
25,43.8290381,-91.2494717
26,43.8293383,-91.2495135
27,43.8296131,-91.2495141
28,43.8298682,-91.2495329
29,43.8301226,-91.2495804
30,43.8302553,-91.2496255
31,43.8306351,-91.2496444
32,43.8317001,-91.2496431
33,43.8321328,-91.2496448
34,43.8329794,-91.2496608
35,43.8331765,-91.2496463
36,43.8333669,-91.2496234
37,43.833513,-91.2495901
38,43.8337262,-91.2495638
39,43.8338613,-91.2495489
40,43.8339995,-91.2495493
41,43.8341475,-91.2495529
42,43.8342806,-91.2495562
43,43.8346386,-91.2495601
44,43.8348521,-91.2495612
45,43.8351198,-91.2495626
46,43.8352663,-91.2495634
47,43.8357636,-91.249566
48,43.8361319,-91.249565
49,43.8362635,-91.2495646
50,43.836888,-91.2495628
51,43.8370982,-91.249565
52,43.8379457,-91.2495738
53,43.8380024,-91.2495744
54,43.8388166,-91.2495712
55,43.83892,-91.2495654
56,43.8390673,-91.2495485
57,43.8391467,-91.2495305
58,43.8393052,-91.2494917
59,43.8394101,-91.2494497
60,43.8395551,-91.2493809
61,43.8396867,-91.249301
62,43.8398556,-91.2491753
63,43.8402598,-91.2488373
64,43.840556,-91.2485876
65,43.8406686,-91.2484998
66,43.8407503,-91.2484444
67,43.8408375,-91.2483946
68,43.8409505,-91.2483493
69,43.8411192,-91.2483101
70,43.8413974,-91.248305
71,43.8415489,-91.2483042
72,43.8422386,-91.2483006
73,43.8427156,-91.248212
74,43.8430728,-91.2482155
75,43.8431519,-91.2482163
76,43.8434183,-91.2482192
77,43.8439937,-91.2482084
78,43.8440754,-91.2482062
79,43.8442217,-91.2482035
80,43.8443796,-91.2482024
81,43.8443905,-91.2482023
82,43.8447313,-91.2481964
83,43.8455362,-91.2482243
84,43.8462368,-91.2482627
85,43.846416,-91.2482681
86,43.8465037,-91.2482725
87,43.8471607,-91.2482722
88,43.8477423,-91.248272
89,43.8480254,-91.2482719
90,43.8494279,-91.2482738
91,43.8495011,-91.2482747
92,43.849787,-91.2482782
93,43.8498093,-91.2482785
94,43.8498943,-91.2482798
95,43.8500182,-91.2482816
96,43.8503085,-91.248286
97,43.8503848,-91.2482871
98,43.850727,-91.2482921
99,43.850857,-91.2482941
100,43.8510422,-91.2482866
101,43.8513302,-91.2482653
102,43.8514041,-91.2482598
103,43.8515478,-91.2482932
104,43.8515658,-91.2482974
105,43.8519991,-91.2482136
106,43.8521387,-91.2481866
107,43.8527751,-91.2479666
108,43.8536401,-91.247583
109,43.8542163,-91.2471926
110,43.8545966,-91.2468834
111,43.8549344,-91.2465528
112,43.8554503,-91.2460208
113,43.8556336,-91.2458212
114,43.8560423,-91.2453778
115,43.8567576,-91.2447489
116,43.8568834,-91.2446271
117,43.8583462,-91.2431531
118,43.8588419,-91.2426324
119,43.859233,-91.2422374
120,43.859386,-91.2420828
121,43.8594865,-91.241982
122,43.8608042,-91.24066
123,43.8614096,-91.2400632
124,43.863085,-91.2384467
125,43.8633092,-91.238205
126,43.8633675,-91.2381369
127,43.8644513,-91.2370975
128,43.865432,-91.236115
129,43.8661316,-91.2354372
130,43.8660333,-91.2352083
131,43.8659549,-91.2350108
132,43.865888,-91.2347627
133,43.8658322,-91.2343918
134,43.8658169,-91.2341236
135,43.8658118,-91.2336453
136,43.8658171,-91.2333331
137,43.8658366,-91.2330394
138,43.8658797,-91.2328179
139,43.8659882,-91.2323571
140,43.8660924,-91.2319408
141,43.8661537,-91.2317021
142,43.8662212,-91.2313612
143,43.8664131,-91.230535
144,43.8664281,-91.2304953
145,43.8668514,-91.2292429
146,43.8687924,-91.223514
147,43.8689716,-91.223004
148,43.8691728,-91.2224545
149,43.8706983,-91.2184483
150,43.8708684,-91.2180299
151,43.8723566,-91.2141683
152,43.8729939,-91.213207
153,43.8735139,-91.212792
154,43.8743984,-91.2124346
155,43.8748824,-91.2122188
156,43.8753363,-91.2116978
157,43.8758133,-91.2108916
158,43.8761469,-91.2102581
159,43.8762843,-91.2101111
160,43.8764622,-91.2099931
161,43.8773334,-91.2099481
162,43.8786579,-91.2100696
163,43.8797096,-91.2102198
164,43.8805139,-91.2104344
165,43.8813181,-91.2106704
166,43.8817821,-91.2107777
167,43.8827181,-91.2110602
168,43.8829935,-91.2111433
169,43.8837653,-91.2114156
170,43.8845,-91.2117007
171,43.8851109,-91.211951
172,43.8855229,-91.2121523
173,43.8861205,-91.2124331
174,43.8864528,-91.2125977
175,43.8869919,-91.2128738
176,43.8872898,-91.213033
177,43.888013,-91.2134169
178,43.8886359,-91.2137027
179,43.8894157,-91.2140889
180,43.890231,-91.2144996
181,43.8909075,-91.2148513
182,43.8916707,-91.2152337
183,43.8920469,-91.2154317
184,43.892391,-91.2156436
185,43.8927261,-91.2158298
186,43.8929426,-91.2159647
187,43.8931123,-91.2160713
188,43.8932807,-91.2161832
189,43.8934776,-91.2163107
190,43.8936732,-91.216447
191,43.8938396,-91.2165598
192,43.8940111,-91.2166833
193,43.8941728,-91.2168057
194,43.8943307,-91.2169263
195,43.8947662,-91.2172728
196,43.895172,-91.2175998
197,43.8956031,-91.2179728
198,43.896132,-91.2184465
199,43.896492,-91.2188017
200,43.8976935,-91.220051
201,43.898391,-91.2208062
202,43.8990294,-91.2214644
203,43.9001425,-91.2226094
204,43.9020723,-91.224618
205,43.9040899,-91.2267637
206,43.9053028,-91.2280126
207,43.9056918,-91.2284056
208,43.907808,-91.2306261
209,43.9100341,-91.2329543
210,43.9108688,-91.2337804
211,43.9121055,-91.234864
212,43.9127857,-91.2354434
213,43.9139682,-91.236409
214,43.914857,-91.2370312
215,43.91614,-91.2379324
216,43.9176084,-91.2388015
217,43.9180666,-91.2390441
218,43.919695,-91.2399066
219,43.921171,-91.2406039
220,43.9223225,-91.2410545
221,43.9245403,-91.2417626
222,43.9268788,-91.2424886
223,43.9270285,-91.2425351
224,43.9285198,-91.2429428
225,43.9289565,-91.2430923
226,43.9311122,-91.2438326
227,43.932248,-91.2444013
228,43.9333761,-91.2450557
229,43.93496,-91.2462573
230,43.9363816,-91.2477057
231,43.9377027,-91.2493472
232,43.9385809,-91.2507639
233,43.9389929,-91.2514286
234,43.9411946,-91.2554412
235,43.9416064,-91.2561792
236,43.9421163,-91.2571233
237,43.9430718,-91.2587886
238,43.9444869,-91.2613155
239,43.9457547,-91.2636464
240,43.9480082,-91.2676858
241,43.9482737,-91.2681637
242,43.9543967,-91.2791622
243,43.9548659,-91.2799777
244,43.9552965,-91.2806563
245,43.9557754,-91.2813295
246,43.9561894,-91.2818589
247,43.9567176,-91.2824667
248,43.957226,-91.2829913
249,43.9580306,-91.2837435
250,43.958826,-91.2843335
251,43.9594439,-91.2847305
252,43.9605946,-91.2853742
253,43.9622704,-91.2859751
254,43.9628033,-91.2861038
255,43.9633979,-91.2862111
256,43.9637893,-91.2862543
257,43.9642595,-91.2862928
258,43.9695649,-91.2863076
259,43.9698075,-91.286296
260,43.9702074,-91.2862917
261,43.9826391,-91.2863506
262,43.9842966,-91.2863506
263,43.9846594,-91.2863507
264,43.9932215,-91.286414
265,43.9957515,-91.2863936
266,43.9963227,-91.2863829
267,43.999744,-91.2864318
268,44.0017535,-91.2863984
269,44.0047247,-91.2864306
270,44.0081664,-91.2864199
271,44.0093393,-91.2864199
272,44.0101187,-91.2864843
273,44.0108826,-91.2866237
274,44.0111996,-91.2866915
275,44.0123872,-91.2869456
276,44.0105816,-91.2863126
277,44.0100261,-91.2862053
278,44.0095168,-91.2861624
279,44.0088995,-91.2861517
280,44.0082887,-91.2861495
281,44.0028648,-91.2861302
282,43.9997973,-91.2860934
283,43.9991028,-91.2860962
284,43.9961374,-91.2860932
285,43.9955894,-91.2860825
286,43.9917704,-91.2861256
287,43.9895997,-91.2861114
288,43.9846131,-91.2860396
289,43.9842425,-91.2860396
290,43.9703245,-91.2859858
291,43.9697994,-91.2859965
292,43.9652018,-91.2860037
293,43.9643262,-91.2860041
294,43.9637832,-91.2859708
295,43.9632354,-91.2858595
296,43.9613437,-91.285385
297,43.960332,-91.2849129
298,43.9592585,-91.2843121
299,43.957985,-91.283351
300,43.9569261,-91.282338
301,43.9561422,-91.281418
302,43.9558545,-91.2810358
303,43.9555765,-91.280659
304,43.9549644,-91.2796987
305,43.9542796,-91.2784929
306,43.9502065,-91.2710727
307,43.9485138,-91.2681147
308,43.9482399,-91.2676362
309,43.9450536,-91.2618677
310,43.9432881,-91.2586921
311,43.9423998,-91.2570935
312,43.941944,-91.2563103
313,43.9415423,-91.2556129
314,43.940317,-91.2533921
315,43.9389851,-91.250978
316,43.9377877,-91.2489932
317,43.9363506,-91.2472551
318,43.9348672,-91.2458175
319,43.9335847,-91.2448948
320,43.9331134,-91.2445622
321,43.9317767,-91.2438004
322,43.930525,-91.2432855
323,43.9285739,-91.2427068
324,43.9279558,-91.2425137
325,43.924324,-91.2414193
326,43.9240737,-91.2413415
327,43.9227707,-91.2409365
328,43.9216205,-91.2405096
329,43.9201644,-91.2398759
330,43.9194737,-91.2395564
331,43.9190869,-91.2393526
332,43.917093,-91.2382368
333,43.9152415,-91.2370362
334,43.9142686,-91.2362982
335,43.9136891,-91.2358554
336,43.9131639,-91.2354067
337,43.9124923,-91.2348416
338,43.9119355,-91.2343705
339,43.9107993,-91.2333727
340,43.9088901,-91.2314093
341,43.9071819,-91.2296176
342,43.9056971,-91.228044
343,43.9053266,-91.2276508
344,43.9038116,-91.2261307
345,43.9031955,-91.2254594
346,43.9017952,-91.2240095
347,43.9011304,-91.2232895
348,43.9002401,-91.2223327
349,43.8986616,-91.2206989
350,43.8978964,-91.2199068
351,43.8970812,-91.2190612
352,43.8957236,-91.2177199
353,43.8952091,-91.2172875
354,43.8948852,-91.2170311
355,43.8943008,-91.2165913
