,Latitude,Longitude
0,44.078211,-91.3503416
1,44.077602,-91.35047
2,44.0773003,-91.350508
3,44.0771338,-91.3505198
4,44.0770914,-91.3501295
5,44.0770355,-91.3496722
6,44.0769577,-91.3491894
7,44.0768783,-91.3487852
8,44.0767164,-91.3481141
9,44.0765167,-91.3472187
10,44.0763059,-91.3463283
11,44.0761056,-91.3454332
12,44.0759361,-91.3443711
13,44.0757973,-91.3433733
14,44.076034,-91.344338
15,44.0760652,-91.3444754
16,44.076488,-91.346336
17,44.0769535,-91.3482657
18,44.0771847,-91.3490596
19,44.077339,-91.349483
20,44.077509,-91.349696
21,44.077649,-91.349851
22,44.077823,-91.349998
23,44.078034,-91.350104
24,44.078239,-91.350132
25,44.078495,-91.350111
26,44.0788509,-91.3500544
27,44.078211,-91.3503416
