,Latitude,Longitude
0,48.6047863,-93.402173
1,48.6048702,-93.4023167
2,48.6049812,-93.4025783
3,48.6050779,-93.4028203
4,48.6051121,-93.402883
5,48.6051496,-93.4029431
6,48.6052144,-93.4030173
7,48.6052791,-93.4030771
8,48.605329,-93.4031131
9,48.6053884,-93.4031396
10,48.6054585,-93.4031503
11,48.6055024,-93.4031519
12,48.605547,-93.4031464
13,48.6055807,-93.4031388
14,48.6056286,-93.403116
15,48.60569,-93.4030686
16,48.6058086,-93.4029588
17,48.6058813,-93.4028882
18,48.605934,-93.402837
19,48.6060332,-93.402745
20,48.6060507,-93.4027288
21,48.606128,-93.402631
22,48.6061914,-93.4025455
23,48.606054,-93.402586
24,48.6059077,-93.4026006
25,48.6058171,-93.4025964
26,48.6056517,-93.4025696
27,48.6055916,-93.4025465
28,48.6055295,-93.4025225
29,48.6054323,-93.4024915
30,48.605329,-93.4024508
31,48.6051374,-93.4023482
32,48.6050882,-93.402319
33,48.6050379,-93.4022923
34,48.6049876,-93.4022656
35,48.6049717,-93.4022574
36,48.6049184,-93.40223
37,48.6047863,-93.402173
38,48.6047189,-93.4021494
39,48.604609,-93.4021256
40,48.6043085,-93.4021253
41,48.6037632,-93.4021337
42,48.6032323,-93.4021382
43,48.6027895,-93.4021452
44,48.602702,-93.4021477
45,48.6026166,-93.402149
46,48.6021859,-93.4021557
47,48.6017663,-93.4021648
48,48.6016729,-93.4021668
49,48.6016763,-93.4035391
50,48.6016766,-93.4036643
51,48.6011561,-93.4036677
52,48.6006382,-93.4036778
53,48.6001059,-93.4036916
54,48.5995968,-93.4037012
55,48.5990779,-93.403711
56,48.5986432,-93.4037184
57,48.5985515,-93.4037199
58,48.5984678,-93.4037209
59,48.598022,-93.4037263
60,48.5975453,-93.4037334
61,48.5970437,-93.4037327
62,48.59656,-93.4037313
63,48.5960532,-93.4037416
64,48.5955539,-93.4037517
65,48.5950579,-93.4037566
66,48.5947407,-93.4037597
67,48.5946525,-93.4037606
68,48.5943856,-93.4037692
69,48.5942036,-93.4037648
70,48.5940079,-93.4037385
71,48.5939202,-93.4037197
72,48.5937978,-93.403692
73,48.5937012,-93.4036658
74,48.5935672,-93.4036236
75,48.5933731,-93.4035481
76,48.592991,-93.4033659
77,48.592732,-93.4032252
78,48.5925335,-93.4031174
79,48.5919781,-93.4028122
80,48.5917394,-93.4027096
81,48.5914951,-93.4026267
82,48.591329,-93.4025895
83,48.5911777,-93.4025577
84,48.5910457,-93.4025392
85,48.5909474,-93.4025314
86,48.5896311,-93.40255
87,48.5887334,-93.4025758
88,48.5883822,-93.4025821
89,48.5883059,-93.4025842
90,48.5882026,-93.4025846
91,48.5878471,-93.4025984
92,48.5875833,-93.4026044
93,48.5869516,-93.4026188
94,48.5856343,-93.4026374
95,48.584327,-93.4026823
96,48.583935,-93.4026862
97,48.5837076,-93.4026884
98,48.5833012,-93.4026926
99,48.5830109,-93.4026955
100,48.5817064,-93.402722
101,48.5808055,-93.4027642
102,48.5799121,-93.402818
103,48.5794517,-93.402825
104,48.5791442,-93.4028156
105,48.5789329,-93.4027977
106,48.5785863,-93.4027633
107,48.5783404,-93.4027334
108,48.5781305,-93.4026942
109,48.5778446,-93.4026279
110,48.5774857,-93.4025346
111,48.5772999,-93.4024835
112,48.5771324,-93.4024318
113,48.5769538,-93.402363
114,48.5765272,-93.4021828
115,48.5764388,-93.4021417
116,48.576285,-93.4020702
117,48.5757063,-93.4017684
118,48.5754305,-93.4016019
119,48.5749648,-93.401287
120,48.5746653,-93.4010562
121,48.5743658,-93.4008165
122,48.5741439,-93.4006219
123,48.573988,-93.4004829
124,48.573844,-93.4003416
125,48.5735412,-93.4000455
126,48.5733086,-93.3997997
127,48.5730508,-93.3995085
128,48.5727707,-93.3991616
129,48.5725428,-93.3988605
130,48.5723641,-93.3986114
131,48.5720666,-93.3981653
132,48.5717089,-93.3976168
133,48.5714672,-93.3972577
134,48.5710605,-93.396637
135,48.5701824,-93.3952681
136,48.5692313,-93.3938145
137,48.5682367,-93.392259
138,48.5658015,-93.3884505
139,48.5625071,-93.3833436
140,48.5611793,-93.3812837
141,48.5587934,-93.3776144
142,48.5585082,-93.3771834
143,48.5581827,-93.3767561
144,48.5578206,-93.3763497
145,48.5574158,-93.3759729
146,48.5570446,-93.3756625
147,48.5566948,-93.3754238
148,48.5566347,-93.3753828
149,48.5563117,-93.3751936
150,48.5559647,-93.3750307
151,48.5555961,-93.3749037
152,48.5552253,-93.3747995
153,48.5547188,-93.3747051
154,48.5546261,-93.3746855
155,48.5545269,-93.3746758
156,48.5543394,-93.374666
157,48.5539707,-93.3746595
158,48.5532249,-93.3746627
159,48.5517288,-93.3746627
160,48.5487234,-93.3746747
161,48.5423271,-93.3746764
162,48.5349739,-93.3746511
163,48.5331051,-93.3746657
164,48.5308932,-93.3746541
165,48.5304792,-93.3746462
166,48.5294762,-93.3746271
167,48.5290275,-93.3746198
168,48.527608,-93.3746067
169,48.5271185,-93.3745987
170,48.5266388,-93.3745972
171,48.525776,-93.374602
172,48.5248065,-93.3745806
173,48.5220543,-93.3745996
174,48.5121789,-93.3745681
175,48.5097933,-93.3745605
176,48.5085642,-93.3745566
177,48.5082286,-93.3745344
178,48.5078808,-93.3744784
179,48.5075797,-93.3744318
180,48.5072624,-93.3743421
181,48.5069904,-93.3742396
182,48.5066071,-93.3740661
183,48.5061271,-93.3737949
184,48.5056722,-93.3734945
185,48.5051675,-93.373001
186,48.5046415,-93.3724216
187,48.503959,-93.3715204
188,48.499934,-93.36615
189,48.4950547,-93.3596409
190,48.494717,-93.359193
191,48.491162,-93.3544616
192,48.4908633,-93.3540217
193,48.4905576,-93.3534102
194,48.4902518,-93.3527771
195,48.4899247,-93.3518759
196,48.4895906,-93.3507279
197,48.4893843,-93.3496336
198,48.4892706,-93.3483032
199,48.4892492,-93.3472196
200,48.4891915,-93.3360113
201,48.4891852,-93.3354501
202,48.4891767,-93.3327592
203,48.4891763,-93.3326317
204,48.4891741,-93.3319425
205,48.4891734,-93.3317241
206,48.4891719,-93.3316667
207,48.4891643,-93.3313833
208,48.4891426,-93.3310191
209,48.4891268,-93.330841
210,48.4891096,-93.33069
211,48.4890799,-93.3304849
212,48.4890471,-93.3302892
213,48.4890081,-93.3300958
214,48.4889583,-93.3298873
215,48.4889034,-93.3296808
216,48.4888299,-93.3294333
217,48.4887868,-93.3293071
218,48.4887299,-93.3291455
219,48.488654,-93.3289463
220,48.4885877,-93.3287871
221,48.488507,-93.3286044
222,48.4884347,-93.3284614
223,48.4883429,-93.3282955
224,48.4882595,-93.3281528
225,48.4880714,-93.3278498
226,48.4872079,-93.3265365
227,48.4868224,-93.3259502
228,48.4834466,-93.3208159
229,48.4784826,-93.3132628
230,48.4745636,-93.3072869
231,48.466988,-93.2957427
232,48.4623634,-93.2887081
233,48.4521024,-93.2730877
234,48.4451939,-93.2625427
235,48.441237,-93.2566163
236,48.4356637,-93.248162
237,48.4333291,-93.2446126
238,48.4329515,-93.2440833
239,48.4308486,-93.240866
240,48.4306108,-93.2405289
241,48.4304102,-93.2402623
242,48.4301964,-93.2399984
243,48.4299725,-93.23975
244,48.429745,-93.2395179
245,48.4295187,-93.2393035
246,48.4292776,-93.2391086
247,48.4290329,-93.2389257
248,48.4275681,-93.2378447
249,48.4273254,-93.2376595
250,48.4270859,-93.2374558
251,48.4268597,-93.2372279
252,48.4266468,-93.2369797
253,48.4264248,-93.2367137
254,48.4262292,-93.2364422
255,48.4260354,-93.2361429
256,48.4258538,-93.2358388
257,48.4256834,-93.2355198
258,48.4255294,-93.2351931
259,48.4254211,-93.2349551
260,48.4252767,-93.234595
261,48.4251762,-93.2342976
262,48.4250638,-93.2339366
263,48.4249574,-93.2335463
264,48.424867,-93.2331622
265,48.4248001,-93.2328073
266,48.4247292,-93.2323575
267,48.4245802,-93.2312655
268,48.4244316,-93.230185
269,48.424202,-93.2285372
270,48.4239884,-93.2271747
271,48.4236965,-93.2260374
272,48.4233476,-93.2250289
273,48.4229774,-93.2242457
274,48.417718,-93.2148153
275,48.4138794,-93.207978
276,48.4138161,-93.2078656
277,48.4132166,-93.206802
278,48.4125747,-93.2056633
279,48.4123464,-93.2052574
280,48.4121693,-93.2049197
281,48.4119709,-93.2044965
282,48.4118185,-93.2041467
283,48.4116941,-93.2038403
284,48.4115414,-93.2034096
285,48.4114209,-93.2030138
286,48.4112999,-93.2025631
287,48.4112668,-93.2024195
288,48.4111929,-93.2020985
289,48.4111083,-93.2016573
290,48.4110438,-93.2012549
291,48.4109943,-93.2008968
292,48.4109467,-93.2004605
293,48.4109157,-93.2001254
294,48.4108953,-93.1998188
295,48.4108716,-93.1993694
296,48.4108515,-93.1989112
297,48.4106594,-93.1922308
298,48.4104811,-93.1855202
299,48.4103593,-93.1805042
300,48.4103166,-93.171095
301,48.4102382,-93.1588213
302,48.4101904,-93.1543541
303,48.4101317,-93.1509278
304,48.4099754,-93.1386971
305,48.4099605,-93.1376103
306,48.4099534,-93.1371705
307,48.4099106,-93.1344775
308,48.4097397,-93.1249181
309,48.4096605,-93.1198624
310,48.4096471,-93.1190065
311,48.4092554,-93.1029991
312,48.4090774,-93.0964331
313,48.4089244,-93.0898135
314,48.4089154,-93.0894273
315,48.4088828,-93.0880169
316,48.4088708,-93.0875093
317,48.4086786,-93.0761878
318,48.4085996,-93.0688441
319,48.4085564,-93.0647215
320,48.4085248,-93.0618891
321,48.4084507,-93.0543653
322,48.4084095,-93.0490561
323,48.4084103,-93.0486465
324,48.4083908,-93.0474642
325,48.4083196,-93.0463886
326,48.408157,-93.0451955
327,48.4078504,-93.043812
328,48.4071311,-93.0412307
329,48.4064303,-93.0386245
330,48.4046648,-93.0321816
331,48.403197,-93.026825
332,48.4030419,-93.0262804
333,48.4029123,-93.0258078
334,48.4023489,-93.0237634
335,48.401305,-93.0199229
336,48.401149,-93.0194137
337,48.4009686,-93.0189218
338,48.4007288,-93.0184025
339,48.4004792,-93.0179855
340,48.3997134,-93.0168112
341,48.3986098,-93.0151283
342,48.3961816,-93.0114009
343,48.3952704,-93.0099964
344,48.3942982,-93.0085223
345,48.3895211,-93.0011615
346,48.3889016,-93.000207
347,48.3861996,-92.9960541
348,48.3850472,-92.9942785
349,48.3842042,-92.9929831
350,48.3798426,-92.9862815
351,48.3753085,-92.9793155
352,48.374915,-92.978711
353,48.366084,-92.965021
354,48.365422,-92.964267
355,48.364439,-92.963615
356,48.364131,-92.963483
357,48.36396,-92.963409
358,48.363137,-92.963305
359,48.3615653,-92.9632822
360,48.355013,-92.963187
361,48.3542556,-92.9631855
362,48.3533434,-92.9631616
363,48.3499535,-92.9631533
364,48.3469222,-92.96314
365,48.3456217,-92.9631343
366,48.3451798,-92.9631324
367,48.344582,-92.963126
368,48.3440642,-92.9631393
369,48.3390333,-92.9630962
370,48.3343093,-92.9630676
371,48.3315472,-92.9630711
372,48.3312895,-92.9630434
373,48.3310173,-92.962997
374,48.3307413,-92.9629256
375,48.3304802,-92.9628326
376,48.3286435,-92.9621036
377,48.3273311,-92.9615968
378,48.3270714,-92.9615176
379,48.3267972,-92.9614493
380,48.3265276,-92.9614124
381,48.326263,-92.9613961
382,48.3260001,-92.9614075
383,48.320829,-92.962063
384,48.319642,-92.9622189
385,48.3191417,-92.9622847
386,48.318438,-92.9623771
387,48.3181085,-92.9624321
388,48.3177635,-92.9625277
389,48.3174983,-92.9626123
390,48.3091814,-92.9660255
391,48.2986362,-92.9703766
392,48.2983925,-92.9704735
393,48.2981326,-92.9705418
394,48.2978855,-92.9705937
395,48.2976481,-92.9706217
396,48.2971676,-92.9706282
397,48.2968956,-92.9705998
398,48.295662,-92.9703596
399,48.2905365,-92.9693505
400,48.2871687,-92.9686875
401,48.2867832,-92.968611
402,48.2864308,-92.9685264
403,48.2861746,-92.9684526
404,48.2859129,-92.968357
405,48.2858106,-92.9683158
406,48.2856421,-92.9682478
