,Latitude,Longitude
0,44.0788509,-91.3500544
1,44.0795691,-91.3497821
2,44.0796891,-91.3497427
3,44.0804729,-91.3494195
4,44.0810996,-91.3491641
5,44.0814402,-91.3490174
6,44.0816462,-91.3489875
7,44.0821364,-91.3490055
8,44.0821808,-91.3490071
9,44.0825227,-91.3490197
10,44.082887,-91.3490402
11,44.0830764,-91.3490375
12,44.0832183,-91.3490351
13,44.083518,-91.34903
14,44.083764,-91.348918
15,44.083976,-91.348773
16,44.0841303,-91.3486158
17,44.084231,-91.348466
18,44.0842813,-91.3484025
19,44.084632,-91.3479172
20,44.0847081,-91.3478065
21,44.0848819,-91.3475643
22,44.084895,-91.347546
23,44.0850164,-91.3474238
24,44.085052,-91.347388
25,44.085213,-91.347267
26,44.08538,-91.347141
27,44.0861625,-91.346604
28,44.086831,-91.346222
29,44.087456,-91.34596
30,44.087996,-91.34579
31,44.08823,-91.345717
32,44.088772,-91.345513
33,44.089113,-91.345321
34,44.089181,-91.345283
35,44.0892341,-91.3452377
36,44.089417,-91.345082
37,44.089502,-91.344994
38,44.0896696,-91.344799
39,44.0897493,-91.3447153
40,44.0899048,-91.3445319
41,44.0901543,-91.344234
42,44.090561,-91.343751
43,44.091204,-91.343036
44,44.091276,-91.342958
45,44.09141,-91.342848
46,44.091604,-91.342689
47,44.0916257,-91.3426713
48,44.091752,-91.342568
49,44.092068,-91.342374
50,44.09212,-91.342356
51,44.092367,-91.342273
52,44.092675,-91.342185
53,44.0927135,-91.3421782
54,44.093086,-91.342112
55,44.093567,-91.342042
56,44.0936097,-91.3420358
57,44.0942943,-91.341932
58,44.094475,-91.34191
59,44.095119,-91.341819
60,44.095627,-91.341732
61,44.096344,-91.341634
62,44.096576,-91.341603
63,44.0969109,-91.3415578
64,44.0973625,-91.3414968
65,44.097709,-91.34145
66,44.09835,-91.341365
67,44.0983823,-91.3413601
68,44.1000036,-91.341116
69,44.1006117,-91.3410347
70,44.101325,-91.340938
71,44.102333,-91.340811
72,44.102937,-91.340715
73,44.1029579,-91.3407122
74,44.104049,-91.340564
75,44.104832,-91.3404707
76,44.105823,-91.34031
77,44.106893,-91.340181
78,44.107844,-91.340035
79,44.108224,-91.339965
80,44.109559,-91.339769
81,44.110239,-91.339664
82,44.112036,-91.339434
83,44.112219,-91.33941
84,44.113505,-91.339215
85,44.11522,-91.338982
86,44.115734,-91.338928
87,44.1157739,-91.3389224
88,44.11626,-91.338854
89,44.1171257,-91.3387054
90,44.1177096,-91.3386193
91,44.119511,-91.338373
92,44.120969,-91.338219
93,44.121753,-91.338204
94,44.122616,-91.338266
95,44.122948,-91.338303
96,44.123583,-91.338404
97,44.124137,-91.338507
98,44.124361,-91.338565
99,44.124792,-91.33868
100,44.125072,-91.338776
101,44.126735,-91.339308
102,44.128463,-91.339864
103,44.128736,-91.339954
104,44.130837,-91.340635
105,44.131355,-91.340785
106,44.131833,-91.340853
107,44.132358,-91.340853
108,44.132615,-91.340839
109,44.132946,-91.34077
110,44.13328,-91.340674
111,44.133821,-91.340463
112,44.134321,-91.340174
113,44.134771,-91.339915
114,44.135599,-91.339413
115,44.135843,-91.339275
116,44.136236,-91.339026
117,44.136575,-91.338748
118,44.136935,-91.338433
119,44.137081,-91.338269
120,44.137277,-91.338029
121,44.137624,-91.337528
122,44.137824,-91.337195
123,44.138043,-91.336787
124,44.138635,-91.335602
125,44.138893,-91.335117
126,44.1397,-91.3336
127,44.139939,-91.333145
128,44.140738,-91.33162
129,44.141269,-91.330563
130,44.141582,-91.329982
131,44.14182,-91.329565
132,44.142072,-91.329194
133,44.14223,-91.328979
134,44.142696,-91.328389
135,44.143001,-91.328034
136,44.144123,-91.326797
137,44.146541,-91.324132
138,44.146905,-91.323713
139,44.1473837,-91.3231852
140,44.1478833,-91.3226275
141,44.148973,-91.321347
142,44.1493966,-91.3208119
143,44.149546,-91.3205976
144,44.1499786,-91.3199187
145,44.1501722,-91.3195967
146,44.1504038,-91.3191802
147,44.1506528,-91.3187086
148,44.1509498,-91.3181186
