,Latitude,Longitude
0,43.8257673,-91.2493493
1,43.8259602,-91.2493205
2,43.8260374,-91.249309
3,43.826301,-91.2492696
4,43.8264973,-91.2492119
5,43.826755,-91.2491081
6,43.8270201,-91.2489544
7,43.8270538,-91.2489277
8,43.8272947,-91.2487372
9,43.8275302,-91.2485237
10,43.8277334,-91.2483641
11,43.8279133,-91.2482512
12,43.8281324,-91.248164
13,43.8282829,-91.2481117
14,43.8283687,-91.2481036
15,43.8284597,-91.248095
16,43.8288781,-91.2480978
17,43.8290437,-91.2480989
18,43.8290852,-91.2480992
19,43.8294467,-91.2481016
20,43.8297509,-91.2481036
21,43.8301315,-91.2481061
22,43.8302096,-91.2481013
23,43.8312537,-91.2481279
24,43.8313386,-91.2481286
25,43.8341743,-91.2481528
26,43.8343823,-91.2481532
27,43.8346404,-91.248157
28,43.8352695,-91.24816
29,43.8354225,-91.2481607
30,43.8355259,-91.2481612
31,43.8357678,-91.2481624
32,43.8363813,-91.2481587
33,43.8368894,-91.2481557
34,43.8372506,-91.248155
35,43.8380151,-91.2481536
36,43.8391477,-91.2481718
37,43.8402715,-91.2481496
38,43.8408956,-91.2481611
39,43.8411803,-91.2481609
40,43.8414034,-91.248158
41,43.8421119,-91.2481489
42,43.8422403,-91.2481505
43,43.8427156,-91.248212
