,Latitude,Longitude
0,46.70144,-92.0407392
1,46.701508,-92.0407838
2,46.7015311,-92.0407982
3,46.7015557,-92.0408143
4,46.701574,-92.0408297
5,46.7015869,-92.0408434
6,46.7016013,-92.0408615
7,46.7021296,-92.0415208
8,46.7022325,-92.0416492
9,46.7025126,-92.0420147
10,46.702608,-92.0421358
11,46.7032679,-92.0429897
12,46.703972,-92.0438914
13,46.7045591,-92.0446377
14,46.7050715,-92.0452828
15,46.7052202,-92.04547
16,46.7053519,-92.0456358
17,46.7054238,-92.0457317
18,46.7054718,-92.0458042
19,46.7055157,-92.0458735
20,46.7055476,-92.045937
21,46.7055796,-92.0460179
