,Latitude,Longitude
0,36.99804,-100.99649
1,36.99813,-100.99631
2,36.9985,-100.99562
3,36.99862,-100.99538
4,36.99869,-100.99525
5,36.99874,-100.99514
6,36.99897,-100.99467
7,36.99905,-100.99449
8,36.99924,-100.99404
9,36.99934,-100.99379
10,36.99948,-100.99346
11,36.99965,-100.993
12,36.99988,-100.99234
13,37.00002,-100.9919
14,37.00026,-100.99105
15,37.00037,-100.99061
16,37.00039,-100.99051
17,37.00053,-100.98991
18,37.00064,-100.98935
19,37.00066,-100.98921
20,37.00071,-100.98894
21,37.00087,-100.98782
22,37.00093,-100.98726
23,37.00095,-100.98703
24,37.00097,-100.9867
25,37.00099,-100.98646
26,37.00101,-100.98607
27,37.00101,-100.98586
28,37.00102,-100.98582
29,37.00103,-100.98557
30,37.00103,-100.98376
31,37.00104,-100.98354
32,37.00107,-100.97483
33,37.00109,-100.9741
34,37.00115,-100.9733
35,37.00116,-100.97309
36,37.00119,-100.97282
37,37.00121,-100.97271
38,37.00125,-100.97231
39,37.00137,-100.97155
40,37.00143,-100.97121
41,37.00163,-100.97028
42,37.00189,-100.96932
43,37.00197,-100.96907
44,37.00206,-100.96877
45,37.00234,-100.968
46,37.00238,-100.96788
47,37.00254,-100.96749
48,37.00293,-100.96662
49,37.0033,-100.96588
50,37.00351,-100.9655
51,37.00399,-100.96472
52,37.00415,-100.96447
53,37.00432,-100.96422
54,37.00479,-100.96359
55,37.00505,-100.96327
56,37.00552,-100.96272
57,37.00598,-100.96224
58,37.00621,-100.96202
59,37.00679,-100.96149
60,37.00725,-100.96111
61,37.00728,-100.96109
62,37.00753,-100.96089
63,37.0078,-100.9607
64,37.00808,-100.96051
65,37.00845,-100.96028
66,37.00876,-100.9601
67,37.00913,-100.9599
68,37.00927,-100.95982
69,37.0095,-100.95971
70,37.00953,-100.95969
71,37.01021,-100.95939
72,37.01092,-100.95912
73,37.01168,-100.95882
74,37.01219,-100.9586
75,37.01272,-100.95833
76,37.01326,-100.95802
77,37.01369,-100.95775
78,37.01413,-100.95744
79,37.01432,-100.95728
80,37.01452,-100.95713
81,37.01528,-100.95653
82,37.01553,-100.95634
83,37.01586,-100.95608
84,37.01593,-100.95603
85,37.01627,-100.95575
86,37.01691,-100.95526
87,37.01778,-100.95458
88,37.01799,-100.95441
89,37.01889,-100.95371
90,37.0189,-100.9537
91,37.01913,-100.95353
92,37.01942,-100.95329
93,37.0197,-100.95308
94,37.02,-100.95282
95,37.0203,-100.95255
96,37.02052,-100.95234
97,37.02054,-100.95233
98,37.02068,-100.95219
99,37.02125,-100.95158
100,37.02138,-100.95141
101,37.02168,-100.95106
102,37.02195,-100.9507
103,37.02237,-100.9501
104,37.02249,-100.94991
105,37.02282,-100.94936
106,37.02297,-100.94909
107,37.02307,-100.94892
108,37.02333,-100.94844
109,37.02423,-100.94684
110,37.02449,-100.94639
111,37.025,-100.94556
112,37.02526,-100.94512
113,37.0257,-100.94441
114,37.02582,-100.94423
115,37.02639,-100.94326
116,37.02662,-100.94294
117,37.02749,-100.94137
118,37.02781,-100.94075
119,37.02828,-100.93988
120,37.02989,-100.93683
121,37.03018,-100.9363
122,37.03076,-100.93519
123,37.03096,-100.93483
124,37.03111,-100.93453
125,37.03124,-100.9343
126,37.03156,-100.93369
127,37.03165,-100.93351
128,37.03184,-100.93308
129,37.03195,-100.93279
130,37.03211,-100.9323
131,37.03225,-100.93169
132,37.03229,-100.93148
133,37.03231,-100.9313
134,37.03237,-100.93086
135,37.03238,-100.93061
136,37.0324,-100.93034
137,37.03239,-100.92962
138,37.03239,-100.92707
139,37.03238,-100.92656
140,37.03236,-100.92235
141,37.03235,-100.92193
142,37.03236,-100.9217
143,37.03236,-100.91988
144,37.03237,-100.91953
145,37.03237,-100.91811
146,37.03238,-100.9175
147,37.03238,-100.91671
148,37.03237,-100.91629
149,37.03237,-100.9154
150,37.03238,-100.91489
151,37.03239,-100.91321
152,37.03249,-100.91234
153,37.03249,-100.91231
154,37.03264,-100.91162
155,37.03279,-100.91112
156,37.03294,-100.91072
157,37.03308,-100.91038
158,37.03331,-100.9099
159,37.03346,-100.90966
160,37.03372,-100.90926
161,37.03382,-100.90913
162,37.03395,-100.90897
163,37.03408,-100.90882
164,37.0344,-100.90848
165,37.0345,-100.90838
166,37.03469,-100.90821
167,37.03755,-100.90598
168,37.03786,-100.90575
169,37.03843,-100.9053
170,37.03849,-100.90525
171,37.03917,-100.90472
172,37.03984,-100.90418
173,37.04048,-100.90369
174,37.04113,-100.90316
175,37.04311,-100.90162
176,37.04367,-100.90117
177,37.04417,-100.90079
178,37.04842,-100.89745
179,37.04884,-100.89713
180,37.04932,-100.89674
181,37.04988,-100.8963
182,37.05019,-100.89607
183,37.0502,-100.89606
184,37.05064,-100.89571
185,37.05071,-100.89566
186,37.05109,-100.89536
187,37.0511,-100.89534
188,37.0514,-100.8951
189,37.05162,-100.89491
190,37.05183,-100.89472
191,37.05196,-100.89459
192,37.05245,-100.89407
193,37.05268,-100.89379
194,37.05289,-100.89351
195,37.05313,-100.89316
196,37.05346,-100.89262
197,37.05373,-100.89215
198,37.05413,-100.89141
199,37.05421,-100.89125
200,37.05496,-100.88983
201,37.05503,-100.88969
202,37.05537,-100.88906
203,37.05564,-100.88854
204,37.05681,-100.88635
205,37.05782,-100.88443
206,37.05836,-100.88343
207,37.06626,-100.86854
208,37.06634,-100.86838
209,37.06637,-100.86833
210,37.06794,-100.86538
211,37.06797,-100.86533
212,37.06897,-100.86343
213,37.06948,-100.8625
214,37.06983,-100.86184
215,37.06995,-100.86163
216,37.07,-100.86152
217,37.07005,-100.86144
218,37.07186,-100.85813
219,37.07755,-100.84739
220,37.07759,-100.84732
221,37.07914,-100.84439
222,37.07927,-100.84416
223,37.08211,-100.8388
224,37.08256,-100.83793
225,37.08333,-100.8365
226,37.0837,-100.83578
227,37.08422,-100.83482
228,37.08469,-100.83392
229,37.08471,-100.83389
230,37.08587,-100.83169
231,37.08598,-100.8315
232,37.08613,-100.8312
233,37.08724,-100.82911
234,37.08727,-100.82906
235,37.08816,-100.82737
236,37.08833,-100.82706
237,37.08877,-100.82623
238,37.08879,-100.82618
239,37.08917,-100.82548
240,37.08956,-100.82472
241,37.08982,-100.82425
242,37.09101,-100.82201
243,37.09141,-100.82109
244,37.09166,-100.82041
245,37.09181,-100.82004
246,37.09189,-100.81979
247,37.09222,-100.81882
248,37.0925,-100.81808
249,37.09283,-100.81732
250,37.09286,-100.81724
251,37.09338,-100.81618
252,37.09383,-100.81523
253,37.09393,-100.81503
254,37.09433,-100.81416
255,37.09439,-100.81402
256,37.0945,-100.8138
257,37.09517,-100.81236
258,37.09532,-100.81206
259,37.09561,-100.81143
260,37.09606,-100.81048
261,37.09906,-100.80399
262,37.09989,-100.8023
263,37.10098,-100.80018
264,37.10144,-100.79938
265,37.10296,-100.79664
266,37.10316,-100.79624
267,37.1034,-100.79578
268,37.1037,-100.79518
269,37.1046,-100.79348
270,37.10524,-100.79221
271,37.10756,-100.78783
272,37.10775,-100.78749
273,37.10903,-100.78511
274,37.11015,-100.78293
275,37.11084,-100.78163
276,37.11094,-100.78145
277,37.11148,-100.78038
278,37.11216,-100.77908
279,37.11295,-100.77763
280,37.11383,-100.7762
281,37.11457,-100.77514
282,37.11517,-100.77433
283,37.11608,-100.77325
284,37.11662,-100.77265
285,37.11707,-100.77225
286,37.11771,-100.77173
287,37.11813,-100.77141
288,37.11867,-100.77105
289,37.12015,-100.77016
290,37.12039,-100.77001
291,37.12046,-100.76996
292,37.12057,-100.76993
293,37.12089,-100.7697
294,37.12256,-100.76855
295,37.12337,-100.76797
296,37.12589,-100.7662
297,37.12778,-100.76489
298,37.12793,-100.76477
299,37.13594,-100.75915
300,37.13879,-100.75706
301,37.13898,-100.75691
302,37.13936,-100.75664
303,37.14014,-100.75605
304,37.14208,-100.75462
305,37.14276,-100.7541
306,37.1433,-100.75364
307,37.1438,-100.75319
308,37.14384,-100.75316
309,37.14444,-100.75264
310,37.14492,-100.75228
311,37.14543,-100.75191
312,37.14598,-100.75153
313,37.147,-100.7508
314,37.14904,-100.74937
315,37.14922,-100.74921
316,37.1494,-100.74906
317,37.14953,-100.74896
318,37.14964,-100.74887
319,37.14975,-100.7488
320,37.15023,-100.74847
321,37.15045,-100.74831
322,37.15055,-100.74823
323,37.15093,-100.74798
324,37.15141,-100.74769
325,37.15158,-100.7476
326,37.15165,-100.74757
327,37.15173,-100.74755
328,37.15178,-100.74756
329,37.15195,-100.74745
330,37.15251,-100.74718
331,37.15289,-100.74699
332,37.15345,-100.74668
333,37.15361,-100.74658
334,37.15449,-100.746
335,37.15536,-100.74545
336,37.15653,-100.74468
337,37.15675,-100.74452
338,37.15775,-100.74383
339,37.15807,-100.7436
340,37.15949,-100.74262
341,37.15958,-100.74255
342,37.16085,-100.74167
343,37.16144,-100.74124
344,37.16193,-100.7409
345,37.16194,-100.7409
346,37.16334,-100.73992
347,37.16351,-100.73979
348,37.16535,-100.7385
349,37.16573,-100.73822
350,37.16585,-100.73814
351,37.16687,-100.73742
352,37.16734,-100.7371
353,37.16837,-100.73638
354,37.16866,-100.73617
355,37.169,-100.73594
356,37.16911,-100.73586
357,37.16916,-100.73583
358,37.16978,-100.73538
359,37.17079,-100.73467
360,37.17098,-100.73453
361,37.17114,-100.73443
362,37.17181,-100.73397
363,37.17217,-100.73371
364,37.17246,-100.73348
365,37.17253,-100.73343
366,37.17276,-100.73324
367,37.17312,-100.73292
368,37.17349,-100.73258
369,37.17395,-100.73214
370,37.17405,-100.73204
371,37.17413,-100.73195
372,37.17424,-100.73184
373,37.17452,-100.73153
374,37.17491,-100.73107
375,37.17521,-100.7307
376,37.17541,-100.73043
377,37.17558,-100.73021
378,37.17571,-100.73002
379,37.17599,-100.72964
380,37.17633,-100.72914
381,37.17681,-100.72847
382,37.17715,-100.72797
383,37.17761,-100.72733
384,37.17821,-100.72647
385,37.17857,-100.72597
386,37.17883,-100.72559
387,37.17934,-100.72487
388,37.18022,-100.7236
389,37.18451,-100.71752
390,37.18462,-100.71735
391,37.18546,-100.71616
392,37.1857,-100.71583
393,37.1893,-100.7107
394,37.18981,-100.70999
395,37.19061,-100.70884
396,37.19194,-100.70696
397,37.19244,-100.70623
398,37.19271,-100.70586
399,37.1936,-100.70459
400,37.1939,-100.70418
401,37.19482,-100.70286
402,37.19543,-100.70202
403,37.19568,-100.70171
404,37.19607,-100.70129
405,37.19624,-100.70113
406,37.19633,-100.70104
407,37.19666,-100.70075
408,37.19698,-100.70049
409,37.19714,-100.70038
410,37.19757,-100.70011
411,37.19789,-100.69992
412,37.19809,-100.69981
413,37.19815,-100.69979
414,37.19865,-100.69956
415,37.19887,-100.69947
416,37.19981,-100.69913
417,37.20001,-100.69905
418,37.20022,-100.69898
419,37.20034,-100.69893
420,37.20309,-100.69793
421,37.2032,-100.69788
422,37.20352,-100.69776
423,37.2037,-100.69768
424,37.20405,-100.69751
425,37.20436,-100.69733
426,37.20467,-100.69714
427,37.20498,-100.69691
428,37.20525,-100.6967
429,37.20557,-100.69642
430,37.20593,-100.69608
431,37.20617,-100.69583
432,37.20629,-100.69569
433,37.20656,-100.69536
434,37.20674,-100.69512
435,37.20708,-100.69463
436,37.2072,-100.69445
