,Latitude,Longitude
0,39.45668,-91.04736
1,39.45683,-91.04705
2,39.45686,-91.047
3,39.45695,-91.0468
4,39.45737,-91.04598
5,39.45798,-91.04473
6,39.45848,-91.04374
7,39.45902,-91.04257
8,39.45905,-91.04252
9,39.45927,-91.04205
10,39.45928,-91.04202
11,39.4594,-91.04174
12,39.45949,-91.04142
13,39.45969,-91.04051
14,39.45976,-91.03976
15,39.45978,-91.03931
16,39.45979,-91.03928
17,39.45982,-91.03859
18,39.45994,-91.03709
19,39.46005,-91.0355
20,39.46011,-91.0351
21,39.46021,-91.03458
22,39.4604,-91.03395
23,39.46047,-91.03376
24,39.46058,-91.0335
25,39.46078,-91.0331
26,39.46118,-91.03241
27,39.46146,-91.03201
28,39.46174,-91.03164
29,39.46215,-91.03118
30,39.46242,-91.0309
31,39.46291,-91.03048
32,39.46329,-91.03018
33,39.46615,-91.02805
34,39.46616,-91.02804
35,39.46956,-91.0255
36,39.46957,-91.02549
37,39.4744,-91.02188
38,39.47441,-91.02188
39,39.47781,-91.01933
40,39.47801,-91.01919
41,39.47871,-91.01867
42,39.47898,-91.01846
43,39.47927,-91.01825
44,39.48005,-91.01766
45,39.48034,-91.01745
46,39.48053,-91.0173
47,39.48346,-91.01511
48,39.48443,-91.01436
49,39.48488,-91.01399
50,39.48598,-91.01297
51,39.48794,-91.01103
52,39.48809,-91.01087
53,39.49771,-91.00132
54,39.4978,-91.00121
55,39.498,-91.00098
56,39.49848,-91.00036
57,39.49857,-91.00022
58,39.49866,-91.00009
59,39.4991,-90.99935
60,39.49936,-90.99884
61,39.50196,-90.99331
62,39.50197,-90.99328
63,39.50731,-90.98198
64,39.50741,-90.98175
65,39.50872,-90.97899
66,39.50872,-90.97897
67,39.50882,-90.97877
68,39.51164,-90.97278
69,39.51172,-90.97262
70,39.5119,-90.97222
71,39.512,-90.97203
72,39.51237,-90.97123
73,39.51294,-90.97004
74,39.51332,-90.96922
75,39.51368,-90.96837
76,39.51373,-90.96823
77,39.51384,-90.96796
78,39.51401,-90.9675
79,39.51406,-90.96734
80,39.51407,-90.96732
81,39.51414,-90.96711
82,39.51414,-90.96709
83,39.5142,-90.96692
84,39.5147,-90.96536
85,39.51486,-90.96481
86,39.51487,-90.96476
87,39.51494,-90.96453
88,39.515,-90.96429
89,39.51503,-90.96415
90,39.51512,-90.96379
91,39.51521,-90.96339
92,39.51544,-90.9622
93,39.51544,-90.96219
94,39.51558,-90.96151
95,39.51564,-90.96126
96,39.51584,-90.96053
97,39.51589,-90.96037
98,39.51594,-90.96019
99,39.51596,-90.96015
100,39.51607,-90.95981
101,39.5164,-90.95893
102,39.5173,-90.95692
103,39.51735,-90.95682
104,39.51814,-90.95505
105,39.5182,-90.9549
106,39.51825,-90.95479
107,39.51835,-90.95454
108,39.51842,-90.95434
109,39.51858,-90.95384
110,39.51859,-90.95382
111,39.51861,-90.95372
112,39.51868,-90.95347
113,39.51879,-90.953
114,39.51879,-90.95295
115,39.51886,-90.95257
116,39.51889,-90.95237
117,39.51892,-90.95205
118,39.51895,-90.9518
119,39.51899,-90.95099
120,39.51902,-90.95065
121,39.51904,-90.95055
122,39.51904,-90.95053
123,39.51905,-90.95044
124,39.5191,-90.9502
125,39.51913,-90.95009
126,39.51916,-90.95
127,39.51918,-90.9499
128,39.51922,-90.94977
129,39.51929,-90.94959
130,39.51933,-90.9495
131,39.51936,-90.94942
132,39.51942,-90.9493
133,39.51947,-90.94921
134,39.5195,-90.94914
135,39.51954,-90.94908
136,39.51965,-90.94889
137,39.51982,-90.94865
138,39.52023,-90.94817
139,39.52038,-90.94801
140,39.52044,-90.94794
141,39.52055,-90.9478
142,39.52063,-90.94771
143,39.52075,-90.94756
144,39.52079,-90.9475
145,39.52084,-90.94744
146,39.5209,-90.94735
147,39.52098,-90.94724
148,39.52106,-90.94712
149,39.52117,-90.94694
150,39.52124,-90.94684
151,39.5213,-90.94672
152,39.52139,-90.94656
153,39.52144,-90.94648
154,39.52158,-90.94623
155,39.52161,-90.94615
156,39.52165,-90.94606
157,39.52171,-90.94595
158,39.52178,-90.94576
159,39.52213,-90.94495
160,39.52221,-90.94474
161,39.52315,-90.94242
162,39.52343,-90.94176
163,39.52354,-90.94147
164,39.52393,-90.94052
165,39.52454,-90.93898
166,39.52459,-90.93883
167,39.52464,-90.9387
168,39.5251,-90.93763
169,39.52554,-90.93651
170,39.52579,-90.9358
171,39.52582,-90.93569
172,39.52588,-90.9355
173,39.52601,-90.93504
174,39.52612,-90.93461
175,39.52619,-90.93426
176,39.52624,-90.93407
177,39.52639,-90.93328
178,39.52651,-90.93276
179,39.52654,-90.93265
180,39.52657,-90.93252
181,39.52665,-90.93226
182,39.52668,-90.93214
183,39.52679,-90.93179
184,39.52701,-90.93119
185,39.52732,-90.93047
186,39.52775,-90.92954
187,39.52796,-90.92912
188,39.52825,-90.92851
189,39.52833,-90.92832
190,39.5305,-90.9237
191,39.5306,-90.92351
192,39.53071,-90.92332
193,39.5308,-90.92315
194,39.53087,-90.92305
195,39.53101,-90.92283
196,39.53114,-90.92265
197,39.53141,-90.92232
198,39.53155,-90.92216
199,39.53168,-90.92202
200,39.53206,-90.92167
201,39.53213,-90.92162
202,39.53219,-90.92157
203,39.53235,-90.92145
204,39.53264,-90.92125
205,39.53292,-90.92109
206,39.53295,-90.92107
207,39.53318,-90.92096
208,39.53348,-90.92083
209,39.5336,-90.92079
210,39.53395,-90.92069
211,39.53416,-90.92064
212,39.53432,-90.92062
213,39.53446,-90.92059
214,39.53482,-90.92057
215,39.54276,-90.9205
216,39.54312,-90.92049
217,39.54366,-90.92049
218,39.54389,-90.92047
219,39.54411,-90.92043
220,39.54428,-90.92039
221,39.54444,-90.92034
222,39.54466,-90.92026
223,39.54477,-90.92021
224,39.54507,-90.92006
225,39.54527,-90.91994
226,39.54537,-90.91987
227,39.54558,-90.91971
228,39.54566,-90.91964
229,39.54576,-90.91956
230,39.54594,-90.91938
231,39.54806,-90.91717
232,39.54814,-90.91708
233,39.54822,-90.91701
234,39.5483,-90.91693
235,39.5485,-90.91678
236,39.54864,-90.91669
237,39.54873,-90.91664
238,39.54883,-90.9166
239,39.54892,-90.91657
240,39.549,-90.91655
241,39.54912,-90.91653
242,39.54921,-90.91653
243,39.54932,-90.91652
244,39.5522,-90.91652
245,39.55272,-90.91651
246,39.557,-90.91652
247,39.56207,-90.91661
248,39.56225,-90.91662
249,39.56279,-90.91662
250,39.56315,-90.91658
251,39.56318,-90.91658
252,39.56356,-90.91651
253,39.56391,-90.91643
254,39.56418,-90.91635
255,39.56428,-90.91631
256,39.56451,-90.91623
257,39.56461,-90.91619
258,39.56471,-90.91614
259,39.56481,-90.9161
260,39.56497,-90.91602
261,39.5675,-90.91465
262,39.56808,-90.91436
263,39.5685,-90.91416
264,39.56872,-90.91407
265,39.56883,-90.91401
266,39.56892,-90.91398
267,39.56949,-90.91376
268,39.56998,-90.91359
269,39.5713,-90.9132
270,39.5714,-90.91318
271,39.5716,-90.91311
272,39.57162,-90.9131
273,39.57174,-90.91306
274,39.57196,-90.91297
275,39.57229,-90.91281
276,39.5723,-90.9128
277,39.57254,-90.91268
278,39.57288,-90.91247
279,39.57363,-90.91194
280,39.57407,-90.91164
281,39.5742,-90.91154
282,39.5747,-90.9112
283,39.57509,-90.91092
284,39.57519,-90.91086
285,39.57547,-90.91064
286,39.57555,-90.91056
287,39.57571,-90.91042
288,39.57598,-90.91014
289,39.57606,-90.91004
290,39.57614,-90.90996
291,39.57633,-90.90972
292,39.57648,-90.90952
293,39.58044,-90.90363
294,39.58067,-90.90333
295,39.58086,-90.9031
296,39.58103,-90.90292
297,39.58128,-90.90267
298,39.58155,-90.90243
299,39.58186,-90.9022
300,39.58192,-90.90215
301,39.58199,-90.90211
302,39.58206,-90.90206
303,39.58217,-90.902
304,39.58227,-90.90193
305,39.58237,-90.90188
306,39.58254,-90.90178
307,39.58274,-90.90168
308,39.5849,-90.90066
309,39.58658,-90.89984
310,39.59106,-90.89771
311,39.5912,-90.89763
312,39.59134,-90.89754
313,39.59138,-90.89752
314,39.59143,-90.89749
315,39.59163,-90.89734
316,39.59173,-90.89724
317,39.59178,-90.8972
318,39.59191,-90.89707
319,39.59201,-90.89696
320,39.59211,-90.89684
321,39.59233,-90.89654
322,39.59241,-90.8964
323,39.59245,-90.89634
324,39.5925,-90.89625
325,39.59264,-90.89597
326,39.59272,-90.89578
327,39.59276,-90.89565
328,39.59281,-90.89552
329,39.59282,-90.8955
330,39.59539,-90.88728
331,39.59554,-90.88676
332,39.59557,-90.88668
333,39.59561,-90.88655
334,39.59564,-90.88648
335,39.59572,-90.88624
336,39.59576,-90.88615
337,39.59578,-90.88609
338,39.59589,-90.88583
339,39.59592,-90.88574
340,39.59609,-90.88539
341,39.59635,-90.88491
342,39.59647,-90.88471
343,39.59652,-90.88464
344,39.59654,-90.88459
345,39.59679,-90.88423
346,39.59684,-90.88417
347,39.5969,-90.88407
348,39.59722,-90.88369
349,39.59727,-90.88364
350,39.59728,-90.88362
351,39.5976,-90.88326
352,39.59783,-90.88298
353,39.59794,-90.88286
354,39.59871,-90.88196
355,39.59877,-90.8819
356,39.59921,-90.8814
357,39.59945,-90.88114
358,39.60047,-90.87998
359,39.60084,-90.87954
360,39.60193,-90.8783
361,39.60206,-90.87814
362,39.60218,-90.87801
363,39.60304,-90.87703
364,39.60347,-90.87652
365,39.60357,-90.87641
366,39.6036,-90.87635
367,39.6036,-90.87634
368,39.60362,-90.87632
369,39.60374,-90.87618
370,39.60389,-90.87599
371,39.60409,-90.8757
372,39.60414,-90.87562
373,39.60436,-90.87522
374,39.60441,-90.87511
375,39.60444,-90.87506
376,39.60447,-90.875
377,39.60453,-90.87485
378,39.60461,-90.87467
379,39.60467,-90.87451
380,39.60473,-90.87432
381,39.60484,-90.87391
382,39.60491,-90.87361
383,39.60495,-90.87339
384,39.60497,-90.87324
385,39.60498,-90.87323
386,39.60498,-90.87316
387,39.605,-90.87307
388,39.605,-90.873
389,39.60501,-90.87293
390,39.60503,-90.87272
391,39.60503,-90.87252
392,39.60504,-90.8725
393,39.60504,-90.87246
394,39.60506,-90.8724
395,39.60482,-90.85683
396,39.60478,-90.85241
397,39.60477,-90.85225
398,39.60475,-90.8492
399,39.60473,-90.84911
400,39.6047,-90.84771
401,39.60469,-90.8465
402,39.6047,-90.84649
403,39.6047,-90.84647
404,39.60472,-90.84643
405,39.60465,-90.83802
406,39.60464,-90.83763
407,39.60464,-90.83693
408,39.60463,-90.83646
409,39.60459,-90.82962
410,39.60458,-90.82915
411,39.60457,-90.82721
412,39.60458,-90.82716
413,39.60458,-90.82704
414,39.60459,-90.82694
