,Latitude,Longitude
0,33.0779,-106.02088
1,33.07783,-106.02087
2,33.07781,-106.02086
3,33.0778,-106.02085
4,33.07713,-106.02047
5,33.07712,-106.02046
6,33.07708,-106.02038
7,33.07703,-106.02036
8,33.07698,-106.02035
9,33.07688,-106.0203
10,33.07679,-106.02026
11,33.07654,-106.02013
12,33.07641,-106.02004
13,33.07568,-106.01959
14,33.07488,-106.01912
15,33.07171,-106.01721
16,33.07161,-106.01716
17,33.07128,-106.01692
18,33.07107,-106.01675
19,33.07061,-106.01634
20,33.07045,-106.01622
21,33.07017,-106.016
22,33.06956,-106.01565
23,33.06937,-106.01555
24,33.06929,-106.01552
25,33.06923,-106.01549
26,33.06892,-106.01538
27,33.0688,-106.01535
28,33.06871,-106.01532
29,33.06855,-106.01528
30,33.06853,-106.01528
31,33.06836,-106.01524
32,33.0681,-106.0152
33,33.06788,-106.01518
34,33.06765,-106.01517
35,33.06375,-106.01515
36,33.06318,-106.01516
37,33.06288,-106.01516
38,33.06216,-106.01514
39,33.06197,-106.01514
40,33.06149,-106.0151
41,33.0609,-106.01504
42,33.06019,-106.01492
43,33.05997,-106.01487
44,33.05971,-106.01482
45,33.05932,-106.01472
46,33.05886,-106.01459
47,33.0584,-106.01444
48,33.0579,-106.01425
49,33.05765,-106.01416
50,33.05741,-106.01406
51,33.0568,-106.01382
52,33.05336,-106.0124
53,33.04644,-106.00961
54,33.04135,-106.00752
55,33.04019,-106.00706
56,33.03292,-106.00409
57,33.0329,-106.00408
58,33.03057,-106.00313
59,33.02967,-106.00275
60,33.02924,-106.00259
61,33.02694,-106.00167
62,33.02044,-105.99899
63,33.01671,-105.9975
64,33.01385,-105.99632
65,33.01201,-105.99558
66,33.01065,-105.99502
67,33.00975,-105.99469
68,33.00618,-105.9932
69,33.00566,-105.99299
70,33.00449,-105.99254
71,33.00198,-105.99151
72,33.00196,-105.9915
73,32.98861,-105.98609
74,32.9856,-105.98483
75,32.98383,-105.98416
76,32.98246,-105.98361
77,32.97825,-105.98188
78,32.97489,-105.98053
79,32.97461,-105.98041
80,32.97283,-105.97968
81,32.97132,-105.97909
82,32.96905,-105.97813
83,32.95406,-105.97202
84,32.95103,-105.97081
85,32.94903,-105.96999
86,32.94765,-105.96944
87,32.94387,-105.96789
88,32.94328,-105.96766
89,32.94302,-105.96766
90,32.94296,-105.96767
91,32.94289,-105.96769
92,32.94283,-105.96771
93,32.94278,-105.96774
94,32.9426,-105.96786
95,32.94248,-105.96801
96,32.94246,-105.96802
97,32.94232,-105.96819
98,32.94215,-105.96837
99,32.94194,-105.96858
100,32.94194,-105.96859
101,32.94135,-105.96917
102,32.94073,-105.96974
103,32.9404,-105.97003
104,32.94034,-105.97009
105,32.93983,-105.97053
106,32.93969,-105.97066
107,32.93911,-105.97116
108,32.93903,-105.97122
109,32.93896,-105.97128
110,32.93891,-105.97133
111,32.93879,-105.97143
112,32.93866,-105.97152
113,32.93864,-105.97154
114,32.93851,-105.97163
115,32.93847,-105.97166
116,32.93829,-105.97177
117,32.9381,-105.97188
118,32.93792,-105.97196
119,32.9376,-105.97208
120,32.93747,-105.97212
121,32.93726,-105.97217
122,32.9372,-105.97219
123,32.93703,-105.97222
124,32.93691,-105.97223
125,32.93686,-105.97224
126,32.93673,-105.97225
127,32.93671,-105.97225
128,32.93653,-105.97226
129,32.93639,-105.97225
130,32.93629,-105.97225
131,32.93617,-105.97224
132,32.93604,-105.97222
133,32.93582,-105.97218
134,32.93561,-105.97213
135,32.93531,-105.97203
136,32.93377,-105.97142
137,32.93317,-105.97117
138,32.93225,-105.97083
139,32.93131,-105.97056
140,32.93105,-105.9705
141,32.93031,-105.97036
142,32.9299,-105.9703
143,32.92931,-105.97023
144,32.92884,-105.9702
145,32.92833,-105.97019
146,32.91758,-105.97021
147,32.91589,-105.97025
148,32.90907,-105.97027
149,32.90835,-105.97028
150,32.90638,-105.97028
151,32.90553,-105.97029
152,32.90262,-105.97029
153,32.90193,-105.9703
154,32.90016,-105.9703
155,32.89983,-105.97031
156,32.8997,-105.9703
157,32.89945,-105.97031
158,32.88571,-105.97033
159,32.88492,-105.97032
160,32.8842,-105.9703
161,32.88414,-105.97029
162,32.88384,-105.97026
163,32.88347,-105.97023
164,32.88313,-105.97018
165,32.88277,-105.97012
166,32.88269,-105.97011
167,32.88224,-105.97002
168,32.88214,-105.97002
169,32.88153,-105.96987
170,32.88088,-105.96966
171,32.88039,-105.96947
172,32.87938,-105.96906
173,32.87837,-105.96855
174,32.87801,-105.96836
175,32.87727,-105.9679
176,32.87648,-105.96732
177,32.87608,-105.96701
178,32.8752,-105.96623
179,32.87516,-105.9662
180,32.87493,-105.966
181,32.87477,-105.96588
182,32.87458,-105.96576
183,32.87391,-105.96541
184,32.8738,-105.96536
185,32.87354,-105.96523
186,32.87341,-105.96519
187,32.8733,-105.96515
188,32.87312,-105.96512
189,32.87296,-105.96512
190,32.87282,-105.96514
191,32.87261,-105.96519
192,32.87078,-105.96571
193,32.87023,-105.96588
