,Latitude,Longitude
0,34.70673,-94.45524
1,34.70743,-94.45888
2,34.70773,-94.46119
3,34.70783,-94.46485
4,34.70783,-94.4696
5,34.70803,-94.47386
6,34.70873,-94.47885
7,34.70883,-94.48311
8,34.70873,-94.48713
9,34.70853,-94.48871
10,34.70723,-94.49382
11,34.70572,-94.49991
12,34.70532,-94.50247
13,34.70512,-94.50503
14,34.70522,-94.50807
15,34.70572,-94.51513
16,34.70632,-94.52329
17,34.70652,-94.52585
18,34.70622,-94.52817
19,34.70571,-94.53182
20,34.70561,-94.53414
21,34.70611,-94.53706
22,34.70741,-94.54193
23,34.70834,-94.54575
24,34.70984,-94.54856
25,34.71394,-94.55428
26,34.71724,-94.55867
27,34.72114,-94.56269
28,34.72334,-94.56538
29,34.72524,-94.56879
30,34.72834,-94.57342
31,34.73054,-94.57659
32,34.73244,-94.58001
33,34.73334,-94.58293
34,34.73374,-94.58635
35,34.7339,-94.59215
36,34.73389,-94.59654
37,34.73359,-94.59946
38,34.73359,-94.60116
39,34.73379,-94.60324
40,34.73448,-94.60579
41,34.73538,-94.60884
42,34.73598,-94.6125
43,34.73677,-94.61603
44,34.73887,-94.62115
45,34.74007,-94.6231
46,34.74117,-94.62456
47,34.74297,-94.62578
48,34.74547,-94.62664
49,34.74837,-94.6275
50,34.74967,-94.62811
51,34.75037,-94.62799
52,34.75238,-94.62702
53,34.75478,-94.62398
54,34.75568,-94.62349
55,34.75668,-94.62313
56,34.75799,-94.62326
57,34.76029,-94.62436
58,34.76149,-94.62521
59,34.76249,-94.62729
60,34.76398,-94.63046
61,34.76448,-94.63241
62,34.76468,-94.63619
63,34.76497,-94.63936
64,34.76607,-94.64204
65,34.76697,-94.64338
66,34.76867,-94.64436
67,34.76969,-94.6446
68,34.77139,-94.64412
69,34.77289,-94.64278
70,34.7752,-94.64108
71,34.7774,-94.64011
72,34.7784,-94.63999
73,34.7803,-94.64036
74,34.79131,-94.64257
75,34.79451,-94.64307
76,34.80062,-94.64296
77,34.80262,-94.64333
78,34.80852,-94.64444
79,34.82083,-94.64471
80,34.82253,-94.64447
81,34.82413,-94.6435
82,34.82534,-94.64191
83,34.82624,-94.63972
84,34.82644,-94.63801
85,34.82645,-94.63619
86,34.82685,-94.63436
87,34.82695,-94.63277
88,34.82785,-94.63119
89,34.82876,-94.63034
90,34.82966,-94.63022
91,34.83186,-94.63071
92,34.83946,-94.63267
93,34.84096,-94.63317
94,34.84676,-94.63208
95,34.85567,-94.63027
96,34.85788,-94.62954
97,34.85998,-94.62832
98,34.86218,-94.62662
99,34.86459,-94.62357
100,34.8666,-94.62126
101,34.8691,-94.61895
102,34.87121,-94.61724
103,34.87273,-94.61517
104,34.87353,-94.61359
105,34.87514,-94.6092
106,34.87654,-94.60737
107,34.87785,-94.60615
108,34.87972,-94.6053
109,34.88153,-94.60494
110,34.88613,-94.60409
111,34.89174,-94.603
112,34.89244,-94.60276
113,34.89354,-94.60276
114,34.89474,-94.60301
115,34.89754,-94.60301
116,34.90525,-94.60302
117,34.90755,-94.60352
118,34.90925,-94.60437
119,34.91095,-94.60621
120,34.91215,-94.60792
121,34.91275,-94.61024
122,34.91295,-94.6128
123,34.91314,-94.61573
124,34.91394,-94.61805
125,34.91484,-94.61927
126,34.91714,-94.62099
127,34.91992,-94.62267
128,34.92482,-94.62524
129,34.93002,-94.62708
130,34.93492,-94.62819
131,34.93883,-94.62856
132,34.94754,-94.6287
133,34.95149,-94.62871
134,34.95349,-94.62908
135,34.95609,-94.63055
136,34.95899,-94.63263
137,34.96269,-94.63606
138,34.96599,-94.63753
139,34.9683,-94.63815
140,34.9702,-94.63827
141,34.9765,-94.63767
142,34.97871,-94.63756
143,34.98121,-94.63781
144,34.98421,-94.63904
145,34.98714,-94.64049
146,34.99224,-94.64453
147,34.99474,-94.64588
148,34.99654,-94.64625
149,34.99915,-94.64613
150,35.00085,-94.64553
151,35.00395,-94.64419
152,35.00596,-94.64395
153,35.00906,-94.64432
154,35.01716,-94.64617
155,35.02017,-94.64655
156,35.02587,-94.64656
157,35.0354,-94.64662
158,35.03911,-94.64161
159,35.04363,-94.63575
160,35.04852,-94.6292
161,35.05544,-94.62212
162,35.05721,-94.6205
163,35.05962,-94.62026
164,35.0626,-94.62026
165,35.0644,-94.62173
166,35.0668,-94.62504
167,35.0688,-94.62725
168,35.0703,-94.62811
169,35.0724,-94.62884
170,35.07641,-94.62897
171,35.07891,-94.62898
172,35.08301,-94.62972
173,35.09142,-94.63133
174,35.09863,-94.63257
175,35.10073,-94.63367
176,35.10203,-94.63502
177,35.12502,-94.66136
178,35.12642,-94.66283
179,35.13191,-94.66701
180,35.13712,-94.67045
181,35.14002,-94.6718
182,35.14312,-94.67255
183,35.14823,-94.67256
184,35.15994,-94.67259
185,35.17023,-94.67272
186,35.17333,-94.67272
187,35.17574,-94.67322
188,35.17984,-94.67347
189,35.18825,-94.67325
190,35.19416,-94.67314
191,35.19856,-94.67315
192,35.20337,-94.67292
193,35.20917,-94.67269
194,35.22179,-94.67272
195,35.23831,-94.67293
196,35.23846,-94.68154
197,35.23815,-94.68411
198,35.23744,-94.6884
199,35.23633,-94.6933
200,35.23583,-94.69698
201,35.23552,-94.69943
202,35.23551,-94.70347
203,35.2361,-94.71107
204,35.23677,-94.72407
205,35.23787,-94.72901
206,35.23976,-94.73613
207,35.24065,-94.73785
208,35.24295,-94.74104
209,35.25472,-94.75775
210,35.25712,-94.76132
211,35.26097,-94.76124
212,35.26247,-94.76112
213,35.26848,-94.7609
214,35.31012,-94.76092
215,35.33355,-94.76119
216,35.33545,-94.76155
217,35.33775,-94.76266
218,35.34156,-94.76524
219,35.35006,-94.77089
220,35.3574,-94.77592
221,35.3591,-94.77752
222,35.3611,-94.77998
223,35.37741,-94.80124
224,35.38084,-94.80608
225,35.38534,-94.81198
226,35.38644,-94.81345
227,35.38744,-94.81419
228,35.38884,-94.81468
229,35.39034,-94.81468
230,35.39504,-94.81407
231,35.39624,-94.81395
232,35.39755,-94.8142
233,35.39905,-94.81457
234,35.40065,-94.81494
235,35.40235,-94.8147
236,35.40415,-94.81384
237,35.40535,-94.81237
238,35.40636,-94.81016
239,35.40716,-94.80844
240,35.40826,-94.80709
241,35.40986,-94.80598
242,35.41156,-94.80562
243,35.41587,-94.80575
244,35.427,-94.80576
245,35.4325,-94.80576
246,35.44251,-94.80553
247,35.44732,-94.80541
248,35.45112,-94.8059
249,35.45534,-94.80674
250,35.45785,-94.80735
251,35.45915,-94.80736
252,35.45995,-94.80723
253,35.45995,-94.8017
254,35.46026,-94.79396
255,35.46046,-94.78696
256,35.46268,-94.78619
257,35.46792,-94.78396
258,35.46902,-94.78371
259,35.47366,-94.78358
260,35.47536,-94.78309
261,35.49168,-94.77769
262,35.5106,-94.77131
263,35.5125,-94.77057
264,35.51421,-94.76971
265,35.52181,-94.76406
266,35.52802,-94.75951
267,35.53406,-94.75501
268,35.53516,-94.75403
269,35.53776,-94.75009
270,35.54397,-94.73989
271,35.54567,-94.73743
272,35.54797,-94.73497
273,35.55908,-94.7234
274,35.56383,-94.7186
275,35.56513,-94.71749
276,35.56653,-94.71676
277,35.57014,-94.71614
278,35.57564,-94.71528
279,35.58015,-94.71466
280,35.58245,-94.71368
281,35.58515,-94.71146
