,Latitude,Longitude
0,39.55933,-95.11518
1,39.55928,-95.10766
2,39.55931,-95.1058
3,39.5593,-95.10565
4,39.55922,-95.10513
5,39.55925,-95.105
6,39.55917,-95.10477
7,39.55907,-95.10453
8,39.55891,-95.10419
9,39.55878,-95.10395
10,39.55854,-95.10356
11,39.55781,-95.10248
12,39.55767,-95.1022
13,39.55761,-95.10209
14,39.55745,-95.10174
15,39.55739,-95.10158
16,39.55718,-95.10086
17,39.55708,-95.1003
18,39.55704,-95.09989
19,39.55702,-95.09932
20,39.55662,-95.04598
21,39.55672,-95.04594
22,39.57112,-95.04118
23,39.57125,-95.04113
24,39.57884,-95.03861
25,39.57936,-95.03847
26,39.57947,-95.03845
27,39.5798,-95.03837
28,39.57991,-95.03834
29,39.58024,-95.03826
30,39.58044,-95.03819
31,39.58055,-95.03816
32,39.58086,-95.03804
33,39.58147,-95.03775
34,39.58197,-95.03745
35,39.58235,-95.03719
36,39.59296,-95.02852
37,39.59345,-95.02816
38,39.59365,-95.02803
39,39.59374,-95.02795
40,39.59424,-95.02763
41,39.59434,-95.02758
42,39.59444,-95.02752
43,39.59454,-95.02746
44,39.59463,-95.02741
45,39.59823,-95.02543
46,39.60328,-95.02275
47,39.60362,-95.02254
48,39.60403,-95.02226
49,39.60432,-95.02204
50,39.60464,-95.02177
51,39.60496,-95.02146
52,39.60522,-95.0212
53,39.60526,-95.02115
54,39.60536,-95.02105
55,39.60569,-95.02067
56,39.60574,-95.02058
57,39.60598,-95.0203
58,39.60605,-95.02019
59,39.61156,-95.01318
60,39.61175,-95.01293
61,39.6118,-95.01285
62,39.61186,-95.01277
63,39.6119,-95.01268
64,39.61198,-95.01259
65,39.61232,-95.01204
66,39.6534,-94.93553
67,39.65673,-94.92945
68,39.65679,-94.92936
69,39.65684,-94.92926
70,39.65694,-94.92912
71,39.657,-94.92905
72,39.65705,-94.92897
73,39.6572,-94.92877
74,39.65727,-94.92869
75,39.65733,-94.92861
76,39.65759,-94.92833
77,39.65862,-94.92734
78,39.65894,-94.92698
79,39.65907,-94.92682
80,39.65913,-94.92674
81,39.6592,-94.92665
82,39.65933,-94.92646
83,39.65961,-94.92601
84,39.65973,-94.92579
85,39.65986,-94.92552
86,39.66012,-94.92487
87,39.66028,-94.92437
88,39.66054,-94.9234
89,39.66054,-94.92339
90,39.66119,-94.92092
91,39.66126,-94.92068
92,39.6614,-94.92031
93,39.66146,-94.92017
94,39.66148,-94.92011
95,39.66175,-94.91954
96,39.6621,-94.91895
97,39.66251,-94.91839
98,39.66284,-94.91803
99,39.66314,-94.91773
100,39.66345,-94.9175
101,39.66372,-94.91731
102,39.66412,-94.91707
103,39.66433,-94.91697
104,39.66443,-94.91693
105,39.66453,-94.91688
106,39.66488,-94.91676
107,39.66617,-94.91642
108,39.66649,-94.9163
109,39.66682,-94.91614
110,39.66697,-94.91607
111,39.66742,-94.91579
112,39.66769,-94.91558
113,39.66801,-94.9153
114,39.69071,-94.89418
115,39.6909,-94.894
116,39.69338,-94.89167
117,39.69363,-94.8914
118,39.69415,-94.8908
119,39.69476,-94.89018
120,39.69917,-94.88608
121,39.69947,-94.88583
122,39.7004,-94.88513
123,39.7005,-94.88504
124,39.70059,-94.88497
125,39.70091,-94.88468
126,39.71089,-94.87539
127,39.71119,-94.87509
128,39.71135,-94.8749
129,39.71154,-94.87466
130,39.71175,-94.87435
131,39.7119,-94.87409
132,39.7122,-94.87345
133,39.71241,-94.87291
134,39.7126,-94.87249
135,39.71281,-94.8721
136,39.71289,-94.87197
137,39.71313,-94.87164
138,39.71327,-94.87147
139,39.71789,-94.86716
140,39.71807,-94.86696
141,39.71822,-94.86684
142,39.71942,-94.86571
143,39.71943,-94.8655
144,39.72595,-94.8594
145,39.72651,-94.85921
146,39.72659,-94.85919
147,39.72668,-94.85914
148,39.7311,-94.85572
149,39.73378,-94.85361
150,39.73467,-94.85294
151,39.73478,-94.85287
152,39.73486,-94.85284
153,39.73492,-94.85281
154,39.73506,-94.85276
155,39.73525,-94.85272
156,39.73546,-94.8527
157,39.73887,-94.85281
158,39.74165,-94.85284
159,39.74177,-94.85275
160,39.74179,-94.85272
161,39.74182,-94.85271
162,39.7419,-94.85267
163,39.74221,-94.85248
164,39.7424,-94.85239
165,39.74255,-94.85236
166,39.74271,-94.85236
167,39.74275,-94.85236
168,39.74282,-94.85238
169,39.74287,-94.85239
170,39.74291,-94.85241
171,39.74302,-94.85246
172,39.74307,-94.8525
173,39.7431,-94.85251
174,39.74322,-94.8526
175,39.74366,-94.85306
176,39.74382,-94.85319
177,39.74398,-94.85328
178,39.74408,-94.85333
179,39.74415,-94.85335
180,39.74472,-94.85347
181,39.75096,-94.85347
182,39.75119,-94.85348
183,39.75156,-94.85357
184,39.75195,-94.85369
185,39.75225,-94.85381
186,39.75239,-94.85388
187,39.75271,-94.85409
188,39.7529,-94.85423
189,39.75449,-94.85563
190,39.75475,-94.85584
191,39.75508,-94.85606
192,39.75563,-94.85632
193,39.75586,-94.8564
194,39.75613,-94.85645
195,39.75716,-94.85662
196,39.75749,-94.85666
197,39.75857,-94.85687
198,39.75973,-94.8572
199,39.76018,-94.85736
200,39.76063,-94.85754
201,39.76146,-94.85791
202,39.76174,-94.85805
203,39.76415,-94.85935
204,39.76426,-94.8594
205,39.76614,-94.8604
206,39.76675,-94.86067
207,39.76722,-94.86086
208,39.76806,-94.8611
209,39.76852,-94.86119
210,39.76921,-94.86127
211,39.76932,-94.86121
212,39.76935,-94.8612
213,39.76946,-94.86118
214,39.76966,-94.86116
215,39.7699,-94.86111
216,39.77029,-94.86099
217,39.77041,-94.86094
218,39.77058,-94.86084
219,39.77083,-94.86067
220,39.77103,-94.86052
221,39.77168,-94.85988
222,39.77214,-94.85939
223,39.77274,-94.85888
224,39.77657,-94.85605
225,39.77743,-94.85536
226,39.77753,-94.85534
227,39.77822,-94.85476
228,39.77855,-94.85445
229,39.77976,-94.85344
230,39.78054,-94.85281
231,39.78305,-94.85069
232,39.78316,-94.85061
233,39.78325,-94.85056
234,39.78329,-94.85055
235,39.78329,-94.85054
236,39.78336,-94.85053
237,39.78341,-94.8505
238,39.78346,-94.8505
239,39.78356,-94.8505
240,39.78415,-94.85052
241,39.78457,-94.85052
242,39.78469,-94.85048
243,39.78498,-94.85039
244,39.78594,-94.85012
245,39.78698,-94.84981
246,39.78765,-94.84963
247,39.78789,-94.84954
248,39.78807,-94.84944
249,39.78819,-94.84936
250,39.78835,-94.84926
251,39.7896,-94.84831
252,39.79066,-94.84754
253,39.79172,-94.84673
254,39.79189,-94.84663
255,39.79256,-94.84644
256,39.79354,-94.8462
257,39.79369,-94.84614
258,39.7956,-94.84564
259,39.79592,-94.84556
260,39.7981,-94.84502
261,39.79909,-94.84482
262,39.7995,-94.84471
263,39.79976,-94.84457
264,39.8002,-94.8443
265,39.80297,-94.84245
266,39.80301,-94.84237
267,39.80395,-94.84175
268,39.80421,-94.84161
269,39.80472,-94.84135
270,39.80513,-94.8412
271,39.80564,-94.84104
272,39.80615,-94.84093
273,39.8064,-94.84089
274,39.81419,-94.84038
275,39.81441,-94.84038
276,39.81474,-94.84034
277,39.81616,-94.84023
278,39.8163,-94.84022
279,39.81657,-94.84016
280,39.81674,-94.84011
281,39.81685,-94.8401
282,39.81706,-94.83996
283,39.81733,-94.83976
284,39.8176,-94.8395
285,39.81771,-94.83936
286,39.81782,-94.83924
287,39.81804,-94.83893
288,39.8182,-94.83861
289,39.81834,-94.83826
290,39.81842,-94.83803
291,39.81853,-94.83761
292,39.81878,-94.83638
293,39.81893,-94.83593
294,39.81903,-94.83571
295,39.81923,-94.83535
296,39.81944,-94.83505
297,39.81965,-94.83484
298,39.81989,-94.83463
299,39.82008,-94.8345
300,39.8203,-94.83439
301,39.82059,-94.83428
302,39.82086,-94.83424
303,39.82098,-94.83423
304,39.82147,-94.83424
305,39.82207,-94.83423
306,39.82244,-94.83424
307,39.82259,-94.83423
308,39.825,-94.83419
309,39.82671,-94.83413
310,39.82709,-94.83408
311,39.82748,-94.83399
312,39.82792,-94.83387
313,39.82839,-94.83371
314,39.82875,-94.83355
315,39.82909,-94.83337
316,39.82946,-94.8331
317,39.82959,-94.833
318,39.8297,-94.83287
319,39.82993,-94.83255
320,39.8301,-94.83221
321,39.83022,-94.8319
322,39.83027,-94.83171
323,39.83031,-94.83149
324,39.83049,-94.83016
325,39.83056,-94.8298
326,39.83081,-94.82888
327,39.83088,-94.82853
328,39.83091,-94.82831
329,39.83096,-94.82774
330,39.83096,-94.82735
331,39.83095,-94.82715
332,39.8309,-94.82668
333,39.83077,-94.82588
334,39.83041,-94.82422
335,39.83009,-94.82299
336,39.83006,-94.82283
337,39.83,-94.82233
338,39.82999,-94.82194
339,39.83,-94.8217
340,39.83004,-94.82131
341,39.83007,-94.82111
342,39.83021,-94.82057
343,39.8312,-94.81779
344,39.8312,-94.81767
345,39.83175,-94.816
346,39.83179,-94.8159
347,39.83188,-94.81571
348,39.83201,-94.81573
