,Latitude,Longitude
0,41.57685,-87.52474
1,41.57351,-87.51144
2,41.57335,-87.45407
3,41.56978,-87.43315
4,41.56879,-87.36152
5,41.56718,-87.31138
6,41.57297,-87.2719
7,41.58284,-87.24252
8,41.55013,-87.24092
9,41.54875,-87.01441
10,41.55137,-87.00314
11,41.54835,-86.99166
12,41.5475,-86.94807
13,41.54462,-86.93032
14,41.53903,-86.90811
15,41.53371,-86.89476
16,41.51691,-86.89316
17,41.51738,-86.83096
18,41.51496,-86.81397
19,41.51748,-86.70008
20,41.51299,-86.69247
21,41.47948,-86.67873
22,41.47728,-86.6737
23,41.47608,-86.66495
24,41.47584,-86.6319
25,41.47621,-86.59072
26,41.47578,-86.53872
27,41.47154,-86.51463
28,41.46797,-86.50507
29,41.46791,-86.48428
30,41.45096,-86.46315
31,41.45135,-86.44305
32,41.44726,-86.43671
33,41.44906,-86.20978
34,41.45967,-86.19116
35,41.46043,-86.1459
36,41.45322,-86.12886
37,41.45275,-86.10059
38,41.44741,-86.08361
39,41.44363,-85.99965
40,41.44335,-85.92444
41,41.44583,-85.91442
42,41.44687,-85.9069
43,41.44941,-85.89247
44,41.45238,-85.55591
45,41.45341,-85.54774
46,41.45984,-85.51501
47,41.4576,-85.50624
48,41.45653,-85.47891
49,41.45292,-85.46818
50,41.45352,-85.41051
51,41.45124,-85.40611
52,41.45363,-85.39986
53,41.45175,-85.25247
54,41.44388,-85.21957
55,41.44408,-85.19628
56,41.43671,-85.17993
57,41.43919,-85.04093
58,41.43276,-85.02265
59,41.43381,-85.00507
60,41.42966,-84.99564
61,41.43043,-84.87151
62,41.43101,-84.8508
63,41.43871,-84.80405
