,Latitude,Longitude
0,41.3715,-74.69764
1,41.37196,-74.69685
2,41.37261,-74.69626
3,41.37507,-74.69296
4,41.37779,-74.68903
5,41.37702,-74.68717
6,41.37578,-74.68501
7,41.3751,-74.6844
8,41.37158,-74.68203
9,41.37089,-74.68203
10,41.36707,-74.68273
11,41.36208,-74.68533
12,41.36137,-74.68536
13,41.35651,-74.68209
14,41.35588,-74.67902
15,41.35609,-74.67792
16,41.35657,-74.67665
17,41.35847,-74.67279
18,41.3592,-74.67097
19,41.35987,-74.66766
20,41.35991,-74.66532
21,41.36014,-74.66432
22,41.36099,-74.66277
23,41.36264,-74.66122
24,41.36394,-74.65925
25,41.36504,-74.65688
26,41.36717,-74.65145
27,41.37081,-74.64668
28,41.37166,-74.64525
29,41.37266,-74.64301
30,41.37433,-74.64024
31,41.37509,-74.63833
32,41.37621,-74.63405
33,41.37626,-74.63295
34,41.37568,-74.63007
35,41.37509,-74.62764
36,41.37431,-74.62554
37,41.37404,-74.62247
38,41.37406,-74.62047
39,41.37335,-74.6198
40,41.37175,-74.61901
41,41.37072,-74.61761
42,41.37049,-74.61707
43,41.36987,-74.61488
44,41.36921,-74.61005
45,41.36614,-74.60495
46,41.36424,-74.60134
47,41.36401,-74.60043
48,41.36429,-74.59745
49,41.36461,-74.59608
50,41.36552,-74.59402
51,41.36838,-74.58989
52,41.36918,-74.58767
53,41.36966,-74.5836
54,41.37071,-74.57862
55,41.37918,-74.5428
56,41.37938,-74.54158
57,41.37899,-74.53952
58,41.37886,-74.53809
59,41.37895,-74.53694
60,41.38047,-74.53335
61,41.38203,-74.53125
62,41.38336,-74.52882
63,41.38479,-74.52262
64,41.39043,-74.49004
65,41.39133,-74.48412
66,41.39161,-74.48105
67,41.39149,-74.47829
68,41.3901,-74.47349
69,41.39006,-74.47239
70,41.39072,-74.46981
71,41.3913,-74.46822
72,41.39235,-74.46647
73,41.39345,-74.46523
74,41.39844,-74.46098
75,41.39915,-74.46001
76,41.40222,-74.45451
77,41.40328,-74.4521
78,41.40392,-74.4488
79,41.40415,-74.44643
80,41.40497,-74.44363
81,41.40591,-74.44254
82,41.40713,-74.44196
83,41.4115,-74.44166
84,41.41324,-74.44032
85,41.41477,-74.43884
86,41.41871,-74.43285
87,41.41937,-74.43115
88,41.42017,-74.42754
89,41.41761,-74.42611
90,41.41356,-74.42171
91,41.41192,-74.41969
92,41.40984,-74.41595
93,41.40915,-74.41425
94,41.4078,-74.40964
95,41.40739,-74.40569
96,41.40691,-74.40334
97,41.40636,-74.4017
98,41.4051,-74.39896
99,41.40339,-74.39271
100,41.39893,-74.38276
101,41.39838,-74.38058
102,41.39749,-74.37456
103,41.39728,-74.37167
104,41.39746,-74.36523
105,41.39829,-74.34889
106,41.3984,-74.34159
107,41.39753,-74.33934
108,41.39636,-74.33798
109,41.39283,-74.33151
110,41.39174,-74.32814
111,41.39114,-74.32243
112,41.39073,-74.32094
113,41.3902,-74.31972
114,41.38227,-74.30588
115,41.37873,-74.29905
116,41.37724,-74.29683
117,41.37632,-74.2958
118,41.3747,-74.29422
119,41.37156,-74.29228
120,41.36991,-74.29165
121,41.36668,-74.29001
122,41.36069,-74.28747
123,41.35952,-74.28683
124,41.35499,-74.28508
125,41.3538,-74.2842
126,41.35245,-74.28241
127,41.35169,-74.28123
128,41.35059,-74.27859
129,41.35013,-74.27683
130,41.34981,-74.27449
131,41.34985,-74.27206
132,41.35026,-74.26942
133,41.35396,-74.26027
134,41.35458,-74.25839
135,41.35501,-74.25618
136,41.35496,-74.25229
137,41.34656,-74.22388
138,41.3459,-74.22125
139,41.34547,-74.21754
140,41.34561,-74.21521
141,41.34754,-74.20331
142,41.34759,-74.201
143,41.34736,-74.19891
144,41.34474,-74.18837
145,41.34405,-74.18637
146,41.34092,-74.1812
147,41.33164,-74.1679
148,41.32974,-74.16487
149,41.32494,-74.15567
150,41.32226,-74.15168
151,41.32096,-74.14923
152,41.31993,-74.14673
153,41.31853,-74.14255
154,41.30918,-74.13115
155,41.30725,-74.12799
156,41.30664,-74.12455
157,41.30673,-74.1231
158,41.30744,-74.1207
159,41.30856,-74.11882
160,41.31012,-74.11698
161,41.31169,-74.11454
162,41.31227,-74.11323
163,41.31398,-74.10756
164,41.31457,-74.1062
165,41.31556,-74.10456
166,41.31702,-74.10264
167,41.31957,-74.09968
168,41.32027,-74.09566
169,41.32063,-74.08972
170,41.32296,-74.07701
171,41.32305,-74.0753
172,41.32276,-74.07348
173,41.31904,-74.06441
174,41.31856,-74.0625
175,41.31783,-74.05737
176,41.31693,-74.05467
177,41.31494,-74.05213
178,41.31421,-74.05158
179,41.31343,-74.05121
180,41.30911,-74.05055
181,41.30847,-74.05013
182,41.30734,-74.04891
183,41.30691,-74.04806
184,41.30636,-74.04512
185,41.30649,-74.04063
186,41.30629,-74.03887
187,41.30546,-74.03563
188,41.3058,-74.03523
189,41.30566,-74.03448
190,41.30616,-74.03262
191,41.30667,-74.02816
192,41.30779,-74.02631
193,41.31124,-74.02242
194,41.31188,-74.02136
195,41.31309,-74.01854
196,41.31416,-74.01708
197,41.31562,-74.0161
198,41.31784,-74.01537
199,41.3193,-74.01452
200,41.32056,-74.01321
201,41.32145,-74.01148
202,41.32195,-74.00911
203,41.32181,-74.00632
204,41.32195,-74.00423
205,41.32211,-74.0031
206,41.32313,-74.00007
207,41.32316,-73.99825
208,41.32282,-73.99597
