,Latitude,Longitude
0,41.71474,-80.51941
1,41.71312,-80.51462
2,41.71236,-80.51199
3,41.71201,-80.50997
4,41.71161,-80.50892
5,41.71091,-80.50786
6,41.69851,-80.49442
7,41.69115,-80.49035
8,41.68327,-80.48665
9,41.68221,-80.48584
10,41.68134,-80.48459
11,41.67286,-80.47027
12,41.67239,-80.46878
13,41.67154,-80.46324
14,41.67072,-80.45426
15,41.66685,-80.44191
16,41.66632,-80.44063
17,41.66161,-80.43241
18,41.65627,-80.42427
19,41.65592,-80.40354
20,41.63502,-80.38851
21,41.63221,-80.38675
22,41.63156,-80.38605
23,41.63123,-80.38518
24,41.63104,-80.3833
25,41.63069,-80.38224
26,41.62288,-80.36839
27,41.61887,-80.35161
28,41.61653,-80.34402
29,41.61458,-80.33949
30,41.61185,-80.33384
31,41.60967,-80.33028
32,41.605,-80.31844
33,41.60349,-80.31332
34,41.60316,-80.29719
35,41.60346,-80.29362
36,41.60423,-80.29082
37,41.60709,-80.28345
38,41.60924,-80.27903
39,41.61009,-80.27687
40,41.61242,-80.26854
41,41.61325,-80.26476
42,41.614,-80.26044
43,41.61465,-80.2522
44,41.61426,-80.24357
45,41.61437,-80.24172
46,41.61695,-80.22918
47,41.61953,-80.21813
48,41.62311,-80.20113
49,41.62466,-80.19674
50,41.62543,-80.19224
51,41.6252,-80.19018
52,41.62348,-80.18601
53,41.62299,-80.18411
54,41.62138,-80.17265
55,41.62014,-80.16615
56,41.6203,-80.16416
57,41.62077,-80.16198
58,41.62125,-80.16058
59,41.62229,-80.15906
60,41.62316,-80.15843
61,41.62843,-80.15636
62,41.62947,-80.15659
63,41.63126,-80.1578
64,41.63276,-80.15819
65,41.63354,-80.15818
66,41.64601,-80.15574
67,41.64858,-80.15583
68,41.65127,-80.15632
69,41.65622,-80.15842
70,41.65812,-80.15969
71,41.66373,-80.16438
72,41.66552,-80.16567
73,41.66873,-80.16753
74,41.67286,-80.16929
75,41.67432,-80.16952
76,41.67583,-80.16913
77,41.67694,-80.1685
78,41.67879,-80.16712
79,41.68048,-80.16621
80,41.6844,-80.16451
81,41.68647,-80.16323
82,41.69183,-80.159
83,41.70013,-80.15135
84,41.7054,-80.14785
85,41.70841,-80.14534
