,Latitude,Longitude
0,36.82458,-94.61843
1,36.82462,-94.61776
2,36.82462,-94.61743
3,36.82463,-94.61714
4,36.82455,-94.61378
5,36.82423,-94.60326
6,36.82419,-94.60143
7,36.82327,-94.56926
8,36.82327,-94.56904
9,36.82314,-94.56477
10,36.82314,-94.56455
11,36.82305,-94.56118
12,36.82303,-94.56069
13,36.82297,-94.55832
14,36.82291,-94.55676
15,36.82288,-94.55557
16,36.82287,-94.55453
17,36.8229,-94.55377
18,36.82292,-94.55353
19,36.823,-94.55289
20,36.82306,-94.55253
21,36.82314,-94.55213
22,36.8232,-94.55187
23,36.82333,-94.55139
24,36.82344,-94.55103
25,36.82373,-94.55023
26,36.82375,-94.55019
27,36.82383,-94.54999
28,36.824,-94.5496
29,36.82486,-94.54781
30,36.82547,-94.54659
31,36.82558,-94.54635
32,36.82575,-94.546
33,36.82605,-94.5453
34,36.82632,-94.54458
35,36.82645,-94.54419
36,36.82656,-94.54383
37,36.82665,-94.5435
38,36.82681,-94.54286
39,36.82686,-94.54257
40,36.82688,-94.54249
41,36.82709,-94.54125
42,36.82709,-94.54123
43,36.82738,-94.53943
44,36.82746,-94.53898
45,36.82997,-94.52344
46,36.83,-94.52322
47,36.83047,-94.52039
48,36.83061,-94.51946
49,36.8333,-94.50284
50,36.8334,-94.50227
51,36.83463,-94.49464
52,36.83464,-94.49454
53,36.83592,-94.48661
54,36.83606,-94.48557
55,36.83614,-94.4849
56,36.83621,-94.48417
57,36.83632,-94.4827
58,36.83661,-94.47778
59,36.83667,-94.47656
60,36.83668,-94.47647
61,36.83684,-94.47355
62,36.83686,-94.47329
63,36.83762,-94.46004
64,36.83764,-94.45978
65,36.83881,-94.43998
66,36.83882,-94.43972
67,36.83903,-94.43613
68,36.83905,-94.43588
69,36.83992,-94.42089
70,36.83993,-94.4208
71,36.84007,-94.41843
72,36.84008,-94.41817
73,36.84009,-94.41811
74,36.84006,-94.41796
75,36.84006,-94.41784
76,36.84005,-94.41756
77,36.84005,-94.41697
78,36.84023,-94.41387
79,36.84023,-94.41375
80,36.84025,-94.41356
81,36.84026,-94.41334
82,36.84033,-94.41282
83,36.84035,-94.41259
84,36.84039,-94.41187
85,36.84039,-94.41175
86,36.8405,-94.41
87,36.84058,-94.40897
88,36.84071,-94.40701
89,36.84078,-94.40647
90,36.84088,-94.4046
91,36.84091,-94.40362
92,36.841,-94.4021
93,36.84102,-94.40187
94,36.84106,-94.40112
95,36.84112,-94.40031
96,36.84112,-94.40024
97,36.84115,-94.40011
98,36.84126,-94.3982
99,36.84125,-94.39806
100,36.84135,-94.39576
101,36.84137,-94.39546
102,36.84142,-94.39441
103,36.84146,-94.39396
104,36.84149,-94.39323
105,36.84159,-94.39172
106,36.8416,-94.39133
107,36.84166,-94.39044
108,36.84166,-94.39039
109,36.84172,-94.38968
110,36.84173,-94.38966
111,36.84173,-94.38964
112,36.84175,-94.38952
113,36.84183,-94.38833
114,36.84189,-94.38714
115,36.84201,-94.38543
116,36.84205,-94.385
117,36.84213,-94.38439
