,Latitude,Longitude
0,36.97824,-89.14751
1,36.97826,-89.14752
2,36.97887,-89.14773
3,36.97939,-89.14791
4,36.97992,-89.14809
5,36.98026,-89.14821
6,36.98078,-89.14838
7,36.98113,-89.1485
8,36.98148,-89.14862
9,36.982,-89.1488
10,36.98315,-89.1492
11,36.98367,-89.14938
12,36.98543,-89.14997
13,36.98559,-89.15003
14,36.98597,-89.15016
15,36.98617,-89.15023
16,36.98633,-89.15028
17,36.9865,-89.15034
18,36.98665,-89.1504
19,36.98679,-89.15047
20,36.98684,-89.15048
21,36.98685,-89.15048
22,36.98686,-89.15048
23,36.98691,-89.1505
24,36.98701,-89.15055
25,36.98714,-89.15063
26,36.98726,-89.15071
27,36.9874,-89.1508
28,36.9875,-89.15087
29,36.98759,-89.15093
30,36.98771,-89.15103
31,36.98784,-89.15114
32,36.98796,-89.15125
33,36.98812,-89.15141
34,36.98835,-89.15164
35,36.98841,-89.15159
36,36.98857,-89.15145
37,36.98864,-89.15139
38,36.98887,-89.15114
39,36.98901,-89.15099
40,36.98915,-89.15085
41,36.99024,-89.14968
42,36.99036,-89.14955
43,36.99077,-89.14911
44,36.99115,-89.14871
45,36.99129,-89.14855
