,Latitude,Longitude
0,35.22203,-101.82629
1,35.22208,-101.82647
2,35.22208,-101.82725
3,35.22208,-101.82772
4,35.22208,-101.82901
5,35.22207,-101.82953
6,35.22207,-101.83029
7,35.22198,-101.83031
8,35.22119,-101.83048
9,35.22072,-101.83057
10,35.21958,-101.83079
11,35.21854,-101.831
12,35.21751,-101.83121
13,35.21677,-101.83136
14,35.21649,-101.83141
15,35.21579,-101.83155
16,35.21546,-101.83158
17,35.21519,-101.83162
18,35.21501,-101.83165
19,35.21498,-101.83166
20,35.21448,-101.83175
21,35.21445,-101.83176
22,35.2143,-101.83179
23,35.21412,-101.83182
24,35.21395,-101.83186
25,35.21382,-101.83188
26,35.21377,-101.83189
27,35.21359,-101.83193
28,35.21324,-101.832
29,35.21306,-101.83204
30,35.21288,-101.83207
31,35.21257,-101.83214
32,35.21253,-101.83214
33,35.21217,-101.83222
34,35.21166,-101.83232
35,35.21164,-101.83232
36,35.21129,-101.83241
37,35.21107,-101.83247
38,35.21042,-101.83262
39,35.21025,-101.83265
40,35.2099,-101.83272
41,35.20922,-101.83285
42,35.20818,-101.83306
43,35.20798,-101.8331
44,35.20715,-101.83327
45,35.20668,-101.83337
46,35.20614,-101.83347
47,35.20511,-101.83367
48,35.20452,-101.83378
49,35.20407,-101.83388
50,35.20305,-101.83408
51,35.2023,-101.83423
52,35.20223,-101.83425
53,35.20201,-101.8343
54,35.20166,-101.83449
55,35.20155,-101.83454
56,35.20134,-101.83469
57,35.20126,-101.83475
58,35.20119,-101.83481
59,35.20091,-101.83504
60,35.20075,-101.83519
61,35.2007,-101.83525
62,35.20057,-101.83536
63,35.20056,-101.83536
64,35.20042,-101.83548
65,35.20028,-101.83558
66,35.20024,-101.83561
67,35.20018,-101.83564
68,35.20017,-101.83564
69,35.20015,-101.83565
70,35.20011,-101.83567
71,35.20006,-101.83569
72,35.20001,-101.83571
73,35.19997,-101.83573
74,35.19991,-101.83575
75,35.19983,-101.83577
76,35.19975,-101.83579
77,35.19965,-101.83581
78,35.19921,-101.8359
79,35.19886,-101.83597
80,35.19859,-101.83602
81,35.19851,-101.83608
82,35.19802,-101.83617
83,35.19798,-101.83618
84,35.19753,-101.83627
85,35.19738,-101.83629
86,35.19644,-101.83648
87,35.19573,-101.83661
88,35.19528,-101.8367
89,35.1945,-101.83684
90,35.19444,-101.83685
91,35.19428,-101.83688
92,35.19427,-101.83689
93,35.19338,-101.83705
94,35.19178,-101.83737
95,35.19114,-101.8375
96,35.19066,-101.8376
97,35.19029,-101.83768
98,35.18987,-101.83776
99,35.18976,-101.83778
100,35.18935,-101.83786
101,35.18872,-101.83799
102,35.1878,-101.83817
103,35.18769,-101.83818
104,35.18758,-101.8382
105,35.18749,-101.83821
106,35.18724,-101.83822
107,35.18713,-101.83823
108,35.18682,-101.83823
109,35.18659,-101.83822
