,Latitude,Longitude
0,38.21032,-85.20596
1,38.21036,-85.206
2,38.21038,-85.20602
3,38.21038,-85.20603
4,38.21039,-85.20605
5,38.21039,-85.20606
6,38.21042,-85.20618
7,38.21068,-85.20699
8,38.21074,-85.20716
9,38.21081,-85.20739
10,38.21086,-85.20755
11,38.21095,-85.2078
12,38.21104,-85.20805
13,38.2111,-85.20822
14,38.21115,-85.20839
15,38.2112,-85.20856
16,38.21123,-85.20873
17,38.21124,-85.20877
18,38.21126,-85.2089
19,38.21127,-85.209
20,38.21128,-85.20908
21,38.2113,-85.20926
22,38.21132,-85.20961
23,38.21134,-85.20996
24,38.21135,-85.21014
25,38.21138,-85.2107
26,38.21142,-85.21125
27,38.21144,-85.21165
28,38.21144,-85.21171
29,38.21145,-85.21184
30,38.2115,-85.21261
31,38.21151,-85.21274
32,38.21156,-85.21343
33,38.21162,-85.2142
34,38.21171,-85.21571
35,38.21174,-85.21609
36,38.21178,-85.21677
37,38.21181,-85.21722
38,38.21183,-85.21762
39,38.21185,-85.21812
40,38.21186,-85.2183
41,38.21187,-85.21835
42,38.21189,-85.21878
43,38.21193,-85.21932
44,38.21196,-85.21975
45,38.21201,-85.22029
46,38.21204,-85.22077
47,38.21207,-85.22144
48,38.21208,-85.22144
49,38.2121,-85.22182
50,38.21213,-85.22227
51,38.2122,-85.22342
52,38.21226,-85.22434
53,38.21228,-85.22464
54,38.21233,-85.22513
55,38.21238,-85.22543
56,38.21247,-85.22568
57,38.21256,-85.2259
58,38.21266,-85.22612
59,38.21269,-85.22617
60,38.21291,-85.22661
61,38.21298,-85.22676
62,38.21305,-85.22692
63,38.21311,-85.22708
64,38.21317,-85.22725
65,38.21321,-85.22743
66,38.21326,-85.22761
67,38.21329,-85.22779
68,38.21331,-85.22797
69,38.21331,-85.22798
70,38.21333,-85.22822
71,38.21336,-85.22864
72,38.21338,-85.22892
73,38.21342,-85.22953
74,38.21343,-85.22972
75,38.21344,-85.23001
76,38.21347,-85.23051
77,38.21348,-85.2307
78,38.21349,-85.23088
79,38.2135,-85.23104
80,38.21352,-85.23134
81,38.21356,-85.23179
82,38.2136,-85.2324
83,38.21361,-85.23263
84,38.21361,-85.23269
85,38.21361,-85.23276
86,38.21361,-85.23282
87,38.21359,-85.23294
88,38.21355,-85.23305
89,38.21351,-85.23316
90,38.21347,-85.23326
91,38.21342,-85.23334
92,38.2134,-85.23338
93,38.21324,-85.23362
94,38.21308,-85.23388
95,38.21291,-85.23417
96,38.21285,-85.23428
97,38.21279,-85.23439
98,38.21275,-85.23448
99,38.21267,-85.23468
100,38.21261,-85.23486
101,38.21255,-85.23503
102,38.2125,-85.23522
103,38.21248,-85.23534
104,38.21246,-85.23545
105,38.21245,-85.23558
106,38.21245,-85.2357
107,38.21243,-85.23578
108,38.21239,-85.23587
