,Latitude,Longitude
0,32.55338,-81.16879
1,32.55343,-81.16875
2,32.55351,-81.16873
3,32.55411,-81.16894
4,32.55439,-81.16901
5,32.55485,-81.16907
6,32.55524,-81.16906
7,32.55572,-81.16899
8,32.59601,-81.15934
9,32.5965,-81.15926
10,32.59683,-81.15923
11,32.59761,-81.15922
12,32.59827,-81.15928
13,32.59867,-81.15935
14,32.59949,-81.15957
15,32.60042,-81.15996
16,32.60074,-81.16014
17,32.60556,-81.16312
18,32.60596,-81.16332
19,32.60652,-81.16356
20,32.60719,-81.16378
21,32.60782,-81.16392
22,32.60845,-81.164
23,32.6199,-81.16525
24,32.62035,-81.16532
25,32.62124,-81.1655
26,32.62232,-81.16581
27,32.6264,-81.16732
28,32.63676,-81.17123
29,32.67509,-81.18558
30,32.67685,-81.18621
31,32.67951,-81.18709
32,32.68014,-81.18726
33,32.68249,-81.18779
34,32.68376,-81.18816
35,32.70641,-81.19667
36,32.70695,-81.19687
37,32.70735,-81.19699
38,32.70774,-81.19705
39,32.70817,-81.19707
40,32.70859,-81.19703
41,32.70908,-81.19692
42,32.70946,-81.19678
43,32.72359,-81.19089
44,32.72523,-81.19018
45,32.72573,-81.18989
46,32.72944,-81.18746
47,32.73012,-81.18707
48,32.73038,-81.18695
49,32.73083,-81.18679
50,32.73379,-81.18591
51,32.73454,-81.18577
52,32.73506,-81.18574
53,32.73749,-81.18581
54,32.7383,-81.18587
55,32.73865,-81.18592
56,32.73922,-81.18604
57,32.74182,-81.18664
58,32.74268,-81.18675
59,32.74299,-81.18676
60,32.74342,-81.18675
61,32.74397,-81.1867
62,32.74634,-81.18632
63,32.7471,-81.18618
64,32.74742,-81.1861
65,32.74791,-81.18595
66,32.74871,-81.18562
67,32.75849,-81.18137
68,32.75902,-81.18111
69,32.75962,-81.18074
70,32.75994,-81.1805
71,32.76062,-81.17986
72,32.76158,-81.17885
73,32.76197,-81.17848
74,32.76236,-81.17816
75,32.76285,-81.17781
76,32.76313,-81.17763
77,32.7641,-81.17709
78,32.76709,-81.17546
79,32.76846,-81.17474
80,32.77374,-81.17223
81,32.7758,-81.17128
82,32.77686,-81.17082
83,32.78522,-81.1675
84,32.78566,-81.16731
85,32.78616,-81.16706
86,32.78685,-81.16663
87,32.78743,-81.16618
88,32.79221,-81.16199
89,32.7931,-81.16122
90,32.79346,-81.16094
91,32.79418,-81.16044
92,32.79446,-81.16027
93,32.79506,-81.15994
94,32.79572,-81.15964
95,32.79655,-81.15935
96,32.79742,-81.15914
97,32.81262,-81.15662
98,32.81354,-81.15641
99,32.81401,-81.15625
100,32.81463,-81.15598
101,32.8152,-81.15567
102,32.81553,-81.15546
103,32.81859,-81.15333
104,32.81964,-81.15256
105,32.82036,-81.15197
106,32.8213,-81.15108
107,32.82193,-81.15039
108,32.82264,-81.14951
109,32.82664,-81.14388
110,32.82717,-81.1432
111,32.82774,-81.14258
112,32.82809,-81.14224
113,32.8325,-81.13825
114,32.8328,-81.13792
115,32.83312,-81.13754
116,32.8334,-81.13716
117,32.83371,-81.13669
118,32.8377,-81.12971
119,32.83801,-81.12922
120,32.83861,-81.12851
121,32.83947,-81.12778
122,32.85041,-81.11932
123,32.8514,-81.11858
124,32.85197,-81.11822
125,32.85282,-81.11777
126,32.85804,-81.11549
127,32.86064,-81.11438
128,32.86219,-81.11369
129,32.8624,-81.11358
130,32.86305,-81.11318
131,32.86339,-81.11294
132,32.86594,-81.11045
133,32.86704,-81.10934
134,32.87012,-81.11377
135,32.87071,-81.11451
136,32.87128,-81.11511
137,32.87188,-81.11561
138,32.87273,-81.11626
139,32.8736,-81.1163
140,32.8739,-81.11627
141,32.87425,-81.11616
142,32.8746,-81.11596
143,32.87693,-81.11457
144,32.88447,-81.11014
145,32.88941,-81.10721
146,32.89067,-81.10649
147,32.89785,-81.10258
148,32.89857,-81.10213
149,32.89892,-81.10187
150,32.89923,-81.1016
151,32.89964,-81.1012
152,32.9,-81.10081
153,32.9003,-81.10044
154,32.90592,-81.09301
155,32.90645,-81.09222
156,32.90678,-81.09159
157,32.90699,-81.09113
158,32.91052,-81.08273
159,32.91091,-81.08205
160,32.91143,-81.08141
161,32.91165,-81.0812
162,32.91198,-81.08094
163,32.91225,-81.08076
164,32.92869,-81.07188
165,32.92977,-81.07127
166,32.93028,-81.07092
167,32.93058,-81.07066
168,32.93102,-81.07021
169,32.93148,-81.0696
170,32.93164,-81.06934
171,32.93194,-81.06877
172,32.93457,-81.06213
173,32.93478,-81.06166
174,32.93507,-81.06114
175,32.9352,-81.06093
176,32.93555,-81.06047
177,32.93589,-81.06009
178,32.93612,-81.05987
179,32.93898,-81.05753
180,32.93962,-81.05698
181,32.94057,-81.05612
182,32.94171,-81.05504
183,32.94649,-81.05016
184,32.9471,-81.04967
185,32.9476,-81.04937
186,32.948,-81.04918
187,32.94834,-81.04906
188,32.94883,-81.04893
189,32.94916,-81.04888
190,32.95012,-81.04879
191,32.96555,-81.04767
192,32.96609,-81.04765
193,32.96643,-81.04766
194,32.96704,-81.04773
195,32.96754,-81.04783
196,32.96805,-81.04797
197,32.96862,-81.04818
198,32.96921,-81.04847
199,32.97957,-81.0545
200,32.98084,-81.05521
201,32.98111,-81.05532
202,32.98158,-81.05547
203,32.98195,-81.05555
204,32.98236,-81.0556
205,32.9828,-81.05561
206,32.98313,-81.05559
207,32.98382,-81.05548
208,32.98414,-81.05539
209,32.98473,-81.05517
210,32.98882,-81.0535
211,32.98956,-81.05322
212,33.01556,-81.04264
213,33.01612,-81.0425
214,33.01692,-81.04245
215,33.0271,-81.04214
216,33.02761,-81.04209
217,33.02822,-81.04198
218,33.02856,-81.0419
219,33.0294,-81.0416
220,33.02993,-81.04135
221,33.03037,-81.0411
222,33.03104,-81.04064
223,33.03121,-81.0405
224,33.03748,-81.03479
225,33.03826,-81.03414
226,33.03881,-81.03377
227,33.03963,-81.03334
228,33.04017,-81.03313
229,33.04061,-81.03299
230,33.04124,-81.03285
231,33.04192,-81.03275
232,33.06234,-81.03001
233,33.06422,-81.02974
234,33.06493,-81.02958
235,33.06571,-81.02937
236,33.0727,-81.0273
237,33.07434,-81.02678
238,33.07499,-81.02648
239,33.07544,-81.02623
240,33.07587,-81.02594
241,33.07631,-81.02561
242,33.07669,-81.02527
243,33.07708,-81.02488
244,33.08568,-81.01564
245,33.08638,-81.01491
246,33.08681,-81.01455
247,33.0871,-81.01436
248,33.08744,-81.01418
249,33.08766,-81.01409
250,33.08813,-81.01395
251,33.08864,-81.01388
252,33.08897,-81.01387
253,33.11381,-81.01388
254,33.1147,-81.01386
255,33.12077,-81.01388
256,33.12583,-81.01385
257,33.14086,-81.01387
258,33.14174,-81.01376
259,33.14235,-81.01362
260,33.14272,-81.0135
261,33.14684,-81.01194
262,33.14811,-81.01147
263,33.14913,-81.01112
