,Latitude,Longitude
0,39.89892,-75.17521
1,39.90497,-75.17388
2,39.90736,-75.17355
3,39.91087,-75.17282
4,39.91404,-75.17194
5,40.05442,-75.14132
6,40.05482,-75.14104
7,40.05541,-75.14066
8,40.06083,-75.13734
9,40.06229,-75.13648
10,40.06386,-75.13556
11,40.06426,-75.13537
12,40.06509,-75.13503
13,40.06564,-75.13487
14,40.0662,-75.13477
15,40.07016,-75.13414
16,40.07071,-75.13399
17,40.07115,-75.13375
18,40.07164,-75.13336
19,40.07203,-75.13294
20,40.0733,-75.13148
21,40.07358,-75.13106
22,40.07403,-75.1303
23,40.07432,-75.1299
24,40.07463,-75.12957
25,40.07739,-75.12695
26,40.07787,-75.12661
27,40.07833,-75.12639
28,40.07876,-75.12627
29,40.07915,-75.12621
30,40.07953,-75.12625
31,40.08017,-75.12645
32,40.08418,-75.12783
33,40.08465,-75.12795
34,40.08518,-75.12799
35,40.08666,-75.12795
36,40.08708,-75.12789
37,40.08752,-75.12775
38,40.08798,-75.12754
39,40.08925,-75.12691
40,40.08984,-75.12664
41,40.09282,-75.12536
42,40.09313,-75.12528
43,40.09341,-75.12533
44,40.09544,-75.12578
45,40.0957,-75.1258
46,40.09968,-75.12589
47,40.10022,-75.12587
48,40.10336,-75.1256
49,40.10378,-75.12552
50,40.10418,-75.12539
51,40.10455,-75.1252
52,40.10759,-75.12346
53,40.10797,-75.12329
54,40.10841,-75.1232
55,40.10881,-75.12318
56,40.10923,-75.12322
57,40.1108,-75.12348
58,40.11121,-75.12348
59,40.11163,-75.1234
60,40.11195,-75.12328
61,40.11254,-75.12298
62,40.1219,-75.11762
63,40.12235,-75.11744
64,40.12275,-75.11733
65,40.12315,-75.1173
66,40.12533,-75.11732
67,40.12589,-75.11729
68,40.12849,-75.11684
69,40.12899,-75.11673
70,40.13035,-75.11639
71,40.13079,-75.11626
72,40.13454,-75.1151
73,40.13483,-75.11499
74,40.13508,-75.11487
75,40.1371,-75.11362
76,40.13751,-75.11342
77,40.14022,-75.11206
78,40.14059,-75.11193
79,40.14088,-75.11191
80,40.1412,-75.11197
81,40.14148,-75.11211
82,40.1418,-75.11231
83,40.14211,-75.11257
84,40.14227,-75.11278
85,40.14255,-75.11327
86,40.14269,-75.11355
87,40.14293,-75.11416
88,40.14306,-75.11447
89,40.14319,-75.11474
90,40.14337,-75.11508
91,40.14361,-75.11552
92,40.14378,-75.11576
93,40.14398,-75.1159
94,40.1443,-75.11603
95,40.14445,-75.11609
96,40.1446,-75.11619
97,40.14476,-75.11635
98,40.14496,-75.11658
99,40.14512,-75.11674
100,40.14534,-75.11693
101,40.14764,-75.11889
102,40.14797,-75.11913
103,40.14828,-75.11931
104,40.15146,-75.12097
105,40.15192,-75.12117
106,40.15238,-75.12134
107,40.15289,-75.12147
108,40.15346,-75.12157
109,40.15412,-75.12164
110,40.1556,-75.12179
111,40.15616,-75.12193
112,40.1612,-75.12348
113,40.16568,-75.12507
114,40.1669,-75.12549
115,40.16765,-75.12581
116,40.17163,-75.12786
117,40.17199,-75.128
118,40.17239,-75.12803
119,40.17727,-75.12824
120,40.17767,-75.12831
121,40.17799,-75.12844
122,40.17836,-75.12867
123,40.17871,-75.129
124,40.17948,-75.13
125,40.17979,-75.13033
126,40.18012,-75.13055
127,40.18055,-75.13073
128,40.18339,-75.13184
129,40.18385,-75.13207
130,40.19057,-75.13629
131,40.191,-75.13651
132,40.19156,-75.13668
133,40.19888,-75.13875
134,40.19944,-75.13886
135,40.2049,-75.13977
136,40.20542,-75.13982
137,40.20592,-75.1398
138,40.21163,-75.13939
139,40.21225,-75.13941
140,40.22103,-75.13989
141,40.22514,-75.14007
142,40.22583,-75.14007
